BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2022-07-07,ДОМ.РФ15об,RU000A0JQAM6,1.0,34650.0,115.5,115.5,115.5,115.5,62.47,115.5,-41.44,115.5,30.0,,113.29,115.5,0.0,563035.0,0.0,2028-09-15,70.0,-41.44,,,20.0,100.82,2022-09-15,2022-07-07,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-07,РЖД-23 обл,RU000A0JQRD9,51.0,6451989.2,97.01,97.14,97.14,97.14,36.13,97.14,9.35,97.13,6642.0,97.14,97.14,97.14,6451989.2,6451989.2,6451989.2,2025-01-16,824.0,9.35,,,7.85,39.14,,2022-07-07,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-07,СЗКК 04,RU000A0JRU46,1.0,811.72,98.39,98.39,98.39,98.39,24.72,98.39,19.65,98.39,1.0,,,98.39,0.0,0.0,0.0,2031-09-26,92.0,19.65,,,12.15,49.98,2022-10-07,2022-07-07,825.0,SUR,,,,,RUB,3
TQCB,2022-07-07,ОткрФКББ03,RU000A0JRZ74,1.0,710.5,71.05,71.05,71.05,71.05,0.05,71.05,12.09,71.05,1.0,,73.02,71.05,0.0,604597.8,0.0,2025-07-16,1105.0,12.09,,,0.01,0.05,,2022-07-07,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-07,ВЭБ.РФ 21,RU000A0JS4Z7,1.0,38437.0,101.15,101.15,101.15,101.15,38.54,101.15,9.28,101.15,38.0,101.01,101.02,101.15,708091.6,521246.5,708091.6,2032-02-17,227.0,9.28,,,10.99,54.8,2023-02-28,2022-07-07,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-07,МСП Банк 2,RU000A0JS603,5.0,730791.0,99.69,99.7,99.7,99.7,25.17,99.7,9.66,99.7,733.0,99.69,99.69,99.7,1158438.0,963026.0,1158438.0,2022-08-11,35.0,9.66,,,6.25,31.16,,2022-07-07,1000.0,SUR,,,8.997,,RUB,3
TQCB,2022-07-07,РЖД-32 обл,RU000A0JSGV0,249.0,3202790.5,100.71,102.72,101.12,101.12,52.07,101.07,8.89,102.72,3169.0,101.07,101.07,101.12,3202790.5,3202790.5,3202790.5,2032-06-25,339.0,8.95,,,10.5,52.36,2023-07-07,2022-07-07,1000.0,SUR,,1160.2709,,2022-07-13,RUB,3
TQCB,2022-07-07,РСХБ 17,RU000A0JT7M7,1.0,9925.0,99.25,99.25,99.25,99.25,12.37,99.25,8.34,99.25,10.0,,98.9,99.25,0.0,518236.0,0.0,2022-10-11,96.0,8.34,,,5.25,26.18,,2022-07-07,1000.0,SUR,,,8.0089,,RUB,3
TQCB,2022-07-07,Роснефть04,RU000A0JT940,34.0,146630.5,99.7,99.8,99.79,99.79,17.32,99.75,8.79,99.71,147.0,,99.67,99.79,0.0,561136.2,0.0,2022-10-17,102.0,8.95,,,7.9,39.39,,2022-07-07,1000.0,SUR,,,8.4436,,RUB,3
TQCB,2022-07-07,Роснефть05,RU000A0JT965,73.0,8170820.3,99.48,99.77,99.75,99.74,17.32,99.55,8.95,99.65,8208.0,99.55,99.55,99.74,8170820.3,8170820.3,8170820.3,2022-10-17,102.0,9.73,,,7.9,39.39,,2022-07-07,1000.0,SUR,,,8.588,,RUB,3
TQCB,2022-07-07,Башнефть06,RU000A0JTM28,30.0,360454.9,98.69,99.73,99.46,99.46,32.91,99.3,8.87,99.7,363.0,,99.23,99.46,0.0,520979.3,0.0,2023-01-31,201.0,9.18,,,7.7,38.39,,2022-07-07,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-07,Башнефть07,RU000A0JTM36,9.0,15025.2,99.73,100.28,100.0,100.01,23.51,100.17,5.5,100.27,15.0,,99.65,100.01,0.0,660650.4,0.0,2023-01-31,26.0,2.97,,,5.5,27.42,2022-08-02,2022-07-07,1000.0,SUR,,4.2926,,2022-08-08,RUB,3
TQCB,2022-07-07,Башнефть08,RU000A0JTM44,1.0,4974.0,99.48,99.48,99.48,99.48,32.91,99.48,8.83,99.48,5.0,,99.21,99.48,0.0,633977.9,0.0,2023-01-31,201.0,8.83,,,7.7,38.39,,2022-07-07,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-07,Башнефть09,RU000A0JTM51,2.0,29910.1,99.7,99.71,99.7,99.7,23.51,99.7,10.12,99.71,30.0,,98.71,99.7,0.0,19869701.3,0.0,2023-01-31,26.0,10.12,,,5.5,27.42,2022-08-02,2022-07-07,1000.0,SUR,,7.8612,,2022-08-08,RUB,3
TQCB,2022-07-07,РусГидро08,RU000A0JTMK9,4.0,24195.4,96.39,96.97,96.39,96.39,0.42,96.78,6.74,96.97,25.0,,95.53,96.39,0.0,500565.5,0.0,2023-02-02,210.0,5.99,,,0.1,0.5,,2022-07-07,1000.0,SUR,,,,,RUB,3
