BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2022-08-29,Экспо1П01,RU000A103RT2,52.0,1036140.1,95.76,96.19,95.85,95.85,15.29,95.85,11.76,96.19,1081.0,95.85,95.85,95.85,1036140.1,1036140.1,1036140.1,2024-09-24,687.0,11.76,,,9.0,22.44,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ИнтЛиз1Р02,RU000A103RY2,9.0,27052.4,96.49,97.0,96.61,96.61,16.82,96.62,13.1,97.0,28.0,,96.58,96.61,0.0,508032.7,0.0,2024-09-24,489.0,13.09,,,9.9,24.68,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,Европлн1Р4,RU000A103S14,36.0,248683.6,96.75,97.75,97.75,97.75,14.95,97.14,10.94,97.01,256.0,,97.26,97.75,0.0,501883.7,0.0,2025-03-25,484.0,11.46,,,8.8,21.94,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQIR,2022-08-29,ДрктЛиз1Р7,RU000A103S30,23.0,90813.35,89.53,89.9,89.85,89.85,16.34,89.78,16.45,89.75,119.0,,89.74,89.85,0.0,502698.52,0.0,2026-09-23,973.0,16.49,,,11.5,24.37,,2022-08-29,850.0,SUR,,,,,RUB,3
TQCB,2022-08-29,Росгео01,RU000A103SV6,9.0,561686.3,96.13,97.7,96.4,96.4,37.23,97.51,11.28,97.46,576.0,97.23,97.51,96.4,742811.1,569475.9,742811.1,2024-09-26,683.0,10.62,,,9.0,44.88,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQIR,2022-08-29,Аэрфью2Р01,RU000A103SZ7,27.0,62289.3,92.72,93.44,93.0,92.89,16.27,92.97,14.56,93.44,67.0,,93.12,92.89,0.0,511207.4,0.0,2024-09-26,681.0,14.58,,,9.9,24.68,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ТЕХЛиз 1P5,RU000A103TS0,50.0,306015.7,81.66,82.47,82.4,82.4,9.14,82.26,18.41,81.8,372.0,,82.16,82.4,0.0,511057.0,0.0,2027-09-03,1256.0,18.47,,,11.5,9.45,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,МоторТ1Р03,RU000A103U69,11.0,83554.4,83.2,83.88,83.5,83.5,17.71,83.55,20.1,83.88,100.0,,83.19,83.5,0.0,501607.9,0.0,2026-09-29,944.0,20.08,,,11.75,29.29,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ТатнхимP01,RU000A103UL3,41.0,666281.3,98.99,99.27,99.0,98.99,6.63,99.0,12.6,99.27,673.0,99.0,99.0,98.99,666281.3,666281.3,666281.3,2026-09-15,376.0,12.6,,,11.0,18.08,2023-10-01,2022-08-29,1000.0,SUR,,12.4721,,2023-10-04,RUB,3
TQRD,2022-08-29,Калита1P3,RU000A103UY6,55.0,26914.4,2.01,3.21,2.76,2.76,7.48,2.92,,2.5,923.0,,3.58,2.76,0.0,500026.5,0.0,2025-09-21,,0.0,,,13.0,10.68,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,МСБЛиз2P05,RU000A103VD8,50.0,350756.2,96.11,97.95,97.49,97.49,6.38,97.16,14.27,97.53,361.0,,97.61,97.49,0.0,1024942.7,0.0,2026-09-18,801.0,14.44,,,12.25,10.07,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQRD,2022-08-29,ОРГрупп2Р1,RU000A103W91,40.0,17012.7,5.8,7.0,6.88,6.88,4.83,6.62,,6.05,257.0,,6.33,6.88,0.0,500360.4,0.0,2025-09-28,,0.0,,,12.6,10.36,,2022-08-29,1000.0,SUR,,,,2025-09-28,RUB,3
TQCB,2022-08-29,СлавЭКО1Р1,RU000A103WB0,35.0,369832.5,93.5,93.7,93.63,93.63,12.36,93.63,15.33,93.7,395.0,,93.52,93.63,0.0,500343.4,0.0,2026-10-13,692.0,15.33,,,11.0,27.42,2024-10-15,2022-08-29,1000.0,SUR,,,,,RUB,3
TQIR,2022-08-29,ПЮДМ БО-П3,RU000A103WC8,94.0,1344398.7,97.42,100.0,98.55,98.55,4.63,98.78,14.7,97.94,1361.0,98.78,98.78,98.55,1344398.7,1344398.7,1344398.7,2024-10-04,671.0,14.56,,,13.0,10.68,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQIR,2022-08-29,ПИМ БО-01,RU000A103WD6,38.0,281784.1,97.5,98.0,97.72,97.72,14.25,97.84,15.29,98.0,288.0,,97.46,97.72,0.0,502916.6,0.0,2024-10-16,574.0,15.21,,,13.0,32.41,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,СэтлГрБ1P4,RU000A103WQ8,40.0,1728417.9,97.0,97.9,97.35,97.35,9.84,97.05,11.04,97.9,1781.0,97.05,97.05,97.35,1728417.9,1728417.9,1728417.9,2025-04-18,853.0,11.19,,,9.45,23.56,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ТелХолБ2-1,RU000A103WR6,14.0,284091.9,99.57,99.8,99.7,99.7,9.89,99.68,10.14,99.64,285.0,,99.52,99.7,0.0,503571.3,0.0,2023-10-20,396.0,10.16,,,9.5,23.68,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ГарИнв2P04,RU000A103WX4,73.0,4740149.9,98.0,99.75,98.0,98.0,0.99,98.79,15.77,99.5,4798.0,98.79,98.79,98.0,4740149.9,4740149.9,4740149.9,2023-05-26,262.0,14.48,,,12.0,29.92,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,NexTouchB1,RU000A103WZ9,20.0,124519.9,91.5,91.8,91.79,91.79,10.71,91.56,17.09,91.8,136.0,,91.62,91.79,0.0,503917.7,0.0,2024-10-22,695.0,17.24,,,11.5,28.67,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ФабрФав1P1,RU000A103X74,10.0,54696.0,99.15,99.5,99.15,99.15,2.4,99.45,13.86,99.5,55.0,,99.24,99.15,0.0,502156.9,0.0,2024-10-10,573.0,13.64,,,12.5,10.27,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ВТБ Б1-262,RU000A103XH5,1.0,351000.0,78.0,78.0,78.0,78.0,0.02,78.0,11.57,78.0,450.0,70.82,75.28,78.0,1494307.6,596222.4,1494307.6,2024-12-06,830.0,11.57,,,0.01,0.05,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ВТБ Б1-264,RU000A103XK9,2.0,11614.4,82.96,82.96,82.96,82.96,0.02,82.96,8.51,82.96,14.0,,82.64,82.96,0.0,1076786.4,0.0,2024-12-13,837.0,8.51,,,0.01,0.05,,2022-08-29,1000.0,SUR,,,,,RUB,3
