BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2022-07-22,РЖД-19 обл,RU000A0JQ7Z2,42.0,11389448.0,98.68,99.69,99.6,99.6,2.37,99.42,8.23,98.68,11456.0,99.42,99.42,99.6,11389448.0,11389448.0,11389448.0,2024-07-08,677.0,8.34,,,7.85,39.14,,2022-07-22,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-22,РЖД-23 обл,RU000A0JQRD9,121.0,2042424.2,97.9,99.59,98.85,98.9,0.22,98.76,8.55,99.59,2068.0,98.76,98.76,98.9,2042424.2,2042424.2,2042424.2,2025-01-16,843.0,8.59,,,7.85,39.14,,2022-07-22,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-22,ОткрФКББ03,RU000A0JRZ74,1.0,758.8,75.88,75.88,75.88,75.88,0.0,75.88,9.72,75.88,1.0,,73.76,75.88,0.0,514077.9,0.0,2025-07-16,1090.0,9.72,,,0.01,0.05,,2022-07-22,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-22,ЗСД 04,RU000A0JS4K9,2.0,2241.2,112.06,112.06,112.06,112.06,41.52,112.06,8.17,112.06,2.0,,,112.06,0.0,0.0,0.0,2032-02-06,2321.0,8.17,,,9.84,49.07,,2022-07-22,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-22,ВЭБ.РФ 21,RU000A0JS4Z7,11.0,452915.4,100.86,101.35,100.86,100.86,43.06,101.1,9.66,101.15,448.0,,101.1,100.86,0.0,503490.4,0.0,2032-02-17,212.0,9.23,,,10.99,54.8,2023-02-28,2022-07-22,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-22,МСП Банк 2,RU000A0JS603,4.0,175736.0,99.85,99.85,99.85,99.85,27.74,99.85,9.64,99.85,176.0,99.85,99.85,99.85,2211677.5,2039935.5,2211677.5,2022-08-11,20.0,9.64,,,6.25,31.16,,2022-07-22,1000.0,SUR,,,7.8386,,RUB,3
TQCB,2022-07-22,ЕАБР11,RU000A0JS934,1.0,2057580.0,97.98,97.98,97.98,97.98,35.24,97.98,9.72,97.98,2100.0,,,97.98,0.0,0.0,0.0,2025-01-24,352.0,9.72,,,7.35,36.65,2023-07-28,2022-07-22,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-22,РЖД-32 обл,RU000A0JSGV0,192.0,16086088.1,100.69,101.8,101.15,101.15,3.8,101.11,8.79,100.8,15910.0,101.11,101.11,101.15,16086088.1,16086088.1,16086088.1,2032-06-25,341.0,8.84,,,9.9,49.36,2023-07-07,2022-07-22,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-22,ФСК РС-22,RU000A0JSQ58,18.0,529512.0,100.06,100.9,100.06,100.06,52.86,100.29,9.33,100.5,528.0,100.29,100.29,100.06,529512.0,529512.0,529512.0,2027-07-21,652.0,9.19,,,10.9,54.35,2024-07-24,2022-07-22,1000.0,SUR,,-0.0,,2022-08-03,RUB,3
TQCB,2022-07-22,ВЭБ.РФ 18,RU000A0JT403,1.0,984.9,98.49,98.49,98.49,98.49,23.54,98.49,8.61,98.49,1.0,,93.19,98.49,0.0,504166.0,0.0,2032-09-17,733.0,8.61,,,7.67,38.24,2024-09-27,2022-07-22,1000.0,SUR,,8.5339,,2024-10-01,RUB,3
TQCB,2022-07-22,РСХБ 17,RU000A0JT7M7,3.0,111958.5,99.55,104.99,99.55,99.55,14.53,104.63,7.49,104.99,107.0,99.1,99.1,99.55,346658282.4,346632477.4,346658282.4,2022-10-11,81.0,-14.55,,,5.25,26.18,,2022-07-22,1000.0,SUR,,,7.0104,,RUB,3
TQCB,2022-07-22,ФСК РС-21,RU000A0JT7T2,1.0,5000.5,100.01,100.01,100.01,100.01,20.27,100.01,7.52,100.01,5.0,,,100.01,0.0,0.0,0.0,2027-10-06,590.0,7.52,,,7.4,36.9,2024-04-10,2022-07-22,1000.0,SUR,,7.4021,,2024-04-17,RUB,3
TQCB,2022-07-22,РСХБ 18,RU000A0JT874,7.0,58811.4,99.59,99.71,99.71,99.71,16.41,99.68,7.48,99.59,59.0,,99.3,99.71,0.0,847056.7,0.0,2022-10-13,83.0,7.63,,,6.05,30.17,,2022-07-22,1000.0,SUR,,,7.0083,,RUB,3
