BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-10-17,АбрауДюрсо,ABRD,1184.0,14383310.0,173.5,172.0,180.0,178.0,177.5,178.0,80970.0,177.5,177.5,178.0,14383310.0,14383310.0,14383310.0,0.0,3
SMAL,2022-10-17,Система ао,AFKS,5.0,72.02,11.745,11.745,12.058,,11.33,12.055,6.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-17,Система ао,AFKS,10855.0,232486682.6,11.092,10.995,11.55,11.534,11.33,11.498,20519600.0,11.316,11.316,11.534,212653442.9,212653442.9,212653442.9,0.0,3
SMAL,2022-10-17,Аэрофлот,AFLT,5.0,220.98,23.82,23.82,24.94,,24.02,24.88,9.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-17,Аэрофлот,AFLT,10553.0,131219645.6,23.48,23.4,24.36,24.2,24.02,24.22,5464350.0,24.0,24.0,24.2,116977232.2,116977232.2,116977232.2,0.0,3
TQBR,2022-10-17,AGRO-гдр,AGRO,2527.0,26363741.6,799.4,793.2,808.6,800.0,801.0,800.0,32914.0,801.0,801.0,800.0,26363741.6,26363741.6,26363741.6,0.0,3
TQTF,2022-10-17,AKGD ETF,AKGD,599.0,1073154.68,78.0,76.35,78.78,78.19,77.72,78.19,13809.0,77.71,77.71,78.19,1073154.68,1073154.68,1073154.68,27096400.66,3
TQTF,2022-10-17,ETF AKMB,AKMB,9235.0,8785742.79,1.1813,1.1716,1.19,1.183,1.185,1.1857,7410697.0,1.1855,1.1855,1.183,8785742.79,8785742.79,8785742.79,7981970.27,3
TQTF,2022-10-17,ETF AKME,AKME,307.0,487129.08,76.98,76.5,79.92,79.2,78.02,79.2,6223.0,,78.22,79.2,0.0,507607.84,0.0,3075346.81,3
TQTF,2022-10-17,AKMM ETF,AKMM,86.0,30514556.05,101.9,101.9,101.96,101.96,101.96,101.96,299283.0,101.96,101.96,101.96,30514556.05,30514556.05,30514556.05,18359737.81,3
TQTD,2022-10-17,AKQU ETF,AKQU,2.0,574.18,82.24,81.99,82.24,82.03,82.03,81.99,7.0,4785.3,4788.18,82.03,2493141.65,1967940.36,2493141.65,16162.12,3
TQBR,2022-10-17,Акрон,AKRN,2696.0,125989742.0,14672.0,14636.0,15392.0,15052.0,15128.0,15052.0,8328.0,15128.0,15128.0,15052.0,125989742.0,125989742.0,125989742.0,0.0,3
TQTF,2022-10-17,ETF AKSC,AKSC,23.0,7292.02,33.16,32.62,34.22,33.74,33.52,33.74,216.0,,34.14,33.74,0.0,537029.31,0.0,167322.44,3
TQTF,2022-10-17,AKVG ETF,AKVG,29.0,5327.38,35.38,33.84,35.38,35.02,34.6,35.04,153.0,,32.66,35.02,0.0,907861.48,0.0,209622.09,3
SMAL,2022-10-17,АЛРОСА ао,ALRS,4.0,413.09,65.83,65.83,69.98,,68.36,69.9,6.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-17,АЛРОСА ао,ALRS,27656.0,448351019.6,66.8,66.8,69.28,68.74,68.36,69.11,6559150.0,68.29,68.29,68.74,406433092.2,406433092.2,406433092.2,0.0,3
TQBR,2022-10-17,АшинскийМЗ,AMEZ,7030.0,78009431.0,24.7,24.695,27.47,25.56,26.52,25.56,2941400.0,26.52,26.52,25.56,78009431.0,78009431.0,78009431.0,0.0,3
TQTF,2022-10-17,AMRE ETF,AMRE,128.0,66808.5,66.4,65.4,68.0,67.2,67.1,67.2,996.0,,65.0,67.2,0.0,1098323.3,0.0,439714.06,3
SMAL,2022-10-17,Аптеки36и6,APTK,1.0,12.05,12.048,12.048,12.048,,11.852,12.048,1.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-17,Аптеки36и6,APTK,5161.0,14910233.7,11.414,11.38,12.466,11.634,11.852,11.634,1258010.0,11.852,11.852,11.634,14910233.7,14910233.7,14910233.7,0.0,3
TQBR,2022-10-17,ИНАРКТИКА,AQUA,2410.0,28508408.5,557.5,544.0,558.0,551.5,551.5,551.5,51675.0,551.5,551.5,551.5,28508408.5,28508408.5,28508408.5,0.0,3
TQBR,2022-10-17,Арсагера,ARSA,46.0,168529.0,5.06,5.0,5.08,5.0,5.02,5.0,33600.0,,5.06,5.0,0.0,527020.0,0.0,0.0,3
TQBR,2022-10-17,АстрЭнСб,ASSB,27.0,66037.0,0.6865,0.681,0.7095,0.7085,0.695,0.709,95000.0,,0.695,0.7085,0.0,500440.0,0.0,0.0,3
TQBR,2022-10-17,Авангрд-ао,AVAN,252.0,827445.0,980.0,920.0,995.0,950.0,960.0,950.0,862.0,960.0,960.0,950.0,827445.0,827445.0,827445.0,0.0,3
TQBR,2022-10-17,Башнефт ао,BANE,2345.0,25057926.0,832.5,829.0,903.5,884.0,868.0,884.0,28861.0,868.0,868.0,884.0,25057926.0,25057926.0,25057926.0,0.0,3
TQBR,2022-10-17,Башнефт ап,BANEP,2005.0,24734658.0,598.0,598.0,632.5,622.0,619.0,622.0,39963.0,619.0,619.0,622.0,24734658.0,24734658.0,24734658.0,0.0,3
TQTF,2022-10-17,BCSB ETF,BCSB,169.0,137320.14,10.456,10.4,10.456,10.402,10.42,10.448,13178.0,,10.404,10.402,0.0,630151.57,0.0,385073.93,3
TQBR,2022-10-17,Белуга ао,BELU,3026.0,71703621.0,2681.0,2675.0,2728.0,2713.0,2713.0,2713.0,26433.0,2713.0,2713.0,2713.0,71703621.0,71703621.0,71703621.0,0.0,3
TQBR,2022-10-17,БашИнСв ап,BISVP,52.0,135140.0,7.1,7.04,7.3,7.13,7.19,7.13,18800.0,,7.09,7.13,0.0,505675.0,0.0,0.0,3
