BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-10-17,AMDRUB_TOM,AMDRUB_TOM,16.5,15.9,16.5,16.1875,67.0,297350.5,16.073
CNGD,2022-10-17,BYN_TODTOM,BYNRUBTODTOM,0.0136,0.0136,0.0136,0.0136,7.0,3003.6,
CETS,2022-10-17,BYNRUB_TOD,BYNRUB_TOD,24.795,24.7,24.795,24.715,4.0,1979025.0,24.7378
CETS,2022-10-17,BYNRUB_TOM,BYNRUB_TOM,25.1525,24.4975,25.27,24.6925,980.0,364282905.0,24.6988
CETS,2022-10-17,CNYRUB_TOD,CNY000000TOD,8.598,8.487,8.628,8.487,2606.0,5007202935.0,8.5602
CNGD,2022-10-17,CNYRUB_TOD,CNY000000TOD,8.599,8.5131,8.685,8.602,9555.0,851880701.62,
CETS,2022-10-17,CNY_TODTOM,CNYRUBTODTOM,0.0,0.0,0.001747,0.001644,874.0,152683727487.6,0.001581
CNGD,2022-10-17,CNY_TODTOM,CNYRUBTODTOM,0.0,-0.006133,0.005897,0.003774,3162.0,21634504455.38,
CETS,2022-10-17,CNYRUB_TMS,CNYRUB_TMS,8.23,8.23,8.23,8.23,3.0,8515.75,8.23
CETS,2022-10-17,CNYRUB_TOM,CNYRUB_TOM,8.6,8.461,8.627,8.533,49426.0,72368130255.0,8.5282
CNGD,2022-10-17,CNYRUB_TOM,CNYRUB_TOM,8.6,8.461,8.685,8.531,17900.0,3493641734.2,
CETS,2022-10-17,CNY_TOM1W,CNYRUB_TOM1W,0.0112,0.0112,0.0112,0.0112,1.0,30172747500.0,0.0112
CETS,2022-10-17,EUR_TODTOM,EUR000TODTOM,-0.2418,-0.2418,0.0121,-0.15,646.0,23117251470.0,-0.0469
CNGD,2022-10-17,EUR_TODTOM,EUR000TODTOM,-0.015,-0.1433,0.0402,0.0266,128.0,13238967.69,
CETS,2022-10-17,EURRUB_TMS,EURRUB_TMS,61.0,60.0,62.4975,60.66,1653.0,26858171.13,60.8072
CNGD,2022-10-17,EURRUB_TMS,EURRUB_TMS,60.6,60.6,60.8,60.8,2.0,46.74,
CETS,2022-10-17,EURUSD_TOD,EURUSD000TOD,0.99088,0.97663,0.99088,0.977,369.0,1243068918.66,0.98201
CNGD,2022-10-17,EURUSD_TOD,EURUSD000TOD,0.9999,0.97145,0.9999,0.99108,825.0,7450112.76,
CETS,2022-10-17,EURUSD_TOM,EURUSD000TOM,0.98371,0.976,0.98792,0.98599,3274.0,13243555351.43,0.98035
CNGD,2022-10-17,EURUSD_TOM,EURUSD000TOM,0.9999,0.97145,0.9999,0.9762,827.0,1238425440.36,
CETS,2022-10-17,EURUSDTDTM,EURUSDTODTOM,0.0,-0.002,0.0,-1.1e-05,100.0,6003462208.35,-0.000238
CETS,2022-10-17,EURRUB_TOD,EUR_RUB__TOD,61.5,60.3,61.7975,60.8075,4896.0,11780255662.5,60.6586
CNGD,2022-10-17,EURRUB_TOD,EUR_RUB__TOD,62.259,60.0955,62.259,60.6,4832.0,197499236.63,
CETS,2022-10-17,EURRUB_TOM,EUR_RUB__TOM,61.0,60.1675,61.8475,60.8,17959.0,44539435300.0,60.5903
CNGD,2022-10-17,EURRUB_TOM,EUR_RUB__TOM,60.59,60.0955,62.259,60.75,8046.0,1187836404.77,
CETS,2022-10-17,GLD_TODTOM,GLDRUBTODTOM,0.4991,0.4991,0.4991,0.4991,2.0,106008262.4,0.4991
CNGD,2022-10-17,GLD_TODTOM,GLDRUBTODTOM,1.4519,-0.4084,1.8149,1.4519,71.0,18285070.09,
CETS,2022-10-17,GLDRUB_TOM,GLDRUB_TOM,3330.0,3260.0,3348.93,3290.0,2853.0,192503234.08,3284.59
