BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2022-10-17,РЖД-19 обл,RU000A0JQ7Z2,33.0,1631999.8,98.02,101.99,98.23,98.23,21.08,98.19,9.17,101.99,1662.0,98.19,98.19,98.23,1631999.8,1631999.8,1631999.8,2024-07-08,589.0,9.2,,,7.85,39.14,,2022-10-17,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-17,РЖД-23 обл,RU000A0JQRD9,30.0,10856065.6,98.21,98.74,98.45,98.45,18.93,98.27,8.8,98.74,11047.0,98.27,98.27,98.45,10856065.6,10856065.6,10856065.6,2025-01-16,755.0,8.89,,,7.85,39.14,,2022-10-17,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-17,ДОМ.РФ18об,RU000A0JRDY3,1.0,1807.8,120.52,120.52,120.52,120.52,0.13,120.52,-16.51,120.52,5.0,,,120.52,0.0,0.0,0.0,2023-07-15,266.0,-16.51,,,7.71,5.83,,2022-10-17,300.0,SUR,,,,,RUB,3
TQCB,2022-10-17,СЗКК 03,RU000A0JRU20,2.0,40494.51,99.5,99.5,99.5,99.5,3.78,99.5,19.26,99.5,51.0,,,99.5,0.0,0.0,0.0,2031-09-26,172.0,19.26,,,17.3,68.84,2023-04-07,2022-10-17,798.0,SUR,,,,,RUB,3
TQCB,2022-10-17,СЗКК 04,RU000A0JRU46,2.0,7146.09,99.5,99.5,99.5,99.5,3.78,99.5,19.26,99.5,9.0,,,99.5,0.0,0.0,0.0,2031-09-26,172.0,19.26,,,17.3,68.84,2023-04-07,2022-10-17,798.0,SUR,,,,,RUB,3
TQCB,2022-10-17,ВЭБ.РФ 21,RU000A0JS4Z7,9.0,166884.9,100.01,107.17,107.17,107.17,14.45,103.66,-7.79,100.01,161.0,,101.45,107.17,0.0,536694.2,0.0,2032-02-17,134.0,0.9,,,10.99,54.8,2023-02-28,2022-10-17,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-17,РЖД-32 обл,RU000A0JSGV0,9.0,42321.1,100.75,100.95,100.85,100.85,27.39,100.76,8.8,100.94,42.0,100.8,100.8,100.85,11764810.0,1293249.4,11764810.0,2032-06-25,254.0,8.94,,,9.9,49.36,2023-07-07,2022-10-17,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-17,ФСК РС-22,RU000A0JSQ58,1.0,7000.0,100.0,100.0,100.0,100.0,20.56,100.0,9.34,100.0,7.0,,100.3,100.0,0.0,676996.5,0.0,2027-07-21,600.0,9.34,,,9.15,45.62,2024-07-24,2022-10-17,1000.0,SUR,,9.2316,,2024-07-31,RUB,3
TQCB,2022-10-17,ВЭБ.РФ 19,RU000A0JT6B2,6.0,9729.6,96.42,97.4,96.42,96.42,2.25,97.3,10.43,97.39,10.0,,97.15,96.42,0.0,534336.5,0.0,2032-09-23,515.0,9.72,,,7.48,37.3,2024-04-04,2022-10-17,1000.0,SUR,,10.3339,,2024-04-08,RUB,3
TQCB,2022-10-17,МЕТАЛИНВ 2,RU000A0JTLJ3,8.0,36780.7,95.41,99.0,99.0,96.79,16.77,96.79,11.65,96.76,38.0,,99.43,96.79,0.0,522995.3,0.0,2023-01-27,102.0,20.97,,,7.65,38.15,,2022-10-17,1000.0,SUR,,,11.0767,,RUB,3
TQCB,2022-10-17,МЕТАЛИНВ 3,RU000A0JTLL9,3.0,5981.0,96.62,100.57,100.57,100.3,16.77,99.68,5.58,96.62,6.0,,98.51,100.3,0.0,3985683.3,0.0,2023-01-27,102.0,8.96,,,7.65,38.15,,2022-10-17,1000.0,SUR,,,5.4131,,RUB,3
TQCB,2022-10-17,Башнефть06,RU000A0JTM28,14.0,65960.5,99.56,100.06,99.72,99.72,16.03,99.94,8.82,99.56,66.0,,99.91,99.72,0.0,1322789.6,0.0,2023-01-31,106.0,8.0,,,7.7,38.39,,2022-10-17,1000.0,SUR,,,8.4773,,RUB,3
TQCB,2022-10-17,Башнефть07,RU000A0JTM36,1.0,1002.2,100.22,100.22,100.22,100.22,17.28,100.22,7.59,100.22,1.0,100.19,100.21,100.22,1712220.0,1414926.5,1712220.0,2023-01-31,106.0,7.59,,,8.3,41.39,,2022-10-17,1000.0,SUR,,,7.321,,RUB,3
TQCB,2022-10-17,Башнефть08,RU000A0JTM44,15.0,59996.7,99.99,100.0,99.99,99.99,16.03,99.99,7.82,99.99,60.0,,99.81,99.99,0.0,546965.6,0.0,2023-01-31,106.0,7.82,,,7.7,38.39,,2022-10-17,1000.0,SUR,,,7.5399,,RUB,3
TQCB,2022-10-17,Башнефть09,RU000A0JTM51,6.0,62004.8,98.3,100.35,100.35,100.35,17.28,98.42,7.11,98.33,63.0,,99.87,100.35,0.0,582241.0,0.0,2023-01-31,106.0,14.46,,,8.3,41.39,,2022-10-17,1000.0,SUR,,,6.8732,,RUB,3
TQCB,2022-10-17,РусГидро08,RU000A0JTMK9,5.0,11749.7,97.39,100.5,97.39,97.4,0.2,97.91,9.55,100.49,12.0,,98.37,97.4,0.0,500728.7,0.0,2023-02-02,108.0,7.58,,,0.1,0.5,,2022-10-17,1000.0,SUR,,,9.1559,,RUB,3
TQCB,2022-10-17,Роснефть07,RU000A0JTS06,27.0,2583305.4,99.42,99.81,99.74,99.74,7.6,99.43,8.11,99.58,2598.0,99.43,99.43,99.74,2583305.4,2583305.4,2583305.4,2023-03-10,144.0,8.97,,,7.3,36.4,,2022-10-17,1000.0,SUR,,,7.8674,,RUB,3
TQCB,2022-10-17,Роснефть08,RU000A0JTS22,6.0,54890.3,99.51,99.85,99.82,99.82,7.6,99.8,7.9,99.51,55.0,,99.59,99.82,0.0,503947.4,0.0,2023-03-10,144.0,7.95,,,7.3,36.4,,2022-10-17,1000.0,SUR,,,7.6596,,RUB,3
TQCB,2022-10-17,МТС БО-01,RU000A0JTTA5,7.0,17944.7,98.86,100.1,100.1,100.1,4.63,99.69,6.34,98.86,18.0,,99.29,100.1,0.0,650320.7,0.0,2023-03-22,156.0,7.37,,,6.5,32.41,,2022-10-17,1000.0,SUR,,,6.1878,,RUB,3
TQCB,2022-10-17,РЖД-28 обл,RU000A0JTU85,3.0,34892.0,96.9,97.06,97.06,97.06,3.73,96.92,9.22,96.9,36.0,96.79,96.87,97.06,23358559.7,3974525.0,23358559.7,2028-03-21,508.0,9.34,,,6.8,33.91,2024-03-26,2022-10-17,1000.0,SUR,,9.1541,,2024-03-29,RUB,3
TQCB,2022-10-17,РСХБ 20,RU000A0JTVJ2,33.0,29960963.0,101.75,103.6,103.6,103.6,2.34,102.65,6.6,102.48,29188.0,102.65,102.65,103.6,29960963.0,29960963.0,29960963.0,2023-04-11,176.0,8.66,,,14.25,71.05,,2022-10-17,1000.0,SUR,,,6.4528,,RUB,3
TQCB,2022-10-17,Роснефть06,RU000A0JTYL2,4.0,15934.4,99.5,99.68,99.5,99.5,26.66,99.59,7.98,99.59,16.0,98.96,99.0,99.5,5023218.6,1099886.4,5023218.6,2023-05-30,219.0,7.82,,,7.0,34.9,,2022-10-17,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-17,Роснефть09,RU000A0JTYM0,2.0,3038.7,101.29,101.29,101.29,101.29,26.66,101.29,4.89,101.29,3.0,,,101.29,0.0,0.0,0.0,2023-05-30,219.0,4.89,,,7.0,34.9,,2022-10-17,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-17,Роснефть10,RU000A0JTYN8,3.0,4968.5,98.42,100.79,98.42,98.42,26.66,99.37,9.92,100.79,5.0,,98.95,98.42,0.0,545239.9,0.0,2023-05-30,219.0,8.21,,,7.0,34.9,,2022-10-17,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-17,РСХБ 21,RU000A0JU1Q8,2.0,4889.1,96.99,98.97,96.99,96.99,13.56,97.78,9.98,98.97,5.0,,97.75,96.99,0.0,293576868.0,0.0,2023-07-18,269.0,8.79,,,5.5,27.42,,2022-10-17,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-17,РСХБ 22,RU000A0JU6A1,2.0,3060.0,102.0,102.0,102.0,102.0,4.79,102.0,4.04,102.0,3.0,,,102.0,0.0,0.0,0.0,2023-09-18,331.0,4.04,,,6.25,31.16,,2022-10-17,1000.0,SUR,,,,,RUB,3
