BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-06-08,BYNRUB_TOM,BYNRUB_TOM,23.8,23.33,23.8,23.35,85.0,55688515.0,23.5768
CETS,2022-06-08,CHF_TODTOM,CHFRUBTODTOM,0.0175,0.0161,0.0184,0.0184,3.0,25358670.0,0.0174
CNGD,2022-06-08,CHF_TODTOM,CHFRUBTODTOM,0.033,-0.0252,0.0346,-0.0139,259.0,193631002.92,
CETS,2022-06-08,CHFRUB_TOD,CHFRUB_TOD,64.4,64.4,64.4,64.4,1.0,64400.0,64.4
CETS,2022-06-08,CHFRUB_TOM,CHFRUB_TOM,63.27,62.0,63.5975,62.9,433.0,232574147.5,62.79
CNGD,2022-06-08,CHFRUB_TOM,CHFRUB_TOM,62.76,61.8575,64.0525,62.9,1233.0,9287769.91,
CETS,2022-06-08,CNYRUB_TOD,CNY000000TOD,9.3477,9.1,9.3477,9.28,2100.0,4253893828.1,9.2519
CETS,2022-06-08,CNY_TODTOM,CNYRUBTODTOM,0.000772,0.000772,0.00371,0.002999,205.0,85691204502.7,0.002815
CNGD,2022-06-08,CNY_TODTOM,CNYRUBTODTOM,0.0,-0.004,0.0051,0.004852,1219.0,1736925069.1,
CETS,2022-06-08,CNYRUB_TOM,CNYRUB_TOM,9.3367,9.15,9.3797,9.2497,13973.0,17737899168.9,9.2582
CNGD,2022-06-08,CNYRUB_TOM,CNYRUB_TOM,9.3301,9.15,9.375,9.2392,7732.0,1261426717.42,
CETS,2022-06-08,CNY_TOM1W,CNYRUB_TOM1W,0.0182,0.0182,0.0182,0.0182,1.0,23345650000.0,0.0182
CETS,2022-06-08,EUR_TODTOM,EUR000TODTOM,0.009,0.002,0.039,0.026,862.0,53661913330.0,0.0142
CNGD,2022-06-08,EUR_TODTOM,EUR000TODTOM,0.0,-0.0233,0.039,0.0174,941.0,15728760876.49,
CETS,2022-06-08,EURRUB_TMS,EURRUB_TMS,65.0,62.8,65.2875,63.915,2476.0,21861744.54,64.0232
CETS,2022-06-08,EURUSD_TOD,EURUSD000TOD,1.06126,1.0605,1.0675,1.065,332.0,915910664.83,1.06384
CNGD,2022-06-08,EURUSD_TOD,EURUSD000TOD,1.0639,1.05327,1.07454,1.0639,783.0,7389220.69,
CETS,2022-06-08,EURUSD_TOM,EURUSD000TOM,1.06499,1.06,1.07,1.06999,7054.0,26620616857.58,1.06377
CNGD,2022-06-08,EURUSD_TOM,EURUSD000TOM,1.0639,1.05327,1.07454,1.0639,784.0,396169777.69,
CETS,2022-06-08,EURUSDTDTM,EURUSDTODTOM,-0.000199,-0.0003,0.000155,0.0,48.0,18543822568.46,-0.000224
CNGD,2022-06-08,EURUSDTDTM,EURUSDTODTOM,0.000558,-0.000381,0.000558,0.000132,27.0,876047.31,
CETS,2022-06-08,EURRUB_TOD,EUR_RUB__TOD,65.98,63.41,65.98,63.6475,7885.0,25965298725.0,64.1335
CNGD,2022-06-08,EURRUB_TOD,EUR_RUB__TOD,65.1652,63.8229,65.1652,65.1198,9090.0,298132510.55,
CETS,2022-06-08,EURRUB_TOM,EUR_RUB__TOM,65.2125,62.63,65.8525,63.59,28205.0,74920907912.5,63.8829
CNGD,2022-06-08,EURRUB_TOM,EUR_RUB__TOM,65.9271,62.62,65.9271,63.59,21502.0,2860508069.25,
CETS,2022-06-08,GBP_TODTOM,GBPRUBTODTOM,-0.0362,-0.0362,-0.0362,-0.0362,1.0,8164910.0,-0.0362
CNGD,2022-06-08,GBP_TODTOM,GBPRUBTODTOM,-0.025,-0.0291,0.0431,0.0425,56.0,36272036.15,
CETS,2022-06-08,GBPRUB_TOD,GBPRUB_TOD,81.0,80.0,81.0,80.77,9.0,9216000.0,80.1391
CNGD,2022-06-08,GBPRUB_TOD,GBPRUB_TOD,83.3,79.0,84.133,79.0,531.0,6197585.23,
CETS,2022-06-08,GBPRUB_TOM,GBPRUB_TOM,81.8,78.4975,82.0,81.4925,303.0,112140500.0,80.0432
CNGD,2022-06-08,GBPRUB_TOM,GBPRUB_TOM,82.645,78.1275,84.133,83.115,1347.0,20158281.56,
CNGD,2022-06-08,GBPUSDTDTM,GBPUSDTODTOM,0.000183,0.000183,0.000183,0.000183,1.0,162.75,
CNGD,2022-06-08,GBPUSD_TOM,GBPUSD_TOM,1.3,1.3,1.3,1.3,1.0,673569.32,
CNGD,2022-06-08,GLD_TODTOM,GLDRUBTODTOM,1.7948,1.7948,1.7948,1.7948,29.0,2349227.5,
CETS,2022-06-08,GLDRUB_TOM,GLDRUB_TOM,3469.94,3326.6,3500.0,3385.0,5460.0,208134143.03,3392.18
CETS,2022-06-08,GLD_TOM1W,GLDRUB_TOM1W,5.2899,5.2899,5.2899,5.2899,1.0,172658420.0,5.2899
CNGD,2022-06-08,HKD_TODTOM,HKDRUBTODTOM,0.004593,0.0029,0.0048,0.004615,137.0,33300939.53,
CETS,2022-06-08,HKDRUB_TOM,HKDRUB_TOM,8.8851,8.74,8.9,8.8376,214.0,6133625.2,8.8254
CNGD,2022-06-08,HKDRUB_TOM,HKDRUB_TOM,8.946,8.676,9.0,8.8649,883.0,3034305.4,
CNGD,2022-06-08,JPY_TODTOM,JPYRUBTODTOM,0.0226,0.0226,0.0226,0.0226,1.0,934.91,
CETS,2022-06-08,JPYRUB_TOM,JPYRUB_TOM,47.55,47.5,48.8681,48.7,133.0,115499948.6,47.8856
CNGD,2022-06-08,JPYRUB_TOM,JPYRUB_TOM,47.9,47.0502,51.0,47.9227,311.0,1207643.09,
CNGD,2022-06-08,KZT_TODTOM,KZTRUBTODTOM,-0.0005,-0.0039,-0.0005,-0.0039,2.0,4586409584.35,
CETS,2022-06-08,KZTRUB_TOM,KZTRUB_TOM,14.5,13.83,14.5175,13.93,406.0,99960392.25,14.0579
CNGD,2022-06-08,KZTRUB_TOM,KZTRUB_TOM,13.8,13.8,14.5,14.5,2.0,78190000.0,
CNGD,2022-06-08,SLV_TODTOM,SLVRUBTODTOM,0.0261,0.0261,0.0261,0.0261,6.0,687924.36,
CETS,2022-06-08,SLVRUB_TOM,SLVRUB_TOM,51.75,49.34,51.75,50.22,375.0,2694374.0,50.36
CNGD,2022-06-08,TRY_TODTOM,TRYRUBTODTOM,0.002,0.0015,0.002,0.001826,121.0,36826474.26,
CETS,2022-06-08,TRYRUB_TOM,TRYRUB_TOM,3.65,3.51,3.6798,3.59,740.0,42129318.7,3.56
CNGD,2022-06-08,TRYRUB_TOM,TRYRUB_TOM,3.7063,3.51,3.7063,3.5923,2478.0,7183250.47,
CETS,2022-06-08,USDRUB_TOD,USD000000TOD,60.99,58.9875,61.425,59.4125,21250.0,59819177252.5,60.1572
CNGD,2022-06-08,USDRUB_TOD,USD000000TOD,61.0,58.4917,61.2313,59.6075,77259.0,7234602822.62,
CETS,2022-06-08,USD_TODTOM,USD000TODTOM,0.0334,0.0182,0.0499,0.028,2593.0,256821971190.0,0.0329
CNGD,2022-06-08,USD_TODTOM,USD000TODTOM,0.0,-0.0218,0.0599,0.0318,23305.0,15406744745.77,
CETS,2022-06-08,USDRUB_TOM,USD000UTSTOM,61.25,59.0225,61.3975,59.4,56822.0,95380802370.0,60.0211
CNGD,2022-06-08,USDRUB_TOM,USD000UTSTOM,61.205,58.4917,61.4,59.4,199509.0,16065413308.14,
CNGD,2022-06-08,USDCHFTDTM,USDCHFTODTOM,-0.000132,-0.000132,-0.000132,-0.000132,1.0,180.64,
CETS,2022-06-08,USDCHF_TOM,USDCHF_TOM,0.9735,0.9735,0.9735,0.9735,13.0,17646579.01,0.9735
CNGD,2022-06-08,USDCNYTDTM,USDCNYTODTOM,0.000808,-0.000808,0.000898,-0.000808,13.0,550724.82,
CETS,2022-06-08,USDCNY_TOM,USDCNY_TOM,6.55,6.4,6.55,6.46,1525.0,7798365181.56,6.50672
CNGD,2022-06-08,USDCNY_TOM,USDCNY_TOM,6.5,6.5,6.5,6.5,1.0,604523400.0,
CETS,2022-06-08,USDRUB_TMS,USDRUB_TMS,61.4375,59.0,61.4975,59.3175,5596.0,40347289.81,60.0046
CNGD,2022-06-08,USDRUB_TMS,USDRUB_TMS,59.83,59.4,59.94,59.6,31.0,479.15,
