BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-08-16,AMDRUB_TOM,AMDRUB_TOM,16.5325,16.2,16.5325,16.515,53.0,347129.0,16.4516
CNGD,2022-08-16,BYN_TODTOM,BYNRUBTODTOM,0.0131,0.0131,0.0131,0.0131,2.0,72158.7,
CETS,2022-08-16,BYNRUB_TOM,BYNRUB_TOM,23.8125,23.695,23.9675,23.75,494.0,117302492.5,23.8178
CETS,2022-08-16,CNYRUB_TOD,CNY000000TOD,9.1,9.003,9.1,9.014,1961.0,4854437928.0,9.0384
CETS,2022-08-16,CNY_TODTOM,CNYRUBTODTOM,0.0017,0.0017,0.002149,0.002,563.0,155848303822.2,0.002049
CNGD,2022-08-16,CNY_TODTOM,CNYRUBTODTOM,4.1e-05,-0.0038,0.0049,0.003963,2535.0,8432537463.13,
CETS,2022-08-16,CNYRUB_TOM,CNYRUB_TOM,9.038,8.924,9.065,8.97,56068.0,66568535283.0,9.0129
CNGD,2022-08-16,CNYRUB_TOM,CNYRUB_TOM,9.06,8.924,9.065,8.971,7877.0,15645112820.68,
CETS,2022-08-16,CNY_TOM1W,CNYRUB_TOM1W,0.0144,0.0144,0.0144,0.0144,1.0,9959464900.0,0.0144
CNGD,2022-08-16,CNY_TOM1W,CNYRUB_TOM1W,0.0144,0.0144,0.0144,0.0144,1.0,9054059000.0,
CETS,2022-08-16,EUR_TODTOM,EUR000TODTOM,0.001,0.0,0.015,0.0,702.0,37113655260.0,0.0116
CNGD,2022-08-16,EUR_TODTOM,EUR000TODTOM,0.0,-0.0171,0.0925,0.0274,660.0,1568288633.34,
CETS,2022-08-16,EURRUB_TMS,EURRUB_TMS,62.3125,61.7025,62.5975,62.2775,1153.0,17038738.17,62.3813
CETS,2022-08-16,EURUSD_TOD,EURUSD000TOD,1.01346,1.01346,1.01778,1.01412,302.0,1073586711.04,1.01564
CNGD,2022-08-16,EURUSD_TOD,EURUSD000TOD,1.02364,1.00337,1.02364,1.02364,629.0,9485653.22,
CETS,2022-08-16,EURUSD_TOM,EURUSD000TOM,1.01442,1.0123,1.02399,1.02,5135.0,21020025845.57,1.01576
CNGD,2022-08-16,EURUSD_TOM,EURUSD000TOM,1.02364,1.00337,1.02364,1.013,631.0,631518237.72,
CETS,2022-08-16,EURUSDTDTM,EURUSDTODTOM,-7e-06,-0.000125,0.0001,0.0001,66.0,46670251160.47,-3e-06
CNGD,2022-08-16,EURUSDTDTM,EURUSDTODTOM,0.000446,-0.000279,0.000446,0.000446,16.0,3325713.94,
CETS,2022-08-16,EURRUB_TOD,EUR_RUB__TOD,62.4775,62.0525,62.57,62.2525,6524.0,15753429027.5,62.3335
CNGD,2022-08-16,EURRUB_TOD,EUR_RUB__TOD,63.019,61.7711,63.019,62.43,4123.0,112461199.33,
CETS,2022-08-16,EURRUB_TOM,EUR_RUB__TOM,62.4975,61.8225,62.5825,62.1175,35704.0,100736272532.5,62.3519
CNGD,2022-08-16,EURRUB_TOM,EUR_RUB__TOM,62.565,61.7711,63.019,62.0375,7575.0,3041289069.04,
CNGD,2022-08-16,GBP_TODTOM,GBPRUBTODTOM,-0.02,-0.02,0.0325,0.032,44.0,9359219.89,
CETS,2022-08-16,GBPRUB_TOD,GBPRUB_TOD,75.5,75.5,75.5,75.5,1.0,75500.0,75.5
CNGD,2022-08-16,GBPRUB_TOD,GBPRUB_TOD,75.9975,75.9975,76.7575,76.7575,360.0,5964985.35,
CETS,2022-08-16,GBPRUB_TOM,GBPRUB_TOM,73.01,73.0,75.4975,73.9,184.0,68583812.5,74.5476
CNGD,2022-08-16,GBPRUB_TOM,GBPRUB_TOM,74.83,72.215,76.7575,73.01,761.0,12889834.5,
CETS,2022-08-16,GLD_TODTOM,GLDRUBTODTOM,0.4732,0.4732,0.4732,0.4732,3.0,428411022.4,0.4732
CNGD,2022-08-16,GLD_TODTOM,GLDRUBTODTOM,0.7571,-0.4259,1.5143,1.5143,65.0,9089052.15,
CETS,2022-08-16,GLDRUB_TOM,GLDRUB_TOM,3464.98,3425.4,3464.98,3449.0,3822.0,340692272.93,3443.95
CNGD,2022-08-16,HKD_TODTOM,HKDRUBTODTOM,1.4e-05,-0.002214,0.0043,0.002914,660.0,569630611.04,
CETS,2022-08-16,HKDRUB_TOM,HKDRUB_TOM,7.9563,7.8592,7.996,7.9191,1707.0,384369079.2,7.9476
CNGD,2022-08-16,HKDRUB_TOM,HKDRUB_TOM,7.945,7.8526,7.9977,7.9195,5180.0,43326442.07,
CNGD,2022-08-16,KZT_TODTOM,KZTRUBTODTOM,0.0058,0.0058,0.0058,0.0058,1.0,5174.92,
CETS,2022-08-16,KZTRUB_TOM,KZTRUB_TOM,13.2,12.83,13.2,12.85,502.0,327744488.25,12.9321
CNGD,2022-08-16,SLV_TODTOM,SLVRUBTODTOM,0.0202,0.0202,0.0202,0.0202,1.0,9200.34,
CETS,2022-08-16,SLVRUB_TOM,SLVRUB_TOM,46.33,45.0,46.87,46.16,688.0,6526937.0,46.03
CNGD,2022-08-16,TRY_TODTOM,TRYRUBTODTOM,0.001492,-0.000936,0.0019,0.001436,133.0,55947048.06,
CETS,2022-08-16,TRYRUB_TOM,TRYRUB_TOM,3.423,3.4,3.4398,3.4277,384.0,146288621.7,3.4143
CNGD,2022-08-16,TRYRUB_TOM,TRYRUB_TOM,3.4015,3.3919,3.4442,3.4001,1083.0,4424367.69,
CETS,2022-08-16,USDRUB_TOD,USD000000TOD,61.47,61.1975,61.6925,61.4175,14250.0,48009968467.5,61.3947
CNGD,2022-08-16,USDRUB_TOD,USD000000TOD,61.345,60.6846,61.9585,61.25,71011.0,4879846881.99,
CETS,2022-08-16,USD_TODTOM,USD000TODTOM,0.0128,0.012,0.0229,0.0132,1488.0,244297841330.0,0.0136
CNGD,2022-08-16,USD_TODTOM,USD000TODTOM,0.0,-0.0252,0.0684,0.0269,21602.0,16981217862.38,
CETS,2022-08-16,USDRUB_TOM,USD000UTSTOM,61.4875,60.565,61.635,60.9,30366.0,75169642665.0,61.3648
CNGD,2022-08-16,USDRUB_TOM,USD000UTSTOM,61.42,60.56,61.9585,60.95,107769.0,10044154336.77,
CNGD,2022-08-16,USDCNYTDTM,USDCNYTODTOM,0.002973,-0.001858,0.002973,0.000929,37.0,2914270.99,
CETS,2022-08-16,USDCNY_TOD,USDCNY_TOD,6.7553,6.7553,6.85,6.817,31.0,20386443.44,6.80923
CETS,2022-08-16,USDCNY_TOM,USDCNY_TOM,6.79499,6.781,6.82061,6.7902,6252.0,27198862528.01,6.80689
CNGD,2022-08-16,USDCNY_TOM,USDCNY_TOM,6.825,6.825,6.825,6.825,1.0,1543328718.75,
CETS,2022-08-16,USDKZT_TOM,USDKZT_TOM,474.95,474.65,477.0,477.0,94.0,129921548.1,475.08
CETS,2022-08-16,USDRUB_TMS,USDRUB_TMS,61.4025,60.6225,61.75,60.8025,3731.0,46815908.34,61.3381
CNGD,2022-08-16,USDRUB_TMS,USDRUB_TMS,61.585,61.3,61.585,61.3,20.0,112126.74,
