BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-08-01,АбрауДюрсо,ABRD,374.0,3801645.0,172.5,172.5,176.0,173.0,173.5,173.0,21890.0,173.5,173.5,173.0,3801645.0,3801645.0,3801645.0,0.0,3
SMAL,2022-08-01,Система ао,AFKS,4.0,404.7,14.999,14.7,15.0,,14.35,14.7,27.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-08-01,Система ао,AFKS,15114.0,344891255.2,14.749,14.155,14.779,14.17,14.35,14.17,24035000.0,14.35,14.35,14.17,344891255.2,344891255.2,344891255.2,0.0,3
SMAL,2022-08-01,Аэрофлот,AFLT,9.0,1161.72,28.92,27.32,28.92,,27.54,27.32,41.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-08-01,Аэрофлот,AFLT,5513.0,72520372.6,27.8,27.42,27.8,27.44,27.54,27.44,2633470.0,27.54,27.54,27.44,72520372.6,72520372.6,72520372.6,0.0,3
TQBR,2022-08-01,AGRO-гдр,AGRO,2652.0,35388741.2,848.0,823.2,853.0,833.0,833.4,833.0,42464.0,833.4,833.4,833.0,35388741.2,35388741.2,35388741.2,0.0,3
TQTF,2022-08-01,AKGD ETF,AKGD,1190.0,202230391.91,83.0,82.11,86.8,83.78,85.94,83.78,2353022.0,85.94,85.94,83.78,202230391.91,202230391.91,202230391.91,11849570.6,3
TQTF,2022-08-01,ETF AKMB,AKMB,6805.0,7880480.87,1.165,1.1601,1.1733,1.1707,1.1694,1.171,6735258.0,1.17,1.17,1.1707,7880480.87,7880480.87,7880480.87,7270926.97,3
TQTF,2022-08-01,ETF AKME,AKME,283.0,795807.36,81.76,80.58,82.88,81.28,81.8,81.28,9799.0,81.22,81.22,81.28,795807.36,795807.36,795807.36,3123724.23,3
TQTF,2022-08-01,AKMM ETF,AKMM,60.0,17274395.25,102.99,100.38,102.99,100.38,100.4,100.38,172050.0,100.4,100.4,100.38,17274395.25,17274395.25,17274395.25,14612890.08,3
TQBR,2022-08-01,Акрон,AKRN,799.0,26572584.0,16650.0,16560.0,17096.0,16600.0,16680.0,16600.0,1593.0,16680.0,16680.0,16600.0,26572584.0,26572584.0,26572584.0,0.0,3
