BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2022-07-11,РЖД-19 обл,RU000A0JQ7Z2,85.0,413784.8,98.1,99.5,98.38,98.38,0.0,98.29,8.94,98.39,421.0,,98.31,98.38,0.0,512174.8,0.0,2024-07-08,687.0,9.0,,,7.85,39.14,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,РЖД-23 обл,RU000A0JQRD9,52.0,24474367.1,96.85,97.34,97.3,97.32,36.99,97.12,9.28,97.1,25199.0,97.12,97.12,97.32,24474367.1,24474367.1,24474367.1,2025-01-16,820.0,9.36,,,7.85,39.14,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,СЗКК 03,RU000A0JRU20,1.0,24626.25,99.5,99.5,99.5,99.5,25.81,99.5,14.63,99.5,30.0,,,99.5,0.0,0.0,0.0,2031-09-26,88.0,14.63,,,12.15,49.98,2022-10-07,2022-07-11,825.0,SUR,,,,,RUB,3
TQCB,2022-07-11,ВЭБ.РФ 21,RU000A0JS4Z7,1.0,5057.5,101.15,101.15,101.15,101.15,39.74,101.15,9.24,101.15,5.0,101.07,101.08,101.15,569047.7,518549.7,569047.7,2032-02-17,223.0,9.24,,,10.99,54.8,2023-02-28,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,МСП Банк 2,RU000A0JS603,4.0,586530.0,99.75,99.75,99.75,99.75,25.86,99.75,9.46,99.75,588.0,99.75,99.75,99.75,1263825.5,1263825.5,1263825.5,2022-08-11,31.0,9.46,,,6.25,31.16,,2022-07-11,1000.0,SUR,,,8.7772,,RUB,3
TQCB,2022-07-11,ЕАБР11,RU000A0JS934,1.0,977.8,97.78,97.78,97.78,97.78,33.02,97.78,9.86,97.78,1.0,,,97.78,0.0,0.0,0.0,2025-01-24,363.0,9.86,,,7.35,36.65,2023-07-28,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,РЖД-32 обл,RU000A0JSGV0,139.0,4517887.2,99.1,101.09,100.66,100.66,0.81,100.71,9.39,99.1,4486.0,100.71,100.71,100.66,4517887.2,4517887.2,4517887.2,2032-06-25,352.0,9.34,,,9.9,49.36,2023-07-07,2022-07-11,1000.0,SUR,,-75.2475,,2022-07-13,RUB,3
TQCB,2022-07-11,ФСК РС-22,RU000A0JSQ58,1.0,1980.2,99.01,99.01,99.01,99.01,49.57,99.01,39.68,99.01,2.0,99.89,100.03,99.01,830078.8,550161.6,830078.8,2027-07-21,16.0,39.68,,,10.9,54.35,2022-07-27,2022-07-11,1000.0,SUR,,24.7836,,2022-08-03,RUB,3
TQCB,2022-07-11,ВЭБ.РФ 18,RU000A0JT403,2.0,1900.2,95.01,95.01,95.01,95.01,21.22,95.01,10.5,95.01,2.0,,92.85,95.01,0.0,546913.7,0.0,2032-09-17,742.0,10.5,,,7.67,38.24,2024-09-27,2022-07-11,1000.0,SUR,,10.4318,,2024-10-01,RUB,3
TQCB,2022-07-11,РСХБ 17,RU000A0JT7M7,1.0,9925.0,99.25,99.25,99.25,99.25,12.95,99.25,8.47,99.25,10.0,,98.91,99.25,0.0,538086.0,0.0,2022-10-11,92.0,8.47,,,5.25,26.18,,2022-07-11,1000.0,SUR,,,8.1234,,RUB,3
TQCB,2022-07-11,РСХБ 18,RU000A0JT874,1.0,1004.9,100.49,100.49,100.49,100.49,14.59,100.49,4.11,100.49,1.0,,99.42,100.49,0.0,500078.9,0.0,2022-10-13,94.0,4.11,,,6.05,30.17,,2022-07-11,1000.0,SUR,,,4.0062,,RUB,3
TQCB,2022-07-11,Роснефть04,RU000A0JT940,32.0,216763.9,99.71,100.04,99.71,99.78,18.18,99.89,9.14,99.84,217.0,,99.88,99.78,0.0,545327.2,0.0,2022-10-17,98.0,8.42,,,7.9,39.39,,2022-07-11,1000.0,SUR,,,8.762,,RUB,3
TQCB,2022-07-11,Роснефть05,RU000A0JT965,75.0,895356.6,99.56,99.82,99.71,99.71,18.18,99.71,9.14,99.6,898.0,99.71,99.71,99.71,895356.6,895356.6,895356.6,2022-10-17,98.0,9.14,,,7.9,39.39,,2022-07-11,1000.0,SUR,,,8.762,,RUB,3
TQCB,2022-07-11,МЕТАЛИНВ 2,RU000A0JTLJ3,1.0,2039.8,101.99,101.99,101.99,101.99,34.37,101.99,3.96,101.99,2.0,,98.3,101.99,0.0,63529867.4,0.0,2023-01-27,193.0,3.96,,,7.65,38.15,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,МЕТАЛИНВ 3,RU000A0JTLL9,1.0,2040.2,102.01,102.01,102.01,102.01,34.37,102.01,3.92,102.01,2.0,,98.3,102.01,0.0,49916975.7,0.0,2023-01-27,193.0,3.92,,,7.65,38.15,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,Башнефть06,RU000A0JTM28,18.0,99204.6,99.12,99.8,99.8,99.8,33.75,99.2,8.22,99.12,100.0,,99.84,99.8,0.0,511169.7,0.0,2023-01-31,197.0,9.4,,,7.7,38.39,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,Башнефть07,RU000A0JTM36,2.0,5060.7,101.21,101.22,101.22,101.21,24.11,101.21,-14.12,101.21,5.0,99.77,99.77,101.21,1017685.9,1012672.3,1017685.9,2023-01-31,22.0,-13.98,,,5.5,27.42,2022-08-02,2022-07-11,1000.0,SUR,,-10.8502,,2022-08-08,RUB,3
TQCB,2022-07-11,Башнефть08,RU000A0JTM44,8.0,13925.8,99.3,99.5,99.3,99.4,33.75,99.47,9.2,99.41,14.0,,99.21,99.4,0.0,701407.0,0.0,2023-01-31,197.0,8.87,,,7.7,38.39,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,РусГидро07,RU000A0JTMG7,1.0,1020.0,102.0,102.0,102.0,102.0,0.43,102.0,-3.37,102.0,1.0,,,102.0,0.0,0.0,0.0,2023-02-02,206.0,-3.37,,,0.1,0.5,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,РусГидро08,RU000A0JTMK9,12.0,22157.4,95.37,96.4,96.4,96.4,0.43,96.34,6.85,96.4,23.0,,95.44,96.4,0.0,502031.4,0.0,2023-02-02,206.0,6.97,,,0.1,0.5,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,Роснефть07,RU000A0JTS06,8.0,33662.7,98.58,99.13,99.05,99.05,24.4,99.01,8.98,98.58,34.0,99.0,99.0,99.05,5600394.7,1009802.7,5600394.7,2023-03-10,236.0,9.05,,,7.3,36.4,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,Роснефть08,RU000A0JTS22,5.0,114819.0,98.81,99.23,98.81,98.82,24.4,98.98,9.38,99.0,116.0,,99.0,98.82,0.0,20104584.8,0.0,2023-03-10,236.0,9.1,,,7.3,36.4,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,РЖД-28 обл,RU000A0JTU85,19.0,11717491.4,96.24,96.48,96.48,96.48,19.38,96.48,9.27,96.48,12145.0,96.48,96.48,96.48,11717491.4,11717491.4,11717491.4,2028-03-21,588.0,9.27,,,6.8,33.91,2024-03-26,2022-07-11,1000.0,SUR,,9.2076,,2024-03-29,RUB,3
TQCB,2022-07-11,РСХБ 20,RU000A0JTVJ2,23.0,182359.3,103.18,107.89,103.65,103.65,35.14,104.21,9.24,107.86,175.0,,103.56,103.65,0.0,566496.1,0.0,2023-04-11,262.0,8.45,,,14.25,71.05,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,Роснефть06,RU000A0JTYL2,2.0,3959.0,98.9,99.0,99.0,98.98,7.86,98.98,8.35,98.9,4.0,,97.7,98.98,0.0,540269.7,0.0,2023-05-30,317.0,8.38,,,7.0,34.9,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,Роснефть10,RU000A0JTYN8,2.0,1976.0,97.61,99.99,99.99,99.99,7.86,98.8,7.12,97.61,2.0,,98.66,99.99,0.0,526870.7,0.0,2023-05-30,317.0,8.6,,,7.0,34.9,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,ОткрФКББ02,RU000A0JU0N7,1.0,1457.0,72.85,72.85,72.85,72.85,0.03,72.85,10.4,72.85,2.0,,72.67,72.85,0.0,542872.5,0.0,2025-09-24,1171.0,10.4,,,0.01,0.05,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,ВТБ БО-43,RU000A0JU773,13.0,57966.4,99.7,100.0,99.98,99.98,2.38,99.94,9.0,99.99,58.0,,99.64,99.98,0.0,506192.3,0.0,2023-09-29,426.0,9.04,,,8.7,21.69,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,ИРКУТ БО-4,RU000A0JUA45,5.0,56019.6,98.0,99.0,98.99,98.99,15.53,98.28,10.06,99.0,57.0,,98.54,98.99,0.0,732180.3,0.0,2023-11-06,460.0,10.68,,,9.0,44.88,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQIR,2022-07-11,РСГ-ФинБ01,RU000A0JUAG0,17.0,39717.8,92.87,97.97,94.18,94.72,14.32,94.57,30.12,92.88,42.0,,96.59,94.72,0.0,539944.6,0.0,2025-11-11,127.0,28.59,,,9.5,47.37,2022-11-15,2022-07-11,1000.0,SUR,,29.3469,,2022-11-17,RUB,3
TQCB,2022-07-11,РоснефтьБ6,RU000A0JUCR3,1.0,202500.0,101.25,101.25,101.25,101.25,9.21,101.25,9.05,101.25,200.0,101.65,101.55,101.25,1150697.8,893632.2,1150697.8,2023-12-11,154.0,9.05,,,12.0,59.84,2022-12-12,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,РоснефтьБ1,RU000A0JUFU0,2.0,6008.9,100.14,100.15,100.14,100.14,39.82,100.15,7.63,100.15,6.0,,100.04,100.14,0.0,515189.8,0.0,2024-02-06,29.0,7.49,,,9.5,47.37,2022-08-09,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,РоснефтьБ7,RU000A0JUFV8,4.0,29058.0,100.2,100.2,100.2,100.2,39.82,100.2,6.82,100.2,29.0,100.14,100.15,100.2,10480826.4,807235.7,10480826.4,2024-02-06,29.0,6.82,,,9.5,47.37,2022-08-09,2022-07-11,1000.0,SUR,,,,,RUB,3
TQRD,2022-07-11,ВейлФин1,RU000A0JUHV4,3.0,978.0,8.15,8.15,8.15,8.15,,8.15,,8.15,12.0,,,8.15,0.0,0.0,0.0,2023-03-08,,0.0,,,10.0,49.86,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,АИЖК2014А3,RU000A0JUJ87,3.0,1191.08,99.03,102.03,102.03,102.03,1.39,99.53,-3.51,99.03,6.0,,,102.03,0.0,0.0,0.0,2046-06-11,62.0,11.82,,,8.5,4.27,2022-09-11,2022-07-11,199.45,SUR,,,,,RUB,3
TQCB,2022-07-11,Росбн14ИП,RU000A0JUJG1,1.0,360.85,103.1,103.1,103.1,103.1,1.61,103.1,8.84,103.1,1.0,,,103.1,0.0,0.0,0.0,2024-03-27,334.0,8.84,,,12.0,10.59,,2022-07-11,350.0,SUR,,,,,RUB,3
TQCB,2022-07-11,ГПБ БО-08,RU000A0JUMH3,42.0,1308001.5,94.65,95.5,95.5,95.5,8.93,95.2,9.54,95.5,1374.0,95.2,95.2,95.5,1308001.5,1308001.5,1308001.5,2024-05-23,646.0,9.73,,,6.65,33.52,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,ГПБ БО-09,RU000A0JUQ39,2.0,3750.4,93.04,94.0,93.04,93.04,2.17,93.76,9.86,94.0,4.0,,92.78,93.04,0.0,751493.4,0.0,2024-06-27,686.0,9.41,,,5.65,28.33,2024-06-27,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,АшинМЗ БО1,RU000A0JUQC5,74.0,588073.6,89.56,90.5,90.11,90.38,7.19,90.33,42.83,89.56,651.0,90.33,90.33,90.38,588073.6,588073.6,588073.6,2024-06-17,161.0,42.05,,,12.5,62.33,2022-12-19,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,ГПБ БО-10,RU000A0JUV08,18.0,1559678.0,98.16,99.32,99.22,99.22,17.59,99.22,10.03,99.22,1572.0,99.22,99.22,99.22,1559678.0,1559678.0,1559678.0,2024-09-26,77.0,10.03,,,6.0,30.25,2022-09-26,2022-07-11,1000.0,SUR,,9.6381,,2022-09-28,RUB,3
TQCB,2022-07-11,РСХБ БО14,RU000A0JUW72,1.0,49825.0,99.65,99.65,99.65,99.65,1.42,99.65,9.27,99.65,50.0,,99.47,99.65,0.0,1197649.3,0.0,2024-09-30,84.0,9.27,,,7.4,18.45,2022-10-03,2022-07-11,1000.0,SUR,,8.9386,,2022-10-05,RUB,3
TQCB,2022-07-11,РоснфтБО3,RU000A0JV1X3,14.0,60140.0,99.62,101.81,101.24,101.24,10.04,100.23,9.0,100.99,60.0,,100.73,101.24,0.0,133566011.0,0.0,2024-11-28,793.0,9.5,,,9.4,46.87,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,РоснфтБО9,RU000A0JV219,4.0,25137.2,100.03,102.17,102.17,100.55,10.04,100.55,8.54,100.05,25.0,,100.15,100.55,0.0,6410405.6,0.0,2024-11-28,793.0,9.34,,,9.4,46.87,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,ВТБ БО-30,RU000A0JV3Q3,12.0,55656.4,99.04,100.43,100.43,100.43,5.0,99.39,7.41,99.23,56.0,,102.36,100.43,0.0,500544.1,0.0,2024-12-13,414.0,8.4,,,7.6,18.95,2023-09-15,2022-07-11,1000.0,SUR,,7.3259,,2023-09-19,RUB,3
TQCB,2022-07-11,РСХБ БО15,RU000A0JV3R1,1.0,10050.0,100.5,100.5,100.5,100.5,6.48,100.5,9.6,100.5,10.0,,,100.5,0.0,0.0,0.0,2024-12-13,327.0,9.6,,,9.85,24.56,2023-06-16,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,РСХБ БО17,RU000A0JV987,6.0,19833.0,89.04,99.4,98.9,98.9,7.91,94.44,6.65,99.4,21.0,,,98.9,0.0,0.0,0.0,2025-02-13,389.0,11.34,,,5.45,13.59,2023-08-17,2022-07-11,1000.0,SUR,,6.5717,,2023-08-21,RUB,3
TQCB,2022-07-11,ГТЛК БО-04,RU000A0JVA10,28.0,91217.1,96.78,97.48,97.0,97.0,7.0,97.04,11.21,96.78,94.0,,97.98,97.0,0.0,510478.9,0.0,2025-03-06,405.0,11.17,,,7.98,19.9,2023-09-07,2022-07-11,1000.0,SUR,,11.0552,,2023-09-12,RUB,3
TQCB,2022-07-11,РусГидро09,RU000A0JVD25,2.0,1973.9,98.43,98.96,98.43,98.7,17.05,98.7,9.88,98.96,2.0,99.01,99.02,98.7,669287.2,635695.3,669287.2,2025-04-15,274.0,9.48,,,7.5,37.4,2023-04-18,2022-07-11,1000.0,SUR,,9.7344,,2023-04-21,RUB,3
TQCB,2022-07-11,РостелБО-1,RU000A0JVFC6,1.0,979.6,97.96,97.96,97.96,97.96,10.68,97.96,8.13,97.96,1.0,,,97.96,0.0,0.0,0.0,2025-05-16,947.0,8.13,,,7.5,37.4,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,ТрансФБО39,RU000A0JVHH1,4.0,14996.7,87.02,92.79,92.74,92.74,7.68,88.22,11.84,87.02,17.0,,80.94,92.74,0.0,551168.6,0.0,2025-06-04,946.0,14.0,,,8.5,42.38,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,Оренб35003,RU000A0JVM81,114.0,887259.48,107.95,110.33,109.59,109.59,0.92,109.78,8.89,109.79,1347.0,109.78,109.78,109.59,887259.48,887259.48,887259.48,2025-07-03,645.0,8.78,,,14.0,20.94,,2022-07-11,600.0,SUR,,,,,RUB,3
TQCB,2022-07-11,РСХБ 24,RU000A0JVN56,4.0,23579.9,100.01,104.88,102.0,102.0,51.48,102.52,3.64,104.88,23.0,,101.89,102.0,0.0,755022.7,0.0,2025-07-11,90.0,1.62,,,21.6,53.85,2022-10-14,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,РСХБ 26,RU000A0JVN98,6.0,12204.1,97.64,111.0,100.01,100.01,42.3,101.7,18.85,101.98,12.0,,,100.01,0.0,0.0,0.0,2025-07-15,8.0,-48.6,,,18.6,46.37,2022-07-19,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,РОССИУМ 01,RU000A0JVT43,5.0,36126.0,100.35,100.35,100.35,100.35,66.74,100.35,20.03,100.35,36.0,,,100.35,0.0,0.0,0.0,2025-09-15,70.0,20.03,,,21.75,108.45,2022-09-19,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,Новсиб 7об,RU000A0JVUD3,5.0,6975.83,101.06,101.75,101.75,101.75,0.3,101.1,5.04,101.07,138.0,,100.83,101.75,0.0,1255686.28,0.0,2022-10-10,91.0,7.79,,,12.16,1.82,,2022-07-11,50.0,SUR,,,4.8967,,RUB,3
TQCB,2022-07-11,СистемБ1P1,RU000A0JVUK8,45.0,472217.0,104.98,105.45,105.44,105.44,45.18,105.17,9.26,105.06,449.0,,105.11,105.44,0.0,519233.9,0.0,2025-09-30,253.0,9.65,,,17.0,84.77,2023-04-04,2022-07-11,1000.0,SUR,,9.1242,,2023-04-07,RUB,3
TQCB,2022-07-11,РЕСОЛизБ03,RU000A0JVUS1,1.0,990.0,99.0,99.0,99.0,99.0,17.25,99.0,11.27,99.0,1.0,,97.8,99.0,0.0,48941597.5,0.0,2025-10-03,88.0,11.27,,,6.7,33.41,2022-10-07,2022-07-11,1000.0,SUR,,10.6408,,2022-10-11,RUB,3
TQCB,2022-07-11,РосбанкБО8,RU000A0JVUY9,1.0,780.6,78.06,78.06,78.06,78.06,2.25,78.06,9.06,78.06,1.0,,,78.06,0.0,0.0,0.0,2025-10-20,1175.0,9.06,,,1.0,5.01,,2022-07-11,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-11,РОСНАНО 6,RU000A0JVVA7,23.0,4858624.5,99.49,100.69,100.15,100.15,30.14,100.16,12.05,99.49,4851.0,100.16,100.16,100.15,4858624.5,4858624.5,4858624.5,2022-10-13,94.0,12.01,,,12.5,62.33,,2022-07-11,1000.0,SUR,,,11.4196,,RUB,3
TQCB,2022-07-11,РЖД БО-02,RU000A0JVW71,2.0,101530.8,99.54,99.54,99.54,99.54,15.98,99.54,9.06,99.54,102.0,99.4,99.4,99.54,99598013.5,49861247.3,99598013.5,2025-10-16,101.0,9.06,,,7.2,35.9,2022-10-20,2022-07-11,1000.0,SUR,,8.3798,,2022-10-27,RUB,3
TQCB,2022-07-11,ГТЛК БО-05,RU000A0JVWD9,7.0,90856.7,101.17,102.23,102.23,102.2,24.11,102.09,9.44,101.17,89.0,,100.08,102.2,0.0,503396.4,0.0,2025-10-17,431.0,9.56,,,11.0,27.42,2023-10-20,2022-07-11,1000.0,SUR,,9.3194,,2023-10-25,RUB,3
