BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-07-11,АбрауДюрсо,ABRD,332.0,3261305.0,174.5,171.5,177.5,172.5,173.0,172.5,18830.0,173.0,173.0,172.5,3261305.0,3261305.0,3261305.0,0.0,3
SMAL,2022-07-11,Система ао,AFKS,10.0,1118.14,15.0,13.297,15.0,,14.897,14.965,82.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-07-11,Система ао,AFKS,9255.0,245722040.8,14.925,14.76,15.045,14.8,14.897,14.8,16494700.0,14.897,14.897,14.8,245722040.8,245722040.8,245722040.8,0.0,3
SMAL,2022-07-11,Аэрофлот,AFLT,4.0,109.84,28.0,26.78,28.0,,27.58,27.98,4.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-07-11,Аэрофлот,AFLT,9154.0,120307396.6,27.64,27.12,27.9,27.7,27.58,27.7,4360820.0,27.58,27.58,27.7,120307396.6,120307396.6,120307396.6,0.0,3
TQBR,2022-07-11,AGRO-гдр,AGRO,6302.0,40976486.0,845.0,809.2,845.0,821.2,820.2,821.2,49963.0,820.2,820.2,821.2,40976486.0,40976486.0,40976486.0,0.0,3
TQTF,2022-07-11,AKGD ETF,AKGD,364.0,19280634.54,80.91,77.5,80.91,78.14,78.3,78.01,246222.0,78.31,78.31,78.14,19280634.54,19280634.54,19280634.54,5624469.32,3
TQTF,2022-07-11,ETF AKMB,AKMB,5513.0,4298808.71,1.155,1.1502,1.162,1.1547,1.1583,1.1546,3715484.0,1.157,1.157,1.1547,4298808.71,4298808.71,4298808.71,7176516.61,3
TQTF,2022-07-11,ETF AKME,AKME,229.0,591049.5,83.44,81.36,84.7,81.76,81.8,81.74,7203.0,82.06,82.06,81.76,591049.5,591049.5,591049.5,3308119.67,3
TQBR,2022-07-11,Акрон,AKRN,1392.0,56532860.0,18390.0,17624.0,18462.0,18058.0,18084.0,18058.0,3126.0,18084.0,18084.0,18058.0,56532860.0,56532860.0,56532860.0,0.0,3
TQTF,2022-07-11,ETF AKSC,AKSC,29.0,1669.6,37.76,36.38,40.0,36.82,37.82,36.96,44.0,,35.58,36.82,0.0,500194.56,0.0,48267.75,3
TQTF,2022-07-11,AKVG ETF,AKVG,33.0,14738.92,38.32,36.86,40.28,37.16,38.34,37.16,388.0,,35.7,37.16,0.0,500942.02,0.0,37533.36,3
SMAL,2022-07-11,АЛРОСА ао,ALRS,14.0,1572.16,66.0,64.5,66.2,,65.84,65.98,24.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-07-11,АЛРОСА ао,ALRS,16546.0,255276187.6,66.83,65.11,66.84,65.11,65.84,65.11,3877160.0,65.84,65.84,65.11,255276187.6,255276187.6,255276187.6,0.0,3
TQTD,2022-07-11,AMCC ETF,AMCC,2.0,582.28,0.885,0.878,0.885,0.854,0.863,0.878,660.0,,55.2,0.854,0.0,531260.1,0.0,2201.12,3
TQTF,2022-07-11,AMCC ETF,AMCC,56.0,169189.0,49.8,49.8,56.9,52.3,52.9,52.3,3213.0,,55.2,52.3,0.0,531260.1,0.0,134854.76,3
TQTD,2022-07-11,AMDG ETF,AMDG,1.0,635.5,1.271,1.271,1.271,1.234,1.244,1.271,500.0,,78.9,1.234,0.0,577917.33,0.0,1244.14,3
TQTF,2022-07-11,AMDG ETF,AMDG,52.0,72607.6,72.0,72.0,79.6,75.6,76.2,75.9,963.0,,78.9,75.6,0.0,577917.33,0.0,76223.95,3
