BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-07-12,АбрауДюрсо,ABRD,242.0,2023865.0,173.0,171.0,174.0,172.5,172.0,172.5,11770.0,172.0,172.0,172.5,2023865.0,2023865.0,2023865.0,0.0,3
SMAL,2022-07-12,Система ао,AFKS,1.0,14.0,14.001,14.001,14.001,,14.31,14.001,1.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-07-12,Система ао,AFKS,18531.0,521639077.5,14.351,14.04,14.664,14.173,14.31,14.173,36452900.0,14.31,14.31,14.173,521639077.5,521639077.5,521639077.5,0.0,3
SMAL,2022-07-12,Аэрофлот,AFLT,11.0,1407.94,27.46,27.46,28.76,,27.38,28.76,49.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-07-12,Аэрофлот,AFLT,7003.0,103752083.0,27.6,27.14,27.78,27.3,27.38,27.3,3789510.0,27.38,27.38,27.3,103752083.0,103752083.0,103752083.0,0.0,3
TQBR,2022-07-12,AGRO-гдр,AGRO,6954.0,53972785.6,825.0,788.2,825.0,802.0,801.0,802.0,67379.0,801.0,801.0,802.0,53972785.6,53972785.6,53972785.6,0.0,3
TQTF,2022-07-12,AKGD ETF,AKGD,444.0,9463251.97,77.5,73.66,81.44,75.96,75.72,75.97,124966.0,75.73,75.73,75.96,9463251.97,9463251.97,9463251.97,5609151.89,3
TQTF,2022-07-12,ETF AKMB,AKMB,6522.0,8784806.1,1.1546,1.1525,1.1661,1.1584,1.1594,1.1615,7571466.0,1.1603,1.1603,1.1584,8784806.1,8784806.1,8784806.1,6847030.89,3
TQTF,2022-07-12,ETF AKME,AKME,216.0,3782083.42,83.96,79.8,84.4,79.98,80.2,79.98,47034.0,80.42,80.42,79.98,3782083.42,3782083.42,3782083.42,3024909.64,3
TQTD,2022-07-12,AKQU ETF,AKQU,6.0,3962.6,85.0,84.28,85.0,84.28,84.31,84.28,47.0,5290.2,5278.1,84.28,7136481.03,1894837.2,7136481.03,33135.92,3
TQBR,2022-07-12,Акрон,AKRN,1884.0,59954872.0,18096.0,17400.0,18396.0,17782.0,17838.0,17782.0,3361.0,17838.0,17838.0,17782.0,59954872.0,59954872.0,59954872.0,0.0,3
TQTD,2022-07-12,ETF AKSC,AKSC,2.0,6471.53,0.599,0.591,0.599,0.577,0.59,0.591,10950.0,,35.64,0.577,0.0,500141.6,0.0,787.8,3
TQTF,2022-07-12,ETF AKSC,AKSC,21.0,17226.68,36.96,33.86,36.96,35.38,36.16,35.38,497.0,,35.64,35.38,0.0,500141.6,0.0,48295.58,3
TQTF,2022-07-12,AKVG ETF,AKVG,22.0,8030.22,37.16,34.48,37.16,35.96,35.12,35.9,229.0,,35.62,35.96,0.0,500134.22,0.0,37779.01,3
SMAL,2022-07-12,АЛРОСА ао,ALRS,5.0,1102.36,64.31,64.3,68.86,,64.25,64.3,17.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-07-12,АЛРОСА ао,ALRS,16989.0,269040003.6,65.05,63.52,65.18,65.18,64.25,65.18,4187090.0,64.25,64.25,65.18,269040003.6,269040003.6,269040003.6,0.0,3
TQTF,2022-07-12,AMCC ETF,AMCC,35.0,164092.3,48.3,48.2,52.0,51.0,51.0,51.0,3216.0,,53.3,51.0,0.0,519552.4,0.0,138269.14,3
TQTF,2022-07-12,AMDG ETF,AMDG,91.0,4692581.2,69.6,69.5,77.5,75.2,73.0,75.2,64275.0,73.0,73.0,75.2,4692581.2,4692581.2,4692581.2,78082.99,3
TQTF,2022-07-12,AMEM ETF,AMEM,50.0,361636.1,54.5,54.4,59.6,58.7,58.4,58.7,6190.0,,58.5,58.7,0.0,510796.0,0.0,158059.38,3
SMAL,2022-07-12,АшинскийМЗ,AMEZ,1.0,31.41,31.405,31.405,31.405,,23.885,31.405,1.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-07-12,АшинскийМЗ,AMEZ,8616.0,106012922.5,22.46,22.01,24.895,23.155,23.885,23.155,4438600.0,23.885,23.885,23.155,106012922.5,106012922.5,106012922.5,0.0,3
TQTF,2022-07-12,AMGF ETF,AMGF,23.0,21166.7,62.6,62.6,68.5,66.6,66.1,66.5,320.0,,70.3,66.6,0.0,619913.5,0.0,86236.29,3
TQTF,2022-07-12,AMGM ETF,AMGM,565.0,318640.8,65.8,62.9,65.8,64.6,63.9,64.6,4984.0,,64.6,64.6,0.0,501818.6,0.0,220247.87,3
TQTF,2022-07-12,AMGR ETF,AMGR,38.0,205260.4,30.7,29.4,30.7,30.5,30.4,30.4,6762.0,,31.9,30.5,0.0,579039.55,0.0,142161.42,3
TQTF,2022-07-12,AMHC ETF,AMHC,47.0,411543.9,77.0,77.0,85.9,81.9,82.2,81.9,5007.0,,82.4,81.9,0.0,512731.4,0.0,198869.42,3
TQTF,2022-07-12,AMHY ETF,AMHY,18.0,17893.5,69.8,68.7,73.1,70.0,69.9,69.9,256.0,,71.7,70.0,0.0,530899.44,0.0,48461.84,3
TQTD,2022-07-12,AMIG ETF,AMIG,1.0,12.04,1.204,1.204,1.204,1.105,1.105,1.204,10.0,,69.3,1.105,0.0,500013.91,0.0,798.1,3
TQTF,2022-07-12,AMIG ETF,AMIG,21.0,20675.8,62.1,62.0,69.9,67.7,67.8,67.7,306.0,,69.3,67.7,0.0,500013.91,0.0,48927.14,3
TQTF,2022-07-12,AMIN ETF,AMIN,48.0,123138.6,27.9,26.9,28.3,27.9,27.6,27.8,4466.0,,29.3,27.9,0.0,532400.26,0.0,68525.86,3
