BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2022-07-08,ДОМ.РФ14об,RU000A0JQAL8,1.0,16640.0,104.0,104.0,104.0,104.0,24.41,104.0,4.77,104.0,16.0,,103.83,104.0,0.0,626120.0,0.0,2023-05-15,130.0,4.77,,,16.5,83.18,2022-11-15,2022-07-08,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-08,РЖД-23 обл,RU000A0JQRD9,38.0,394165.5,97.02,99.71,97.14,97.13,36.35,97.57,9.35,97.79,404.0,,97.43,97.13,0.0,554402.3,0.0,2025-01-16,824.0,9.15,,,7.85,39.14,,2022-07-08,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-08,ВЭБ.РФ 21,RU000A0JS4Z7,7.0,453813.7,100.66,101.15,101.1,101.1,38.84,101.07,9.34,101.15,449.0,101.04,101.08,101.1,976065.3,514500.2,976065.3,2032-02-17,226.0,9.39,,,10.99,54.8,2023-02-28,2022-07-08,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-08,МСП Банк 2,RU000A0JS603,6.0,677295.5,99.7,99.75,99.75,99.75,25.34,99.75,9.35,99.7,679.0,99.72,99.73,99.75,1408086.5,1113971.5,1408086.5,2022-08-11,34.0,9.35,,,6.25,31.16,,2022-07-08,1000.0,SUR,,,8.1824,,RUB,3
TQCB,2022-07-08,РЖД-32 обл,RU000A0JSGV0,235.0,2686414.4,99.91,104.98,101.21,101.21,0.0,101.15,8.78,102.5,2656.0,101.15,101.15,101.21,2686414.4,2686414.4,2686414.4,2032-06-25,355.0,8.85,,,10.5,52.36,2023-07-07,2022-07-08,1000.0,SUR,,-60.7963,,2022-07-13,RUB,3
TQCB,2022-07-08,ВЭБ.РФ 18,RU000A0JT403,7.0,49642.4,90.7,96.6,96.0,95.97,20.59,95.47,9.94,90.7,52.0,,92.85,95.97,0.0,545013.5,0.0,2032-09-17,745.0,10.24,,,7.67,38.24,2024-09-27,2022-07-08,1000.0,SUR,,9.8551,,2024-10-01,RUB,3
TQCB,2022-07-08,ВЭБ.РФ 19,RU000A0JT6B2,3.0,18241.1,96.0,96.01,96.0,96.01,18.85,96.01,10.29,96.01,19.0,,96.2,96.01,0.0,1055263.4,0.0,2032-09-23,597.0,10.28,,,7.48,37.3,2024-04-04,2022-07-08,1000.0,SUR,,10.1726,,2024-04-08,RUB,3
TQCB,2022-07-08,РСХБ 17,RU000A0JT7M7,1.0,9925.0,99.25,99.25,99.25,99.25,12.51,99.25,8.43,99.25,10.0,,98.91,99.25,0.0,528161.0,0.0,2022-10-11,95.0,8.43,,,5.25,26.18,,2022-07-08,1000.0,SUR,,,7.9215,,RUB,3
TQCB,2022-07-08,РСХБ 18,RU000A0JT874,4.0,112771.8,99.66,100.98,99.66,99.79,14.09,99.8,7.49,100.98,113.0,,99.39,99.79,0.0,508883.0,0.0,2022-10-13,97.0,6.91,,,6.05,30.17,,2022-07-08,1000.0,SUR,,,7.0629,,RUB,3
TQCB,2022-07-08,Роснефть04,RU000A0JT940,54.0,549948.7,99.53,100.0,99.89,99.88,17.53,99.81,8.42,99.78,551.0,99.81,99.81,99.88,549948.7,549948.7,549948.7,2022-10-17,101.0,8.74,,,7.9,39.39,,2022-07-08,1000.0,SUR,,,7.9271,,RUB,3
