BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2022-06-02,МГор48-об,RU000A0JNYN1,78.0,2678195.6,99.82,99.95,99.82,99.83,28.44,99.9,14.85,99.88,2681.0,99.9,99.9,99.83,2678195.6,2678195.6,2678195.6,2022-06-11,9.0,10.84,,,6.0,29.92,,2022-06-02,1000.0,SUR,,,12.3231,,RUB,3
TQCB,2022-06-02,РЖД-19 обл,RU000A0JQ7Z2,14.0,34563.8,95.86,96.32,96.32,96.32,30.75,96.01,10.07,95.9,36.0,,95.68,96.32,0.0,507128.0,0.0,2024-07-08,699.0,10.25,,,7.85,39.14,,2022-06-02,1000.0,SUR,,,,,RUB,3
TQCB,2022-06-02,РЖД-23 обл,RU000A0JQRD9,49.0,28779927.1,94.89,95.7,95.69,95.46,28.6,95.33,9.98,94.92,30190.0,95.33,95.33,95.46,28779927.1,28779927.1,28779927.1,2025-01-16,858.0,10.15,,,7.85,39.14,,2022-06-02,1000.0,SUR,,,,,RUB,3
TQCB,2022-06-02,ЗСД 01,RU000A0JRJB8,1.0,2682.0,134.1,134.1,134.1,134.1,2.57,134.1,5.63,134.1,2.0,,,134.1,0.0,0.0,0.0,2031-05-13,2353.0,5.63,,,10.44,52.06,,2022-06-02,1000.0,SUR,,,,,RUB,3
TQCB,2022-06-02,ВЭБ.РФ 21,RU000A0JS4Z7,3.0,2980.7,99.35,99.36,99.36,99.36,28.0,99.36,12.22,99.36,3.0,,98.73,99.36,0.0,563773.6,0.0,2032-02-17,262.0,12.22,,,10.99,54.8,2023-02-28,2022-06-02,1000.0,SUR,,,,,RUB,3
TQCB,2022-06-02,РЖД-32 обл,RU000A0JSGV0,21.0,421699.4,99.84,99.99,99.92,99.93,42.0,99.93,11.44,99.85,422.0,,99.93,99.93,0.0,500630.2,0.0,2032-06-25,36.0,11.32,,,10.5,52.36,2022-07-08,2022-06-02,1000.0,SUR,,9.7459,,2022-07-13,RUB,3
TQCB,2022-06-02,ФСК РС-22,RU000A0JSQ58,7.0,9929.9,98.32,99.96,98.32,98.32,37.93,99.3,23.92,99.94,10.0,,98.49,98.32,0.0,603738.2,0.0,2027-07-21,55.0,16.18,,,10.9,54.35,2022-07-27,2022-06-02,1000.0,SUR,,20.6709,,2022-08-03,RUB,3
TQCB,2022-06-02,ВЭБ.РФ 18,RU000A0JT403,6.0,12207.0,93.9,93.9,93.9,93.9,13.03,93.9,10.98,93.9,13.0,,94.52,93.9,0.0,742944.8,0.0,2032-09-17,781.0,10.98,,,7.67,38.24,2024-09-27,2022-06-02,1000.0,SUR,,10.9186,,2024-10-01,RUB,3
TQCB,2022-06-02,ВЭБ.РФ 19,RU000A0JT6B2,4.0,570004.4,93.07,94.85,93.07,93.07,11.48,94.84,12.11,94.82,601.0,93.47,93.48,93.07,7856566.7,7822051.9,7856566.7,2032-09-23,632.0,10.91,,,7.48,37.3,2024-04-04,2022-06-02,1000.0,SUR,,12.0253,,2024-04-08,RUB,3
TQCB,2022-06-02,РСХБ 17,RU000A0JT7M7,1.0,4884.0,97.68,97.68,97.68,97.68,7.34,97.68,12.42,97.68,5.0,,98.11,97.68,0.0,508195.0,0.0,2022-10-11,131.0,12.42,,,5.25,26.18,,2022-06-02,1000.0,SUR,,,11.8609,,RUB,3
TQCB,2022-06-02,Роснефть04,RU000A0JT940,60.0,535246.4,98.66,99.66,99.03,99.03,9.74,98.94,10.85,98.75,541.0,98.94,98.94,99.03,535246.4,535246.4,535246.4,2022-10-17,137.0,11.12,,,7.9,39.39,,2022-06-02,1000.0,SUR,,,10.4224,,RUB,3
TQCB,2022-06-02,Роснефть05,RU000A0JT965,69.0,904951.3,98.67,99.0,99.0,99.0,9.74,98.9,10.94,98.9,915.0,98.9,98.9,99.0,904951.3,904951.3,904951.3,2022-10-17,137.0,11.24,,,7.9,39.39,,2022-06-02,1000.0,SUR,,,10.5055,,RUB,3
TQCB,2022-06-02,МЕТАЛИНВ 2,RU000A0JTLJ3,1.0,1901.0,95.05,95.05,95.05,95.05,26.2,95.05,16.52,95.05,2.0,,97.24,95.05,0.0,590261.3,0.0,2023-01-27,232.0,16.52,,,7.65,38.15,,2022-06-02,1000.0,SUR,,,,,RUB,3
TQCB,2022-06-02,Башнефть06,RU000A0JTM28,31.0,875049.6,97.11,98.89,98.0,98.0,25.53,97.66,11.17,98.89,896.0,97.66,97.66,98.0,875049.6,875049.6,875049.6,2023-01-31,236.0,11.75,,,7.7,38.39,,2022-06-02,1000.0,SUR,,,,,RUB,3
TQCB,2022-06-02,Башнефть07,RU000A0JTM36,1.0,1980.2,99.01,99.01,99.01,99.01,18.23,99.01,11.98,99.01,2.0,,98.78,99.01,0.0,503785.5,0.0,2023-01-31,61.0,11.98,,,5.5,27.42,2022-08-02,2022-06-02,1000.0,SUR,,10.6948,,2022-08-08,RUB,3
TQCB,2022-06-02,Башнефть08,RU000A0JTM44,2.0,2930.8,97.58,97.92,97.92,97.92,25.53,97.69,11.3,97.58,3.0,,97.08,97.92,0.0,521294.8,0.0,2023-01-31,236.0,11.7,,,7.7,38.39,,2022-06-02,1000.0,SUR,,,,,RUB,3
TQCB,2022-06-02,Башнефть09,RU000A0JTM51,1.0,1009.9,100.99,100.99,100.99,100.99,18.23,100.99,-0.51,100.99,1.0,98.7,98.7,100.99,19751405.5,19668100.0,19751405.5,2023-01-31,61.0,-0.51,,,5.5,27.42,2022-08-02,2022-06-02,1000.0,SUR,,-0.4559,,2022-08-08,RUB,3
TQCB,2022-06-02,РусГидро08,RU000A0JTMK9,3.0,6579.5,93.83,94.07,93.83,93.83,0.33,93.99,10.11,94.07,7.0,,93.86,93.83,0.0,500297.8,0.0,2023-02-02,245.0,9.83,,,0.1,0.5,,2022-06-02,1000.0,SUR,,,,,RUB,3
TQCB,2022-06-02,Роснефть07,RU000A0JTS06,15.0,860391.3,96.73,98.0,98.0,98.0,16.6,97.99,10.3,97.99,878.0,97.99,97.99,98.0,860391.3,860391.3,860391.3,2023-03-10,275.0,10.31,,,7.3,36.4,,2022-06-02,1000.0,SUR,,,,,RUB,3
TQCB,2022-06-02,Роснефть08,RU000A0JTS22,10.0,22448.8,97.07,97.99,97.88,97.88,16.6,97.6,10.47,97.79,23.0,,97.5,97.88,0.0,958439.0,0.0,2023-03-10,275.0,10.89,,,7.3,36.4,,2022-06-02,1000.0,SUR,,,,,RUB,3
TQCB,2022-06-02,МТС БО-01,RU000A0JTTA5,6.0,820502.7,94.5,97.0,97.0,97.0,12.64,96.99,10.76,94.5,846.0,97.18,97.07,97.0,973725.1,871654.1,973725.1,2023-03-22,287.0,10.77,,,6.5,32.41,,2022-06-02,1000.0,SUR,,,,,RUB,3
TQCB,2022-06-02,РСХБ 20,RU000A0JTVJ2,8.0,129818.6,97.79,107.3,102.69,102.69,19.91,103.35,11.12,107.3,126.0,,101.35,102.69,0.0,508784.1,0.0,2023-04-11,301.0,10.27,,,14.25,71.05,,2022-06-02,1000.0,SUR,,,,,RUB,3
