BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2022-07-26,РЖД-19 обл,RU000A0JQ7Z2,37.0,3576900.3,99.4,99.69,99.5,99.67,3.23,99.41,8.29,99.68,3598.0,99.41,99.41,99.67,3576900.3,3576900.3,3576900.3,2024-07-08,673.0,8.35,,,7.85,39.14,,2022-07-26,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-26,ДОМ.РФ14об,RU000A0JQAL8,2.0,2080.0,104.0,104.0,104.0,104.0,32.55,104.0,3.15,104.0,2.0,,103.84,104.0,0.0,646920.0,0.0,2023-05-15,112.0,3.15,,,16.5,83.18,2022-11-15,2022-07-26,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-26,РЖД-23 обл,RU000A0JQRD9,47.0,323180.4,99.0,99.14,99.14,99.14,1.08,99.14,8.41,99.0,326.0,,99.13,99.14,0.0,502592.6,0.0,2025-01-16,839.0,8.41,,,7.85,39.14,,2022-07-26,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-26,СЗКК 03,RU000A0JRU20,2.0,3361.8,99.5,108.99,99.5,99.5,29.93,101.87,15.07,108.99,4.0,,,99.5,0.0,0.0,0.0,2031-09-26,73.0,2.55,,,12.15,49.98,2022-10-07,2022-07-26,825.0,SUR,,,,,RUB,3
TQCB,2022-07-26,ОткрФКББ03,RU000A0JRZ74,1.0,760.0,76.0,76.0,76.0,76.0,0.0,76.0,9.68,76.0,1.0,,73.75,76.0,0.0,522908.9,0.0,2025-07-16,1086.0,9.68,,,0.01,0.05,,2022-07-26,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-26,ВЭБ.РФ 21,RU000A0JS4Z7,1.0,95457.0,101.55,101.55,101.55,101.55,44.26,101.55,8.39,101.55,94.0,101.35,101.35,101.55,21042470.0,19547562.5,21042470.0,2032-02-17,208.0,8.39,,,10.99,54.8,2023-02-28,2022-07-26,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-26,МСП Банк 2,RU000A0JS603,5.0,243878.0,99.95,99.95,99.95,99.95,28.42,99.95,7.5,99.95,244.0,99.89,99.94,99.95,1676146.0,712593.5,1676146.0,2022-08-11,16.0,7.5,,,6.25,31.16,,2022-07-26,1000.0,SUR,,,6.7898,,RUB,3
TQCB,2022-07-26,ЕАБР11,RU000A0JS934,1.0,985.8,98.58,98.58,98.58,98.58,36.05,98.58,9.06,98.58,1.0,,97.36,98.58,0.0,4115602.4,0.0,2025-01-24,348.0,9.06,,,7.35,36.65,2023-07-28,2022-07-26,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-26,РЖД-32 обл,RU000A0JSGV0,46.0,565168.6,101.13,101.43,101.34,101.34,4.88,101.28,8.56,101.13,558.0,101.28,101.28,101.34,565168.6,565168.6,565168.6,2032-06-25,337.0,8.63,,,9.9,49.36,2023-07-07,2022-07-26,1000.0,SUR,,,,,RUB,3
TQCB,2022-07-26,ФСК РС-22,RU000A0JSQ58,26.0,1192170.4,99.0,100.54,100.2,100.2,54.05,100.01,9.24,99.0,1192.0,100.01,100.01,100.2,1192170.4,1192170.4,1192170.4,2027-07-21,648.0,9.35,,,10.9,54.35,2024-07-24,2022-07-26,1000.0,SUR,,1042.5605,,2022-08-03,RUB,3
