BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-09-13,AMDRUB_TOM,AMDRUB_TOM,15.2775,15.0,15.2775,15.02,70.0,1287167.0,15.0722
CNGD,2022-09-13,BYN_TODTOM,BYNRUBTODTOM,0.0129,0.0129,0.0129,0.0129,11.0,8258668.06,
CETS,2022-09-13,BYNRUB_TOM,BYNRUB_TOM,23.765,23.6225,23.77,23.73,398.0,186944577.5,23.7059
CETS,2022-09-13,CNYRUB_TOD,CNY000000TOD,8.73,8.646,8.742,8.669,2028.0,4449292573.0,8.6996
CETS,2022-09-13,CNY_TODTOM,CNYRUBTODTOM,0.001201,0.001201,0.001942,0.001935,731.0,211956106396.2,0.001918
CNGD,2022-09-13,CNY_TODTOM,CNYRUBTODTOM,0.0,-0.0037,0.0048,0.004014,2776.0,14408107805.08,
CNGD,2022-09-13,CNYRUB_LTV,CNYRUB_FWD,8.71,8.71,8.71,8.71,1.0,2613000000.0,
CETS,2022-09-13,CNYRUB_TOM,CNYRUB_TOM,8.713,8.556,8.744,8.595,40837.0,46063573101.0,8.6494
CNGD,2022-09-13,CNYRUB_TOM,CNYRUB_TOM,8.715,8.558,8.742,8.594,12801.0,2813751017.86,
CETS,2022-09-13,EUR_TODTOM,EUR000TODTOM,-0.0397,-0.0501,0.0,-0.01,695.0,59574819870.0,-0.0111
CNGD,2022-09-13,EUR_TODTOM,EUR000TODTOM,0.0,-0.035,0.0334,-0.0167,671.0,1434117748.55,
CETS,2022-09-13,EURRUB_TMS,EURRUB_TMS,61.8,59.8025,61.9,60.0,1216.0,21854252.09,60.7768
CETS,2022-09-13,EURUSD_TOD,EURUSD000TOD,1.01356,1.01319,1.0185,1.0185,33.0,108678036.02,1.01446
CNGD,2022-09-13,EURUSD_TOD,EURUSD000TOD,1.02413,1.00386,1.02413,1.02413,1255.0,13776840.57,
CETS,2022-09-13,EURUSD_TOM,EURUSD000TOM,1.01002,0.99872,1.01859,1.0008,6759.0,25150865939.26,1.01084
