BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2022-10-26,РЖД-19 обл,RU000A0JQ7Z2,55.0,5002218.5,99.19,99.29,99.29,99.29,23.01,99.29,8.47,99.19,5038.0,99.29,99.29,99.29,5002218.5,5002218.5,5002218.5,2024-07-08,581.0,8.47,,,7.85,39.14,,2022-10-26,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-26,ДОМ.РФ14об,RU000A0JQAL8,1.0,44268.5,102.95,102.95,102.95,102.95,74.14,102.95,-30.74,102.95,43.0,,103.4,102.95,0.0,552155.2,0.0,2023-05-15,20.0,-30.74,,,16.5,83.18,2022-11-15,2022-10-26,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-26,РЖД-23 обл,RU000A0JQRD9,41.0,9973562.5,98.46,99.66,98.68,98.68,20.86,98.7,8.68,98.95,10105.0,98.7,98.7,98.68,9973562.5,9973562.5,9973562.5,2025-01-16,746.0,8.67,,,7.85,39.14,,2022-10-26,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-26,СЗКК 03,RU000A0JRU20,1.0,7980.0,100.0,100.0,100.0,100.0,7.19,100.0,17.96,100.0,10.0,,99.67,100.0,0.0,515384.31,0.0,2031-09-26,163.0,17.96,,,17.3,68.84,2023-04-07,2022-10-26,798.0,SUR,,,,,RUB,3
TQCB,2022-10-26,ЗСД 03,RU000A0JS4J1,1.0,1125.1,112.51,112.51,112.51,112.51,18.33,112.51,8.07,112.51,1.0,,,112.51,0.0,0.0,0.0,2032-02-06,2329.0,8.07,,,9.84,49.07,,2022-10-26,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-26,ВЭБ.РФ 21,RU000A0JS4Z7,2.0,40400.0,101.0,101.0,101.0,101.0,17.16,101.0,8.04,101.0,40.0,,102.87,101.0,0.0,526671.1,0.0,2032-02-17,125.0,8.04,,,10.99,54.8,2023-02-28,2022-10-26,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-26,РЖД-32 обл,RU000A0JSGV0,15.0,10557684.9,101.02,101.3,101.22,101.22,29.84,101.08,8.18,101.06,10445.0,101.08,101.08,101.22,10557684.9,10557684.9,10557684.9,2032-06-25,246.0,8.4,,,9.9,49.36,2023-07-07,2022-10-26,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-26,МЕТАЛИНВ 2,RU000A0JTLJ3,2.0,2999.9,99.99,100.0,99.99,100.0,18.65,100.0,7.77,100.0,3.0,,99.39,100.0,0.0,500908.0,0.0,2023-01-27,93.0,7.73,,,7.65,38.15,,2022-10-26,1000.0,SUR,,,7.4699,,RUB,3
TQCB,2022-10-26,Башнефть06,RU000A0JTM28,22.0,258781.3,99.85,100.08,100.0,99.86,17.93,99.92,7.78,100.01,259.0,,99.91,99.86,0.0,2182077.3,0.0,2023-01-31,97.0,8.1,,,7.7,38.39,,2022-10-26,1000.0,SUR,,,7.4841,,RUB,3
TQCB,2022-10-26,Башнефть08,RU000A0JTM44,23.0,160981.8,99.98,99.99,99.98,99.98,17.93,99.99,7.86,99.99,161.0,,99.96,99.98,0.0,539774.0,0.0,2023-01-31,97.0,7.82,,,7.7,38.39,,2022-10-26,1000.0,SUR,,,7.5595,,RUB,3
