BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-10-03,АбрауДюрсо,ABRD,608.0,7322815.0,166.0,163.0,169.0,167.0,166.0,167.0,44140.0,166.0,166.0,167.0,7322815.0,7322815.0,7322815.0,0.0,3
SMAL,2022-10-03,Система ао,AFKS,26.0,2628.59,11.821,10.002,11.821,,10.943,11.821,252.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-03,Система ао,AFKS,23463.0,413029803.5,10.667,10.539,11.295,11.027,10.943,11.23,37743100.0,10.915,10.915,11.027,367572316.9,367572316.9,367572316.9,0.0,3
TQBR,2022-10-03,Аэрофлот,AFLT,19171.0,233160436.4,23.26,23.18,24.24,24.04,23.78,24.02,9801900.0,23.76,23.76,24.04,207040605.6,207040605.6,207040605.6,0.0,3
TQBR,2022-10-03,AGRO-гдр,AGRO,8877.0,88936943.2,721.2,720.2,765.0,760.8,745.8,760.8,119244.0,745.8,745.8,760.8,88936943.2,88936943.2,88936943.2,0.0,3
TQTF,2022-10-03,AKGD ETF,AKGD,407.0,11810402.65,75.0,73.8,77.39,76.75,77.22,76.8,152748.0,77.32,77.32,76.75,11810402.65,11810402.65,11810402.65,27370585.73,3
TQTF,2022-10-03,ETF AKMB,AKMB,7309.0,4300303.66,1.147,1.1317,1.16,1.1412,1.1459,1.1465,3753526.0,1.1457,1.1457,1.1412,4300303.66,4300303.66,4300303.66,7810763.6,3
TQTF,2022-10-03,ETF AKME,AKME,423.0,12412219.3,71.7,70.54,76.72,75.88,75.06,75.9,165260.0,75.1,75.1,75.88,12412219.3,12412219.3,12412219.3,3192367.03,3
TQTF,2022-10-03,AKMM ETF,AKMM,73.0,29517977.15,101.64,101.62,102.45,101.65,101.65,101.65,290389.0,101.65,101.65,101.65,29517977.15,29517977.15,29517977.15,15446829.28,3
TQBR,2022-10-03,Акрон,AKRN,1087.0,36098406.0,14680.0,14410.0,14898.0,14842.0,14734.0,14842.0,2450.0,14734.0,14734.0,14842.0,36098406.0,36098406.0,36098406.0,0.0,3
TQTF,2022-10-03,ETF AKSC,AKSC,32.0,22240.38,31.72,30.8,31.86,31.76,31.8,31.76,707.0,,35.68,31.76,0.0,547824.42,0.0,43571.67,3
TQTF,2022-10-03,AKVG ETF,AKVG,34.0,22686.42,33.46,32.24,33.98,33.8,33.0,33.02,683.0,,32.42,33.8,0.0,793197.8,0.0,211873.24,3
SMAL,2022-10-03,АЛРОСА ао,ALRS,16.0,1351.56,57.51,57.51,64.0,,62.8,61.01,22.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-03,АЛРОСА ао,ALRS,45577.0,887052310.6,60.0,59.8,64.98,63.63,62.8,64.51,14125930.0,62.6,62.6,63.63,798584686.9,798584686.9,798584686.9,0.0,3
TQBR,2022-10-03,АшинскийМЗ,AMEZ,955.0,14187185.0,24.7,24.54,25.5,25.32,25.09,25.32,565400.0,25.09,25.09,25.32,14187185.0,14187185.0,14187185.0,0.0,3
TQTF,2022-10-03,AMRE ETF,AMRE,163.0,239927.9,62.2,60.1,65.9,65.8,64.2,65.8,3739.0,,62.2,65.8,0.0,548194.4,0.0,640701.56,3
