BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-10-03,AMDRUB_TOM,AMDRUB_TOM,15.0,13.85,15.0,14.51,122.0,982622.5,14.732
CNGD,2022-10-03,BYN_TODTOM,BYNRUBTODTOM,0.0132,0.0132,0.0132,0.0132,3.0,2081.98,
CETS,2022-10-03,BYNRUB_TOM,BYNRUB_TOM,24.4525,23.3325,24.4525,23.77,1006.0,336634015.0,23.5821
CETS,2022-10-03,CNYRUB_TOM,CNYRUB_TOM,8.355,8.016,8.454,8.268,64873.0,70251263786.0,8.1579
CNGD,2022-10-03,CNYRUB_TOM,CNYRUB_TOM,8.361,8.017,8.444,8.278,10673.0,2630356198.69,
CETS,2022-10-03,EUR_TODTOM,EUR000TODTOM,0.1272,-0.0208,0.1272,0.0165,1001.0,34537948720.0,0.0489
CNGD,2022-10-03,EUR_TODTOM,EUR000TODTOM,0.0,-0.0155,0.1257,-0.0155,727.0,1655504742.71,
CETS,2022-10-03,EURRUB_TMS,EURRUB_TMS,55.9,52.25,59.9925,54.48,3547.0,39410803.74,55.0901
CNGD,2022-10-03,EURRUB_TMS,EURRUB_TMS,52.9,52.9,54.9,54.9,2.0,41.31,
CETS,2022-10-03,EURUSD_TOD,EURUSD000TOD,0.97998,0.915,0.97998,0.92,593.0,1678235234.15,0.93369
CNGD,2022-10-03,EURUSD_TOD,EURUSD000TOD,0.98978,0.97019,0.98978,0.97998,1201.0,10074969.14,
CETS,2022-10-03,EURUSD_TOM,EURUSD000TOM,0.961,0.90489,0.98262,0.91,4920.0,16031501659.65,0.94443
CNGD,2022-10-03,EURUSD_TOM,EURUSD000TOM,0.98978,0.9665,0.98978,0.9665,1212.0,4060621796.09,
CETS,2022-10-03,EURUSDTDTM,EURUSDTODTOM,0.0034,0.000884,0.003419,0.000884,70.0,3625417582.53,0.003141
CNGD,2022-10-03,EURUSDTDTM,EURUSDTODTOM,0.00335,0.000884,0.00335,0.000884,32.0,8507392139.84,
CETS,2022-10-03,EURRUB_TOD,EUR_RUB__TOD,56.1,52.1675,57.3275,53.1075,7584.0,13291687817.5,54.4268
CNGD,2022-10-03,EURRUB_TOD,EUR_RUB__TOD,56.1675,55.44,56.7292,56.56,5949.0,78941197.68,
CETS,2022-10-03,EURRUB_TOM,EUR_RUB__TOM,57.1225,52.01,57.1925,53.6,21040.0,47542850525.0,54.2914
CNGD,2022-10-03,EURRUB_TOM,EUR_RUB__TOM,55.1325,52.255,57.79,53.6,14425.0,596923104.41,
CETS,2022-10-03,GLD_TODTOM,GLDRUBTODTOM,0.5,0.4413,0.5295,0.4413,5.0,254511752.7,0.4953
CNGD,2022-10-03,GLD_TODTOM,GLDRUBTODTOM,0.6619,-0.3971,1.765,1.412,109.0,16102976.33,
CETS,2022-10-03,GLDRUB_TOM,GLDRUB_TOM,3236.0,3059.99,3236.0,3225.2,4183.0,508131689.58,3131.78
CNGD,2022-10-03,HKD_TODTOM,HKDRUBTODTOM,0.0,-0.002144,0.0084,0.003444,913.0,692256085.78,
CETS,2022-10-03,HKDRUB_TOD,HKDRUB_TOD,7.56,7.126,7.56,7.32,5.0,853154.0,7.2919
