BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-09-26,AMDRUB_TOM,AMDRUB_TOM,14.5,13.8,14.9,14.5,141.0,4382284.25,14.1547
CNGD,2022-09-26,BYN_TODTOM,BYNRUBTODTOM,0.013,0.013,0.013,0.013,6.0,1583701.39,
CETS,2022-09-26,BYNRUB_TOM,BYNRUB_TOM,23.89,23.7,25.0,24.6,543.0,77302795.0,24.2481
CETS,2022-09-26,CNYRUB_TOD,CNY000000TOD,8.07,8.0,8.191,8.124,3643.0,8950922076.0,8.1041
CNGD,2022-09-26,CNYRUB_TOD,CNY000000TOD,8.11,8.092,8.11,8.092,2.0,567811248.82,
CETS,2022-09-26,CNY_TODTOM,CNYRUBTODTOM,0.002,0.001011,0.002,0.001749,1005.0,217235246044.1,0.001679
CNGD,2022-09-26,CNY_TODTOM,CNYRUBTODTOM,0.0,-0.0034,0.004421,0.00378,3489.0,17946624477.21,
CETS,2022-09-26,CNYRUB_TOM,CNYRUB_TOM,8.09,8.001,8.187,8.12,58990.0,86466266406.0,8.0953
CNGD,2022-09-26,CNYRUB_TOM,CNYRUB_TOM,8.07,8.002,8.177,8.12,12309.0,5622872391.68,
CETS,2022-09-26,CNY_TOMSPT,CNYRUB_TOM1D,0.001879,0.001879,0.001879,0.001879,1.0,751410006.9,0.001879
CETS,2022-09-26,CNY_TOM1W,CNYRUB_TOM1W,0.0219,0.0219,0.0219,0.0219,2.0,48546120000.0,0.0219
CETS,2022-09-26,EUR_TODTOM,EUR000TODTOM,0.01,0.01,0.0887,0.0229,1198.0,44473059680.0,0.0303
CNGD,2022-09-26,EUR_TODTOM,EUR000TODTOM,0.0,-0.0307,0.0887,-0.0154,709.0,1669583694.39,
CETS,2022-09-26,EURRUB_TMS,EURRUB_TMS,56.2,54.9275,58.4975,56.54,3087.0,51361309.45,56.2695
CETS,2022-09-26,EURUSD_TOD,EURUSD000TOD,0.96759,0.949,0.97464,0.957,326.0,1250782809.22,0.95897
CNGD,2022-09-26,EURUSD_TOD,EURUSD000TOD,0.97768,0.95832,0.97768,0.968,1406.0,24801624.49,
CETS,2022-09-26,EURUSD_TOM,EURUSD000TOM,0.97998,0.9538,0.97998,0.962,6370.0,26644872189.41,0.96408
CNGD,2022-09-26,EURUSD_TOM,EURUSD000TOM,0.97768,0.95832,0.97768,0.962,1411.0,2545786658.49,
CETS,2022-09-26,EURUSDTDTM,EURUSDTODTOM,7e-05,5e-05,0.001362,0.001362,88.0,10510803675.48,0.000201
CNGD,2022-09-26,EURUSDTDTM,EURUSDTODTOM,0.0001,9.3e-05,0.000413,0.000401,44.0,11576993191.21,
CETS,2022-09-26,EURRUB_TOD,EUR_RUB__TOD,56.9975,55.0,57.5675,55.4475,14778.0,35668493475.0,55.8676
CNGD,2022-09-26,EURRUB_TOD,EUR_RUB__TOD,56.39,55.23,57.0019,55.23,6507.0,873772143.49,
CETS,2022-09-26,EURRUB_TOM,EUR_RUB__TOM,58.9725,55.0325,58.9725,56.24,15753.0,38637120595.0,55.9764
CNGD,2022-09-26,EURRUB_TOM,EUR_RUB__TOM,56.5175,55.07,57.375,56.25,15049.0,6005216755.58,
CNGD,2022-09-26,GBP_TODTOM,GBPRUBTODTOM,0.0271,-0.0175,0.0302,0.0254,31.0,3087337.16,
CETS,2022-09-26,GBPRUB_TOD,GBPRUB_TOD,54.0025,54.0025,54.0025,54.0025,1.0,54002.5,54.0025
CNGD,2022-09-26,GBPRUB_TOD,GBPRUB_TOD,59.7946,59.2025,59.7946,59.7946,585.0,3486192.69,
CETS,2022-09-26,GBPRUB_TOM,GBPRUB_TOM,61.0,50.05,65.0,62.0,368.0,168242540.0,57.6963
CNGD,2022-09-26,GBPRUB_TOM,GBPRUB_TOM,57.25,50.05,59.9875,52.825,4006.0,32046156.9,
CETS,2022-09-26,GLD_TODTOM,GLDRUBTODTOM,0.5565,0.3853,0.5565,0.3853,5.0,312536735.2,0.5069
CNGD,2022-09-26,GLD_TODTOM,GLDRUBTODTOM,1.3698,-0.3853,1.7123,1.3698,82.0,27633307.54,
CETS,2022-09-26,GLDRUB_TOM,GLDRUB_TOM,3122.22,3055.1,3260.57,3100.67,4569.0,125575688.24,3093.91
CNGD,2022-09-26,HKD_TODTOM,HKDRUBTODTOM,0.0,-0.002123,0.0042,0.003523,895.0,714875766.35,
CETS,2022-09-26,HKDRUB_TOD,HKDRUB_TOD,7.5,7.3304,7.6,7.42,17.0,2068154.0,7.4933
CETS,2022-09-26,HKDRUB_TOM,HKDRUB_TOM,7.732,7.45,7.8,7.5264,4233.0,570428581.9,7.5214
CNGD,2022-09-26,HKDRUB_TOM,HKDRUB_TOM,7.7103,7.4492,7.7899,7.5401,6188.0,172684700.04,
CETS,2022-09-26,KZTRUB_TOD,KZTRUB_TOD,14.15,14.15,14.15,14.15,1.0,212250.0,14.15
CETS,2022-09-26,KZTRUB_TOM,KZTRUB_TOM,12.35,12.0,12.5,12.215,993.0,506534881.5,12.201
CNGD,2022-09-26,SLV_TODTOM,SLVRUBTODTOM,0.018,0.018,0.018,0.018,5.0,13659.38,
CETS,2022-09-26,SLVRUB_TOM,SLVRUB_TOM,40.61,39.7,42.0,40.6,1359.0,19550851.0,40.75
CNGD,2022-09-26,TRY_TODTOM,TRYRUBTODTOM,0.001378,0.0,0.0018,0.001476,151.0,61012487.69,
CETS,2022-09-26,TRYRUB_TOM,TRYRUB_TOM,3.2433,3.1504,3.284,3.1816,400.0,65539290.3,3.1876
CNGD,2022-09-26,TRYRUB_TOM,TRYRUB_TOM,3.2986,3.127,3.2986,3.1816,1454.0,103465460.34,
CETS,2022-09-26,USDRUB_TOD,USD000000TOD,58.47,57.475,58.98,57.97,19957.0,65273485297.5,58.0586
CNGD,2022-09-26,USDRUB_TOD,USD000000TOD,58.2575,57.4275,58.9588,57.95,75183.0,5221507729.34,
CETS,2022-09-26,USD_TODTOM,USD000TODTOM,0.05,-0.01,0.05,0.0379,1986.0,127122803150.0,0.0101
