BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-09-26,АбрауДюрсо,ABRD,1375.0,14525100.0,168.0,150.0,169.5,158.5,158.0,158.5,91950.0,158.0,158.0,158.5,14525100.0,14525100.0,14525100.0,0.0,3
SMAL,2022-09-26,Система ао,AFKS,28.0,834.6,13.245,10.5,13.985,,10.649,13.242,73.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-09-26,Система ао,AFKS,45774.0,773194779.7,11.471,9.9,11.56,10.372,10.649,10.344,72610600.0,10.676,10.676,10.372,717463494.9,717463494.9,717463494.9,0.0,3
SMAL,2022-09-26,Аэрофлот,AFLT,20.0,1650.5,23.36,23.34,31.58,,23.58,23.98,60.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-09-26,Аэрофлот,AFLT,41232.0,627047578.4,25.6,21.6,25.78,23.3,23.58,22.64,26588800.0,23.64,23.64,23.3,564369827.0,564369827.0,564369827.0,0.0,3
TQBR,2022-09-26,AGRO-гдр,AGRO,19764.0,173719021.4,733.8,619.0,734.8,656.6,665.0,656.6,261259.0,665.0,665.0,656.6,173719021.4,173719021.4,173719021.4,0.0,3
TQTF,2022-09-26,AKGD ETF,AKGD,509.0,1899516.14,74.74,72.0,76.79,73.59,73.74,73.59,25640.0,74.08,74.08,73.59,1899516.14,1899516.14,1899516.14,26400869.95,3
TQTF,2022-09-26,ETF AKMB,AKMB,6999.0,8720823.62,1.1451,1.1126,1.1636,1.1185,1.1315,1.1185,7716243.0,1.1302,1.1302,1.1185,8720823.62,8720823.62,8720823.62,7427850.14,3
TQTF,2022-09-26,ETF AKME,AKME,608.0,15965030.92,76.08,67.34,78.82,70.46,72.34,70.46,220985.0,72.24,72.24,70.46,15965030.92,15965030.92,15965030.92,3363893.51,3
TQTF,2022-09-26,AKMM ETF,AKMM,106.0,23650395.25,101.5,101.48,102.0,101.48,101.51,101.48,232988.0,101.51,101.51,101.48,23650395.25,23650395.25,23650395.25,15209431.81,3
TQTD,2022-09-26,AKQU ETF,AKQU,4.0,15799.04,81.43,81.43,83.05,81.44,81.44,83.05,194.0,4942.9,4930.65,81.44,1942560.41,1839132.81,1942560.41,20034.82,3
TQBR,2022-09-26,Акрон,AKRN,1769.0,95175692.0,15344.0,14310.0,15600.0,14550.0,14914.0,14550.0,6382.0,14914.0,14914.0,14550.0,95175692.0,95175692.0,95175692.0,0.0,3
TQTD,2022-09-26,ETF AKSC,AKSC,2.0,60.91,0.561,0.553,0.561,0.555,0.556,0.553,110.0,,36.04,0.555,0.0,510013.52,0.0,755.69,3
TQTF,2022-09-26,ETF AKSC,AKSC,26.0,4560.0,32.68,31.14,32.68,32.24,32.32,32.24,142.0,,36.04,32.24,0.0,510013.52,0.0,43906.31,3
TQTF,2022-09-26,AKVG ETF,AKVG,53.0,52538.7,32.96,32.18,33.34,33.32,33.02,33.32,1601.0,,36.96,33.32,0.0,502077.92,0.0,181828.88,3
SMAL,2022-09-26,АЛРОСА ао,ALRS,57.0,5239.46,70.14,58.0,70.14,,60.57,60.0,83.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-09-26,АЛРОСА ао,ALRS,73890.0,1025306855.3,63.1,57.01,64.6,59.68,60.57,58.9,16927560.0,60.6,60.6,59.68,976778729.8,976778729.8,976778729.8,0.0,3
TQBR,2022-09-26,АшинскийМЗ,AMEZ,3045.0,42209220.5,24.9,20.0,25.38,23.0,22.865,23.0,1846100.0,22.865,22.865,23.0,42209220.5,42209220.5,42209220.5,0.0,3
TQTF,2022-09-26,AMRE ETF,AMRE,213.0,913469.5,62.6,58.0,64.3,60.8,59.8,60.1,15267.0,59.8,59.8,60.8,913469.5,913469.5,913469.5,618448.5,3
TQTF,2022-09-26,AMRH ETF,AMRH,13.0,317656.4,98.06,95.42,98.06,95.52,96.14,95.42,3304.0,,101.28,95.52,0.0,1200662.72,0.0,466161.53,3
SMAL,2022-09-26,Аптеки36и6,APTK,3.0,44.34,11.7,10.082,12.482,,11.358,12.482,4.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-09-26,Аптеки36и6,APTK,1851.0,4296725.08,12.636,11.0,12.636,11.636,11.358,11.636,378290.0,11.358,11.358,11.636,4296725.08,4296725.08,4296725.08,0.0,3
TQBR,2022-09-26,ИНАРКТИКА,AQUA,4757.0,31544525.0,577.0,500.0,577.0,520.0,526.0,520.0,59946.0,526.0,526.0,520.0,31544525.0,31544525.0,31544525.0,0.0,3
TQBR,2022-09-26,Арсагера,ARSA,165.0,566657.0,5.6,4.5,5.6,5.0,4.85,5.2,116900.0,4.85,4.85,5.0,566657.0,566657.0,566657.0,0.0,3
TQBR,2022-09-26,АстрЭнСб,ASSB,52.0,113667.5,0.68,0.6495,0.68,0.657,0.661,0.657,172000.0,,0.6885,0.657,0.0,503433.5,0.0,0.0,3
TQBR,2022-09-26,Авангрд-ао,AVAN,71.0,110510.0,830.0,760.0,840.0,805.0,815.0,805.0,136.0,,840.0,805.0,0.0,518135.0,0.0,0.0,3
TQBR,2022-09-26,Башнефт ао,BANE,1422.0,11558699.0,945.0,845.0,945.0,884.5,886.0,884.5,13049.0,886.0,886.0,884.5,11558699.0,11558699.0,11558699.0,0.0,3
TQBR,2022-09-26,Башнефт ап,BANEP,7116.0,72742831.5,599.0,521.5,599.0,550.0,551.5,550.0,131946.0,551.5,551.5,550.0,72742831.5,72742831.5,72742831.5,0.0,3
TQTF,2022-09-26,BCSB ETF,BCSB,181.0,628636.07,9.97,9.656,10.544,9.85,9.866,9.864,63714.0,9.866,9.866,9.85,625130.09,625130.09,625130.09,394430.19,3
TQBR,2022-09-26,Белуга ао,BELU,8028.0,134521200.0,2599.0,2400.0,2749.0,2547.0,2560.0,2547.0,52546.0,2560.0,2560.0,2547.0,134521200.0,134521200.0,134521200.0,0.0,3
TQBR,2022-09-26,БашИнСв ап,BISVP,154.0,577278.0,7.16,5.62,7.52,6.95,6.57,6.95,87900.0,6.57,6.57,6.95,577278.0,577278.0,577278.0,0.0,3
TQBR,2022-09-26,Белон ао,BLNG,1126.0,6262598.5,8.65,7.6,9.405,8.005,8.215,8.0,762500.0,8.215,8.215,8.005,6262598.5,6262598.5,6262598.5,0.0,3
TQTF,2022-09-26,BOND ETF,BOND,72.0,869080.6,990.4,959.4,990.4,965.0,965.6,961.0,900.0,966.6,966.6,965.0,719094.6,719094.6,719094.6,3421700.76,3
TQBR,2022-09-26,БурЗолото,BRZL,432.0,1651793.0,759.0,637.0,759.0,651.0,676.0,656.0,2442.0,676.0,676.0,651.0,1651793.0,1651793.0,1651793.0,0.0,3
TQBR,2022-09-26,БСП ао,BSPB,3948.0,33701872.8,86.68,73.38,86.69,77.6,80.84,77.6,416900.0,80.84,80.84,77.6,33701872.8,33701872.8,33701872.8,0.0,3
TQBR,2022-09-26,БСП ап,BSPBP,98.0,521935.0,13.35,13.25,14.1,13.35,13.45,13.35,38800.0,13.45,13.45,13.35,521935.0,521935.0,521935.0,0.0,3
TQBR,2022-09-26,МКБ ао,CBOM,7525.0,526545284.7,5.896,5.704,5.919,5.789,5.789,5.789,90959200.0,5.788,5.788,5.789,499674130.4,499674130.4,499674130.4,0.0,3
TQBR,2022-09-26,РН-ЗапСиб,CHGZ,95.0,371886.0,35.6,31.4,35.6,34.0,32.4,34.2,11490.0,,33.2,34.0,0.0,549670.0,0.0,0.0,3
TQBR,2022-09-26,ЧКПЗ ао,CHKZ,40.0,346860.0,5600.0,5220.0,5600.0,5480.0,5420.0,5480.0,64.0,,5500.0,5480.0,0.0,500680.0,0.0,0.0,3
TQBR,2022-09-26,СевСт-ао,CHMF,56322.0,1140216817.8,690.4,599.2,693.0,621.8,641.8,606.0,1776574.0,643.2,643.2,621.8,1078775973.2,1078775973.2,1078775973.2,0.0,3
