BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-10-21,AMDRUB_TOM,AMDRUB_TOM,15.8875,15.8025,16.6,15.805,87.0,4011486.75,16.1819
CNGD,2022-10-21,BYN_TODTOM,BYNRUBTODTOM,0.0404,0.0404,0.0404,0.0404,13.0,692275.2,
CETS,2022-10-21,BYNRUB_TOM,BYNRUB_TOM,24.695,24.62,24.885,24.8,526.0,358456737.5,24.6803
CETS,2022-10-21,CNYRUB_TOD,CNY000000TOD,8.435,8.35,8.435,8.371,3251.0,7065841713.0,8.3896
CNGD,2022-10-21,CNYRUB_TOD,CNY000000TOD,8.42,8.42,8.438,8.438,3.0,438170474.27,
CETS,2022-10-21,CNY_TODTOM,CNYRUBTODTOM,0.002,0.002,0.00485,0.0048,976.0,200336303105.9,0.004648
CNGD,2022-10-21,CNY_TODTOM,CNYRUBTODTOM,0.017319,-0.018012,0.017319,0.011946,3098.0,21783982398.09,
CETS,2022-10-21,CNYRUB_TMS,CNYRUB_TMS,8.2401,8.1507,8.75,8.1507,10.0,14729.49,8.1912
CETS,2022-10-21,CNYRUB_TOM,CNYRUB_TOM,8.438,8.29,8.438,8.309,56310.0,87205209850.0,8.3656
CNGD,2022-10-21,CNYRUB_TOM,CNYRUB_TOM,8.436,8.29,8.438,8.308,7652.0,5426348419.31,
CETS,2022-10-21,CNY_TOM1W,CNYRUB_TOM1W,0.0113,0.0113,0.0113,0.0113,1.0,16880108000.0,0.0113
CETS,2022-10-21,EUR_TODTOM,EUR000TODTOM,0.0099,-0.173,0.0199,-0.17,686.0,20876928000.0,-0.0167
CNGD,2022-10-21,EUR_TODTOM,EUR000TODTOM,-0.0498,-0.1501,0.0996,0.0859,129.0,5525299.67,
CETS,2022-10-21,EURRUB_TMS,EURRUB_TMS,60.99,59.4425,60.99,60.0025,1627.0,25410217.27,59.9754
CNGD,2022-10-21,EURRUB_TMS,EURRUB_TMS,59.95,59.95,59.95,59.95,1.0,23.38,
CETS,2022-10-21,EURUSD_TOD,EURUSD000TOD,0.98025,0.97279,0.98444,0.98,449.0,1457718913.97,0.97995
CNGD,2022-10-21,EURUSD_TOD,EURUSD000TOD,0.99006,0.97045,0.99006,0.98025,763.0,14099724.31,
CETS,2022-10-21,EURUSD_TOM,EURUSD000TOM,0.977,0.97178,0.9838,0.98259,2049.0,7352417945.95,0.97892
CNGD,2022-10-21,EURUSD_TOM,EURUSD000TOM,0.99006,0.97045,0.99006,0.98025,765.0,616356100.81,
CETS,2022-10-21,EURUSDTDTM,EURUSDTODTOM,0.0,-0.0016,0.0001,-0.0016,60.0,6720464493.56,-3e-06
CETS,2022-10-21,EURRUB_TOD,EUR_RUB__TOD,60.6025,59.435,60.95,59.465,5839.0,11858606255.0,59.9543
