BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-10-10,AMDRUB_TOM,AMDRUB_TOM,15.495,14.515,15.495,15.38,118.0,1084759.0,15.0036
CNGD,2022-10-10,BYN_TODTOM,BYNRUBTODTOM,0.0135,0.0135,0.0135,0.0135,5.0,471234.03,
CETS,2022-10-10,BYNRUB_TOM,BYNRUB_TOM,24.8875,24.6125,27.7875,25.1825,386.0,48964657.5,25.4098
CETS,2022-10-10,CNYRUB_TOD,CNY000000TOD,8.57,8.478,8.705,8.626,4286.0,6167758058.0,8.6293
CNGD,2022-10-10,CNYRUB_TOD,CNY000000TOD,8.6,8.497,8.6,8.497,4.0,869759790.15,
CETS,2022-10-10,CNY_TODTOM,CNYRUBTODTOM,0.005,-0.007999,0.005,0.001877,853.0,310831272191.7,0.001857
CNGD,2022-10-10,CNY_TODTOM,CNYRUBTODTOM,0.0,-0.006062,0.005829,0.004063,3608.0,19428716832.48,
CETS,2022-10-10,CNYRUB_TOM,CNYRUB_TOM,8.56,8.52,8.7,8.657,63308.0,92485013533.0,8.6176
CNGD,2022-10-10,CNYRUB_TOM,CNYRUB_TOM,8.541,8.497,8.7,8.653,10839.0,6408215105.78,
CETS,2022-10-10,CNY_TOM1W,CNYRUB_TOM1W,0.0131,0.0131,0.0131,0.0131,1.0,29832029500.0,0.0131
CNGD,2022-10-10,CNY_TOM1W,CNYRUB_TOM1W,0.013,0.013,0.013,0.013,1.0,1704667400.0,
CETS,2022-10-10,CNY_TOM2W,CNYRUB_TOM2W,0.026,0.026,0.026,0.026,1.0,25609011000.0,0.026
CETS,2022-10-10,EUR_TODTOM,EUR000TODTOM,-0.1284,-0.5854,-0.0203,-0.585,722.0,29368377880.0,-0.1512
CNGD,2022-10-10,EUR_TODTOM,EUR000TODTOM,0.0,-0.47,0.0271,-0.0164,391.0,3475368712.31,
CETS,2022-10-10,EURRUB_TMS,EURRUB_TMS,59.115,59.1,61.79,61.2575,2222.0,39312544.64,60.8968
CNGD,2022-10-10,EURRUB_TMS,EURRUB_TMS,61.4,61.4,61.4975,61.4975,2.0,65.79,
CETS,2022-10-10,EURUSD_TOM,EURUSD000TOM,0.979,0.9662,0.9855,0.98,1950.0,6752830369.35,0.97692
CETS,2022-10-10,EURRUB_TOD,EUR_RUB__TOD,60.5,60.035,62.8475,61.8,6654.0,15710336582.5,61.1514
CNGD,2022-10-10,EURRUB_TOD,EUR_RUB__TOD,60.27,60.27,60.27,60.27,1.0,120540000.0,
CETS,2022-10-10,EURRUB_TOM,EUR_RUB__TOM,60.0975,59.6425,61.7025,61.4175,16229.0,46643927537.5,60.9197
CNGD,2022-10-10,EURRUB_TOM,EUR_RUB__TOM,58.115,58.115,61.7,61.38,5561.0,276291108.98,
CETS,2022-10-10,GLD_TODTOM,GLDRUBTODTOM,0.4542,0.4542,0.4542,0.4542,3.0,232102843.0,0.4542
CNGD,2022-10-10,GLD_TODTOM,GLDRUBTODTOM,1.4533,-0.4087,1.8166,1.4533,94.0,13407783.42,
CETS,2022-10-10,GLDRUB_TOM,GLDRUB_TOM,3295.07,3290.75,3349.0,3319.0,4034.0,152997688.51,3314.36
CNGD,2022-10-10,HKD_TODTOM,HKDRUBTODTOM,0.0,-0.002135,0.0042,0.003435,812.0,687273015.08,
CETS,2022-10-10,HKDRUB_TOD,HKDRUB_TOD,7.74,7.74,7.74,7.74,1.0,69660.0,7.74
CETS,2022-10-10,HKDRUB_TOM,HKDRUB_TOM,7.6754,7.6333,7.8,7.77,1802.0,268333384.0,7.7564
CNGD,2022-10-10,HKDRUB_TOM,HKDRUB_TOM,7.7081,7.6352,7.8,7.7609,3869.0,97283693.96,
CETS,2022-10-10,KZTRUB_TOM,KZTRUB_TOM,13.1,13.0475,13.6,13.35,963.0,464390867.5,13.2899
CNGD,2022-10-10,SLV_TODTOM,SLVRUBTODTOM,0.0189,0.0189,0.0189,0.0189,4.0,9337.68,
CETS,2022-10-10,SLVRUB_TOM,SLVRUB_TOM,43.39,42.1,43.39,43.04,635.0,8914192.0,42.88
CNGD,2022-10-10,TRY_TODTOM,TRYRUBTODTOM,0.001384,0.0009,0.0018,0.00146,126.0,60797762.03,
CETS,2022-10-10,TRYRUB_TOM,TRYRUB_TOM,3.27,3.23,3.4108,3.3712,668.0,70262365.2,3.3384
CNGD,2022-10-10,TRYRUB_TOM,TRYRUB_TOM,3.2898,3.23,3.426,3.3944,1288.0,6032733.92,
CETS,2022-10-10,USDRUB_TOM,USD000UTSTOM,61.0025,61.0025,63.095,62.69,32953.0,86051902250.0,62.3624
CNGD,2022-10-10,USDRUB_TOM,USD000UTSTOM,61.2,61.0075,63.1,62.72,41201.0,3864578971.82,
CETS,2022-10-10,USDCNY_TOM,USDCNY_TOM,7.16586,7.12101,7.34787,7.23,8667.0,34569114912.25,7.21774
CNGD,2022-10-10,USDCNY_TOM,USDCNY_TOM,7.23,7.00001,7.34746,7.24568,181.0,2696535879.23,
CETS,2022-10-10,USDKZT_TOM,USDKZT_TOM,469.0,465.0,472.0,472.0,19.0,31387254.76,469.18
CETS,2022-10-10,USDRUB_TMS,USDRUB_TMS,60.87,60.8,63.0475,62.75,4510.0,71770434.09,62.2804
CNGD,2022-10-10,USDRUB_TMS,USDRUB_TMS,62.345,62.345,62.8,62.5675,7.0,170.96,
