BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-10-27,AMDRUB_TOM,AMDRUB_TOM,16.8,15.7725,16.8,16.1975,55.0,198026.75,16.2317
CNGD,2022-10-27,BYN_TODTOM,BYNRUBTODTOM,0.0136,0.0136,0.0136,0.0136,7.0,452380.46,
CETS,2022-10-27,BYNRUB_TOM,BYNRUB_TOM,24.995,24.895,25.6,25.36,383.0,349577622.5,25.027
CETS,2022-10-27,CNYRUB_TOD,CNY000000TOD,8.481,8.454,8.527,8.474,2099.0,3901402891.0,8.4738
CNGD,2022-10-27,CNYRUB_TOD,CNY000000TOD,8.494,8.4091,8.579,8.5,8856.0,270039893.24,
CETS,2022-10-27,CNY_TODTOM,CNYRUBTODTOM,0.0017,0.000501,0.001757,0.001675,837.0,238071614279.8,0.001703
CNGD,2022-10-27,CNY_TODTOM,CNYRUBTODTOM,0.0,-0.006048,0.005816,0.003985,2978.0,29072121778.39,
CNGD,2022-10-27,CNYRUB_LTV,CNYRUB_FWD,8.5135,8.5135,8.5135,8.5135,1.0,355438625.0,
CETS,2022-10-27,CNYRUB_TMS,CNYRUB_TMS,8.4,8.3,8.78,8.78,6.0,5181.0,8.3024
CETS,2022-10-27,CNYRUB_TOM,CNYRUB_TOM,8.499,8.393,8.512,8.47,39924.0,61025221027.0,8.4379
CNGD,2022-10-27,CNYRUB_TOM,CNYRUB_TOM,8.495,8.393,8.579,8.47,18121.0,2667373370.0,
CNGD,2022-10-27,CNY_TOM2W,CNYRUB_TOM2W,0.0239,0.0239,0.0239,0.0239,1.0,25544145000.0,
CETS,2022-10-27,EUR_TODTOM,EUR000TODTOM,-0.0135,-0.0297,0.02,0.02,623.0,23500652530.0,-0.0039
CNGD,2022-10-27,EUR_TODTOM,EUR000TODTOM,-0.01,-0.01,0.0337,0.0291,144.0,3695745228.43,
CETS,2022-10-27,EURRUB_TMS,EURRUB_TMS,61.9975,60.9025,62.19,61.75,1140.0,21633314.52,61.555
CNGD,2022-10-27,EURRUB_TMS,EURRUB_TMS,61.4125,61.4125,61.4125,61.4125,1.0,47.9,
CETS,2022-10-27,EURUSD_TOD,EURUSD000TOD,1.00251,1.00128,1.007,1.0045,338.0,1331009934.08,1.00356
