BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
SMAL,2022-09-16,АбрауДюрсо,ABRD,4.0,2169.0,197.0,197.0,197.5,,194.5,197.5,11.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-09-16,АбрауДюрсо,ABRD,2000.0,32632910.0,193.5,189.0,199.5,191.5,194.5,191.5,167900.0,194.5,194.5,191.5,32632910.0,32632910.0,32632910.0,0.0,3
SMAL,2022-09-16,Система ао,AFKS,3.0,46.21,15.568,15.315,15.568,,14.933,15.319,3.0,,,,0.0,0.0,0.0,0.0,3
SPEQ,2022-09-16,Система ао,AFKS,35.0,21812252.0,14.798,14.798,14.798,,,14.798,1474000.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-09-16,Система ао,AFKS,11536.0,303094319.2,14.72,14.72,15.1,14.911,14.933,14.831,20297100.0,14.937,14.937,14.911,288998474.3,288998474.3,288998474.3,0.0,3
SMAL,2022-09-16,Аэрофлот,AFLT,3.0,203.5,28.74,28.74,29.98,,29.42,29.1,7.0,,,,0.0,0.0,0.0,0.0,3
SPEQ,2022-09-16,Аэрофлот,AFLT,88.0,24245808.0,29.24,29.24,29.24,,,29.24,829200.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-09-16,Аэрофлот,AFLT,10992.0,162768977.6,29.38,29.1,29.8,29.2,29.42,29.18,5532560.0,29.44,29.44,29.2,146778724.4,146778724.4,146778724.4,0.0,3
TQBR,2022-09-16,AGRO-гдр,AGRO,2204.0,17030431.4,909.2,900.0,909.2,902.8,904.2,902.8,18834.0,904.2,904.2,902.8,17030431.4,17030431.4,17030431.4,0.0,3
TQTF,2022-09-16,AKGD ETF,AKGD,466.0,18145947.08,77.95,77.0,77.95,77.12,77.17,77.12,235144.0,77.17,77.17,77.12,18145947.08,18145947.08,18145947.08,25430955.67,3
TQTF,2022-09-16,ETF AKMB,AKMB,7961.0,13249493.82,1.2021,1.2021,1.2108,1.2063,1.2042,1.2052,10964147.0,1.2084,1.2084,1.2063,13249493.82,13249493.82,13249493.82,7060208.51,3
TQTF,2022-09-16,ETF AKME,AKME,316.0,783796.64,86.98,86.8,88.0,86.88,87.2,86.94,8992.0,87.16,87.16,86.88,783796.64,783796.64,783796.64,3024029.77,3
TQTF,2022-09-16,AKMM ETF,AKMM,65.0,213052103.6,101.36,101.35,101.65,101.38,101.38,101.38,2101555.0,101.38,101.38,101.38,213052103.6,213052103.6,213052103.6,10875875.9,3
TQTD,2022-09-16,AKQU ETF,AKQU,2.0,171.06,84.75,84.75,86.31,85.53,85.53,86.31,2.0,5355.85,5396.58,85.53,4440002.01,1694525.32,4440002.01,21711.67,3
TQBR,2022-09-16,Акрон,AKRN,499.0,16178350.0,17684.0,17532.0,17696.0,17566.0,17586.0,17566.0,920.0,17586.0,17586.0,17566.0,16178350.0,16178350.0,16178350.0,0.0,3
TQTF,2022-09-16,ETF AKSC,AKSC,29.0,4522.62,36.54,35.28,37.02,36.18,36.68,36.24,125.0,,36.66,36.18,0.0,503746.14,0.0,43260.52,3
TQTF,2022-09-16,AKVG ETF,AKVG,47.0,12390.06,37.18,36.06,39.98,36.12,37.0,36.38,339.0,,38.8,36.12,0.0,501042.06,0.0,179090.23,3
SMAL,2022-09-16,АЛРОСА ао,ALRS,12.0,2318.51,76.85,76.85,78.0,,77.74,78.0,30.0,,,,0.0,0.0,0.0,0.0,3
SPEQ,2022-09-16,АЛРОСА ао,ALRS,93.0,112321910.0,77.41,77.41,77.41,,,77.41,1451000.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-09-16,АЛРОСА ао,ALRS,19267.0,453293322.4,77.9,77.1,78.1,77.99,77.74,77.8,5830810.0,77.74,77.74,77.99,426632355.9,426632355.9,426632355.9,0.0,3
TQBR,2022-09-16,АшинскийМЗ,AMEZ,1460.0,16355910.0,27.47,27.11,27.95,27.4,27.29,27.4,599300.0,27.29,27.29,27.4,16355910.0,16355910.0,16355910.0,0.0,3
