BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2022-09-16,РЖД-19 обл,RU000A0JQ7Z2,22.0,2881302.3,99.7,99.79,99.71,99.71,14.41,99.73,8.18,99.72,2889.0,99.73,99.73,99.71,2881302.3,2881302.3,2881302.3,2024-07-08,621.0,8.16,,,7.85,39.14,,2022-09-16,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-16,РЖД-23 обл,RU000A0JQRD9,57.0,445448.5,99.76,99.99,99.87,99.83,12.26,99.88,8.06,99.91,446.0,,99.89,99.83,0.0,500441.6,0.0,2025-01-16,787.0,8.06,,,7.85,39.14,,2022-09-16,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-16,СЗКК 04,RU000A0JRU46,2.0,1640.84,99.44,99.45,99.45,99.45,44.21,99.45,24.71,99.44,2.0,,,99.45,0.0,0.0,0.0,2031-09-26,21.0,24.71,,,12.15,49.98,2022-10-07,2022-09-16,825.0,SUR,,,,,RUB,3
TQCB,2022-09-16,ВЭБ.РФ 21,RU000A0JS4Z7,3.0,3063.0,102.1,102.1,102.1,102.1,5.12,102.1,6.2,102.1,3.0,,101.95,102.1,0.0,500565.8,0.0,2032-02-17,165.0,6.2,,,10.99,54.8,2023-02-28,2022-09-16,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-16,РЖД-32 обл,RU000A0JSGV0,27.0,401576.9,101.25,101.52,101.52,101.51,18.99,101.41,8.02,101.25,396.0,,101.4,101.51,0.0,502966.9,0.0,2032-06-25,286.0,8.17,,,9.9,49.36,2023-07-07,2022-09-16,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-16,ФСК РС-22,RU000A0JSQ58,8.0,1001677.1,101.9,101.91,101.9,101.9,12.78,101.9,8.17,101.91,983.0,101.9,101.9,101.9,187262369.6,187218832.1,187262369.6,2027-07-21,631.0,8.17,,,9.15,45.62,2024-07-24,2022-09-16,1000.0,SUR,,8.0532,,2024-07-31,RUB,3
TQCB,2022-09-16,ВЭБ.РФ 18,RU000A0JT403,1.0,1020.0,102.0,102.0,102.0,102.0,35.3,102.0,6.7,102.0,1.0,,95.41,102.0,0.0,519010.9,0.0,2032-09-17,678.0,6.7,,,7.67,38.24,2024-09-27,2022-09-16,1000.0,SUR,,6.6405,,2024-10-01,RUB,3
TQCB,2022-09-16,ВЭБ.РФ 19,RU000A0JT6B2,3.0,4305384.2,98.76,98.77,98.77,98.77,33.2,98.77,8.52,98.76,4359.0,98.77,98.77,98.77,4381343.7,4364633.7,4381343.7,2032-09-23,527.0,8.52,,,7.48,37.3,2024-04-04,2022-09-16,1000.0,SUR,,8.4094,,2024-04-08,RUB,3
TQCB,2022-09-16,РСХБ 17,RU000A0JT7M7,5.0,2495492.0,99.88,99.9,99.9,99.9,22.58,99.9,6.99,99.88,2498.0,99.9,99.9,99.9,2542428.0,2511527.7,2542428.0,2022-10-11,25.0,6.99,,,5.25,26.18,,2022-09-16,1000.0,SUR,,,5.9571,,RUB,3
TQCB,2022-09-16,РСХБ 18,RU000A0JT874,12.0,26033.3,99.94,100.64,99.95,99.95,25.69,100.13,6.85,100.64,26.0,,99.77,99.95,0.0,199701973.9,0.0,2022-10-13,27.0,4.04,,,6.05,30.17,,2022-09-16,1000.0,SUR,,,5.9046,,RUB,3
TQCB,2022-09-16,Роснефть04,RU000A0JT940,33.0,449750.8,99.84,100.16,100.0,100.0,32.68,99.94,7.92,99.84,450.0,,99.95,100.0,0.0,525726.6,0.0,2022-10-17,31.0,8.74,,,7.9,39.39,,2022-09-16,1000.0,SUR,,,6.905,,RUB,3
TQCB,2022-09-16,Роснефть05,RU000A0JT965,37.0,363054.7,99.92,100.06,100.04,100.04,32.68,100.02,7.38,100.05,363.0,,100.0,100.04,0.0,504012.2,0.0,2022-10-17,31.0,7.65,,,7.9,39.39,,2022-09-16,1000.0,SUR,,,6.4467,,RUB,3
TQCB,2022-09-16,ГлДорога 6,RU000A0JTFB2,1.0,840.0,96.0,96.0,96.0,96.0,47.8,96.0,29.81,96.0,1.0,,,96.0,0.0,0.0,0.0,2028-11-22,75.0,29.81,,,6.9,60.21,2022-11-30,2022-09-16,875.0,SUR,,,,,RUB,3
TQCB,2022-09-16,Башнефть06,RU000A0JTM28,4.0,8994.0,99.83,100.09,99.83,99.84,9.49,99.93,8.3,99.99,9.0,,99.98,99.84,0.0,502918.1,0.0,2023-01-31,137.0,8.01,,,7.7,38.39,,2022-09-16,1000.0,SUR,,,7.9153,,RUB,3
TQCB,2022-09-16,Башнефть07,RU000A0JTM36,3.0,154504.0,99.85,100.34,100.34,100.34,10.23,100.33,7.44,99.85,154.0,100.17,100.18,100.34,561934.5,505884.5,561934.5,2023-01-31,137.0,7.47,,,8.3,41.39,,2022-09-16,1000.0,SUR,,,7.1103,,RUB,3
TQCB,2022-09-16,Башнефть08,RU000A0JTM44,8.0,83988.7,99.6,100.0,99.99,99.99,9.49,99.99,7.83,99.6,84.0,99.74,99.78,99.99,1047269.9,541791.2,1047269.9,2023-01-31,137.0,7.83,,,7.7,38.39,,2022-09-16,1000.0,SUR,,,7.4807,,RUB,3
TQCB,2022-09-16,Башнефть09,RU000A0JTM51,6.0,45006.7,99.81,100.5,100.5,100.5,10.23,100.01,6.98,99.81,45.0,,100.3,100.5,0.0,2302914.8,0.0,2023-01-31,137.0,8.4,,,8.3,41.39,,2022-09-16,1000.0,SUR,,,6.6795,,RUB,3
TQCB,2022-09-16,Роснефть07,RU000A0JTS06,30.0,2647822.0,99.62,99.84,99.79,99.79,1.4,99.65,7.91,99.84,2657.0,99.65,99.65,99.79,2647822.0,2647822.0,2647822.0,2023-03-10,175.0,8.23,,,7.3,36.4,,2022-09-16,1000.0,SUR,,,7.6136,,RUB,3
TQCB,2022-09-16,Роснефть08,RU000A0JTS22,9.0,36895.8,99.62,99.86,99.82,99.81,1.4,99.72,7.84,99.86,37.0,99.83,99.83,99.81,1593207.1,524115.0,1593207.1,2023-03-10,175.0,8.07,,,7.3,36.4,,2022-09-16,1000.0,SUR,,,7.5488,,RUB,3
TQCB,2022-09-16,МТС БО-01,RU000A0JTTA5,2.0,9987.6,99.87,99.88,99.88,99.88,31.52,99.88,6.86,99.87,10.0,,99.59,99.88,0.0,503932.0,0.0,2023-03-22,181.0,6.86,,,6.5,32.41,,2022-09-16,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-16,РЖД-28 обл,RU000A0JTU85,4.0,8806.9,97.85,97.87,97.85,97.85,31.86,97.85,8.51,97.87,9.0,,98.1,97.85,0.0,2298446.4,0.0,2028-03-21,521.0,8.51,,,6.8,33.91,2024-03-26,2022-09-16,1000.0,SUR,,8.4149,,2024-03-29,RUB,3
TQCB,2022-09-16,РСХБ 20,RU000A0JTVJ2,15.0,7665614.8,103.2,103.83,103.83,103.83,61.29,103.23,7.24,103.2,7426.0,103.23,103.23,103.83,7665614.8,7665614.8,7665614.8,2023-04-11,195.0,8.36,,,14.25,71.05,,2022-09-16,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-16,Роснефть06,RU000A0JTYL2,39.0,2052250.3,98.9,99.69,99.43,99.43,20.71,98.95,7.99,99.59,2074.0,98.95,98.95,99.43,2052250.3,2052250.3,2052250.3,2023-05-30,250.0,8.75,,,7.0,34.9,,2022-09-16,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-16,Роснефть10,RU000A0JTYN8,5.0,36087.6,100.0,100.29,100.29,100.25,20.71,100.24,6.65,100.0,36.0,,99.41,100.25,0.0,537809.8,0.0,2023-05-30,250.0,6.73,,,7.0,34.9,,2022-09-16,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-16,РСХБ 21,RU000A0JU1Q8,3.0,2944.1,97.66,99.09,97.66,97.66,8.89,98.14,8.65,99.09,3.0,97.75,97.75,97.66,293291415.1,293280652.6,293291415.1,2023-07-18,300.0,8.0,,,5.5,27.42,,2022-09-16,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-16,ВТБ БО-43,RU000A0JU773,2.0,2036.6,101.83,101.83,101.83,101.83,18.35,101.83,7.02,101.83,2.0,,101.37,101.83,0.0,500753.8,0.0,2023-09-29,359.0,7.02,,,8.7,21.69,,2022-09-16,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-16,ГПБ БО-07,RU000A0JU7Y9,1.0,2099.8,104.99,104.99,104.99,104.99,32.62,104.99,3.42,104.99,2.0,,100.16,104.99,0.0,744174.0,0.0,2023-10-22,381.0,3.42,,,8.1,40.61,,2022-09-16,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-16,ИРКУТ БО-4,RU000A0JUA45,9.0,171828.3,98.1,101.19,98.71,99.87,32.05,99.9,10.48,100.0,172.0,,100.41,99.87,0.0,754089.9,0.0,2023-11-06,393.0,9.28,,,9.0,44.88,,2022-09-16,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-16,РСХБ 23,RU000A0JUAD7,7.0,63245.3,100.01,105.96,105.96,105.96,30.9,105.41,3.61,100.57,60.0,,101.58,105.96,0.0,638950.3,0.0,2023-11-10,398.0,4.09,,,8.95,44.63,,2022-09-16,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-16,РЖД-30 обл,RU000A0JUAH8,1.0,1948.8,97.44,97.44,97.44,97.44,22.56,97.44,8.23,97.44,2.0,,97.15,97.44,0.0,1324127.6,0.0,2028-11-07,730.0,8.23,,,6.75,33.66,2024-11-12,2022-09-16,1000.0,SUR,,8.1616,,2024-11-15,RUB,3
