BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-07-29,АбрауДюрсо,ABRD,214.0,1492525.0,172.5,172.5,174.0,173.0,173.0,173.5,8620.0,173.0,173.0,173.0,1492525.0,1492525.0,1492525.0,0.0,3
SMAL,2022-07-29,Система ао,AFKS,2.0,771.05,14.001,14.001,15.0,,14.355,15.0,55.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-07-29,Система ао,AFKS,23955.0,702114751.1,13.91,13.815,14.766,14.766,14.355,14.766,48912300.0,14.355,14.355,14.766,702114751.1,702114751.1,702114751.1,0.0,3
SMAL,2022-07-29,Аэрофлот,AFLT,5.0,354.12,26.6,26.6,27.92,,27.72,27.92,13.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-07-29,Аэрофлот,AFLT,6993.0,119206349.8,27.78,27.54,27.98,27.7,27.72,27.7,4299570.0,27.72,27.72,27.7,119206349.8,119206349.8,119206349.8,0.0,3
TQBR,2022-07-29,AGRO-гдр,AGRO,3190.0,35891667.0,832.4,831.0,853.0,846.8,843.4,846.8,42560.0,843.4,843.4,846.8,35891667.0,35891667.0,35891667.0,0.0,3
TQTF,2022-07-29,AKGD ETF,AKGD,993.0,165249680.96,81.99,78.95,83.45,82.02,83.08,82.41,1989091.0,83.08,83.08,82.02,165249680.96,165249680.96,165249680.96,9728829.4,3
TQTF,2022-07-29,ETF AKMB,AKMB,5741.0,2547964.11,1.168,1.1618,1.1742,1.1651,1.169,1.1635,2184876.0,1.1662,1.1662,1.1651,2547964.11,2547964.11,2547964.11,7268811.84,3
TQTF,2022-07-29,ETF AKME,AKME,186.0,357267.54,81.0,80.22,82.38,81.74,81.3,81.74,4405.0,,81.04,81.74,0.0,504187.26,0.0,3131752.22,3
TQTF,2022-07-29,AKMM ETF,AKMM,54.0,8978477.18,100.39,100.36,100.39,100.39,100.39,100.39,89436.0,100.39,100.39,100.39,8978477.18,8978477.18,8978477.18,15125109.43,3
TQTD,2022-07-29,AKQU ETF,AKQU,20.0,173412.18,89.78,88.28,90.14,88.28,89.2,88.28,1944.0,5370.35,5370.35,88.28,10439950.77,10439950.77,10439950.77,34245.09,3
TQBR,2022-07-29,Акрон,AKRN,545.0,17579352.0,16702.0,16614.0,16702.0,16650.0,16662.0,16650.0,1055.0,16662.0,16662.0,16650.0,17579352.0,17579352.0,17579352.0,0.0,3
TQTF,2022-07-29,ETF AKSC,AKSC,36.0,24253.4,39.42,39.42,41.04,40.4,40.48,40.4,598.0,,36.36,40.4,0.0,584824.78,0.0,57790.12,3
TQTF,2022-07-29,AKVG ETF,AKVG,37.0,13279.88,40.22,40.2,43.16,40.72,40.78,40.74,325.0,,35.38,40.72,0.0,545893.49,0.0,40694.41,3
SMAL,2022-07-29,АЛРОСА ао,ALRS,23.0,3412.53,65.1,63.51,65.47,,64.33,64.0,53.0,,,,0.0,0.0,0.0,0.0,3
