BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-09-01,AMDRUB_TOM,AMDRUB_TOM,15.345,15.1075,15.44,15.3875,43.0,939371.0,15.3492
CNGD,2022-09-01,BYN_TODTOM,BYNRUBTODTOM,0.0129,0.0129,0.0129,0.0129,5.0,231206.76,
CETS,2022-09-01,BYNRUB_TOM,BYNRUB_TOM,23.8325,23.6125,23.8325,23.7925,438.0,117250300.0,23.6869
CETS,2022-09-01,CNYRUB_TOD,CNY000000TOD,8.769,8.695,8.769,8.725,1365.0,2452552750.0,8.7155
CETS,2022-09-01,CNY_TODTOM,CNYRUBTODTOM,0.002,0.00195,0.002077,0.001999,521.0,311010701356.5,0.001977
CNGD,2022-09-01,CNY_TODTOM,CNYRUBTODTOM,0.0,-0.0036,0.0048,0.004088,2741.0,14950156849.47,
CETS,2022-09-01,CNYRUB_TOM,CNYRUB_TOM,8.73,8.698,8.756,8.727,20087.0,28519605624.0,8.7268
CNGD,2022-09-01,CNYRUB_TOM,CNYRUB_TOM,8.73,8.684,8.756,8.723,8529.0,3509460430.74,
CETS,2022-09-01,CNY_TOM1W,CNYRUB_TOM1W,0.01385,0.01385,0.01385,0.01385,1.0,30542967000.0,0.01385
CETS,2022-09-01,EUR_TODTOM,EUR000TODTOM,0.0117,0.006,0.02,0.013,495.0,45415629560.0,0.0106
CNGD,2022-09-01,EUR_TODTOM,EUR000TODTOM,-0.0165,-0.0165,0.033,-0.0165,720.0,18479536589.44,
CETS,2022-09-01,EURRUB_TMS,EURRUB_TMS,60.3,59.7125,60.6975,60.2,1149.0,18817964.12,60.3034
CETS,2022-09-01,EURUSD_TOD,EURUSD000TOD,1.00398,0.99843,1.00398,1.0004,64.0,204579030.44,1.00093
CNGD,2022-09-01,EURUSD_TOD,EURUSD000TOD,1.01152,1.0015,1.01152,1.01152,1333.0,14175293.14,
CETS,2022-09-01,EURUSD_TOM,EURUSD000TOM,1.003,0.991,1.00398,0.99303,5694.0,22720124711.06,1.0005
CNGD,2022-09-01,EURUSD_TOM,EURUSD000TOM,1.0025,1.001,1.01152,1.001,1341.0,2579466193.44,
CETS,2022-09-01,EURUSDTDTM,EURUSDTODTOM,0.0,-5e-05,0.00011,-2e-05,48.0,15925430904.94,1e-06
CNGD,2022-09-01,EURUSDTDTM,EURUSDTODTOM,0.0,-0.000275,0.00044,0.000358,21.0,28791604564.67,
CETS,2022-09-01,EURRUB_TOD,EUR_RUB__TOD,60.3675,59.9975,60.595,60.235,9484.0,21425391150.0,60.2821
CNGD,2022-09-01,EURRUB_TOD,EUR_RUB__TOD,60.13,59.5832,60.7869,60.23,6543.0,523839611.38,
CETS,2022-09-01,EURRUB_TOM,EUR_RUB__TOM,60.52,59.72,60.5825,59.895,14494.0,41956050207.5,60.2472
CNGD,2022-09-01,EURRUB_TOM,EUR_RUB__TOM,60.3325,59.5832,60.7869,59.865,10103.0,738210752.42,
CNGD,2022-09-01,GBP_TODTOM,GBPRUBTODTOM,-0.02,-0.02,0.0346,0.0346,41.0,11430345.47,
CNGD,2022-09-01,GBPRUB_TOD,GBPRUB_TOD,73.6,73.6,74.336,74.336,620.0,4801681.25,
CETS,2022-09-01,GBPRUB_TOM,GBPRUB_TOM,72.1825,71.0,73.5,71.35,113.0,56735295.0,71.9079
CNGD,2022-09-01,GBPRUB_TOM,GBPRUB_TOM,72.2,70.6575,74.336,71.7,771.0,214621071.48,
CETS,2022-09-01,GLD_TODTOM,GLDRUBTODTOM,0.5433,0.5433,0.5433,0.5433,1.0,52887289.6,0.5433
CNGD,2022-09-01,GLD_TODTOM,GLDRUBTODTOM,0.7244,-0.4075,1.4487,1.4487,73.0,14220536.09,
CETS,2022-09-01,GLDRUB_TOM,GLDRUB_TOM,3300.0,3251.09,3300.0,3260.84,3387.0,324528277.77,3270.56
CNGD,2022-09-01,HKD_TODTOM,HKDRUBTODTOM,0.0,-0.002159,0.0042,0.003159,702.0,581759434.52,
CETS,2022-09-01,HKDRUB_TOD,HKDRUB_TOD,7.79,7.79,7.96,7.84,9.0,595912.6,7.841
CETS,2022-09-01,HKDRUB_TOM,HKDRUB_TOM,7.8,7.7461,7.83,7.7939,1266.0,351783893.6,7.7909
CNGD,2022-09-01,HKDRUB_TOM,HKDRUB_TOM,7.7758,7.7461,7.8429,7.7939,3239.0,52744012.51,
CNGD,2022-09-01,KZT_TODTOM,KZTRUBTODTOM,0.0065,-0.0054,0.0065,-0.0054,18.0,2162718665.75,
CETS,2022-09-01,KZTRUB_TOM,KZTRUB_TOM,12.84,12.78,13.0,12.88,488.0,216140372.75,12.8332
CNGD,2022-09-01,SLV_TODTOM,SLVRUBTODTOM,0.0186,0.0186,0.0186,0.0186,3.0,8979.62,
CETS,2022-09-01,SLVRUB_TOM,SLVRUB_TOM,42.28,42.27,43.87,42.62,858.0,11209577.0,43.01
CNGD,2022-09-01,TRY_TODTOM,TRYRUBTODTOM,0.001461,0.0012,0.0018,0.001587,134.0,54308916.34,
CETS,2022-09-01,TRYRUB_TOM,TRYRUB_TOM,3.33,3.31,3.34,3.3299,374.0,83659765.6,3.3292
CNGD,2022-09-01,TRYRUB_TOM,TRYRUB_TOM,3.3296,3.3097,3.34,3.33,1055.0,4057569.6,
CETS,2022-09-01,USDRUB_TOD,USD000000TOD,60.15,59.9075,60.45,60.18,11256.0,41525478047.5,60.2274
CNGD,2022-09-01,USDRUB_TOD,USD000000TOD,60.23,59.556,60.8551,60.2825,75741.0,5146525640.63,
CETS,2022-09-01,USD_TODTOM,USD000TODTOM,0.0148,0.006,0.0148,0.0131,990.0,153640131780.0,0.0128
