BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-09-01,АбрауДюрсо,ABRD,501.0,4293305.0,190.0,190.0,195.0,192.5,192.5,192.5,22280.0,192.5,192.5,192.5,4293305.0,4293305.0,4293305.0,0.0,3
SMAL,2022-09-01,Система ао,AFKS,1.0,29.4,14.699,14.699,14.699,,14.528,14.699,2.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-09-01,Система ао,AFKS,8237.0,212235410.0,14.67,14.46,14.67,14.46,14.528,14.46,14608500.0,14.528,14.528,14.46,212235410.0,212235410.0,212235410.0,0.0,3
SMAL,2022-09-01,Аэрофлот,AFLT,6.0,179.52,29.92,29.92,29.92,,29.04,29.92,6.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-09-01,Аэрофлот,AFLT,16503.0,199002741.6,28.9,28.7,29.38,28.84,29.04,28.84,6853650.0,29.04,29.04,28.84,199002741.6,199002741.6,199002741.6,0.0,3
TQBR,2022-09-01,AGRO-гдр,AGRO,2017.0,29201353.6,914.8,906.0,914.8,908.6,910.4,908.6,32077.0,910.4,910.4,908.6,29201353.6,29201353.6,29201353.6,0.0,3
TQTF,2022-09-01,AKGD ETF,AKGD,826.0,5651872.25,79.95,76.08,79.96,76.28,77.36,76.56,73227.0,77.18,77.18,76.28,5651872.25,5651872.25,5651872.25,24829533.15,3
TQTF,2022-09-01,ETF AKMB,AKMB,6336.0,6614549.74,1.1835,1.1784,1.189,1.1836,1.1836,1.1831,5589205.0,1.1835,1.1835,1.1836,6614549.74,6614549.74,6614549.74,6964858.36,3
TQTF,2022-09-01,ETF AKME,AKME,349.0,3072809.66,85.5,85.48,87.44,87.4,85.9,87.44,35789.0,85.86,85.86,87.4,3072809.66,3072809.66,3072809.66,2854103.51,3
TQTF,2022-09-01,AKMM ETF,AKMM,54.0,6969577.63,101.06,101.0,101.06,101.06,101.06,101.06,68965.0,101.06,101.06,101.06,6969577.63,6969577.63,6969577.63,11245431.02,3
TQBR,2022-09-01,Акрон,AKRN,929.0,39436244.0,17750.0,17600.0,17928.0,17638.0,17724.0,17638.0,2225.0,17724.0,17724.0,17638.0,39436244.0,39436244.0,39436244.0,0.0,3
TQTF,2022-09-01,ETF AKSC,AKSC,38.0,738673.04,37.66,37.26,38.36,37.58,37.28,37.58,19822.0,37.26,37.26,37.58,738673.04,738673.04,738673.04,32624.88,3
TQTF,2022-09-01,AKVG ETF,AKVG,64.0,57763.32,38.68,36.0,38.76,37.28,38.22,37.28,1537.0,,39.32,37.28,0.0,519619.15,0.0,181643.23,3
SMAL,2022-09-01,АЛРОСА ао,ALRS,6.0,1085.04,72.01,72.01,73.42,,72.92,73.42,15.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-09-01,АЛРОСА ао,ALRS,23556.0,502342132.2,73.3,72.0,73.88,72.15,72.92,72.15,6889410.0,72.92,72.92,72.15,502342132.2,502342132.2,502342132.2,0.0,3
TQBR,2022-09-01,АшинскийМЗ,AMEZ,1604.0,24273157.5,24.115,24.05,25.73,24.455,24.8,24.455,978800.0,24.8,24.8,24.455,24273157.5,24273157.5,24273157.5,0.0,3
TQTF,2022-09-01,AMRE ETF,AMRE,281.0,119544.3,82.8,76.1,82.8,77.9,77.2,78.1,1549.0,,77.4,77.9,0.0,519118.1,0.0,490226.35,3
TQTF,2022-09-01,AMRH ETF,AMRH,5.0,30053.86,100.38,99.74,100.4,100.18,100.18,100.4,300.0,,99.66,100.18,0.0,514893.56,0.0,103848.08,3
TQBR,2022-09-01,Аптеки36и6,APTK,1323.0,2316615.56,12.266,12.218,12.38,12.284,12.288,12.284,188540.0,12.288,12.288,12.284,2316615.56,2316615.56,2316615.56,0.0,3
TQBR,2022-09-01,ИНАРКТИКА,AQUA,2229.0,15660284.5,615.0,610.5,622.5,618.5,618.0,618.5,25345.0,618.0,618.0,618.5,15660284.5,15660284.5,15660284.5,0.0,3
TQBR,2022-09-01,Арсагера,ARSA,35.0,225229.0,6.26,6.23,6.31,6.27,6.26,6.29,36000.0,,6.27,6.27,0.0,502241.0,0.0,0.0,3
TQBR,2022-09-01,АстрЭнСб,ASSB,62.0,126302.0,0.7425,0.738,0.763,0.742,0.7475,0.742,169000.0,,0.742,0.742,0.0,500202.0,0.0,0.0,3
TQBR,2022-09-01,Авангрд-ао,AVAN,30.0,116115.0,875.0,875.0,885.0,885.0,880.0,880.0,132.0,,880.0,885.0,0.0,515755.0,0.0,0.0,3
TQBR,2022-09-01,Башнефт ао,BANE,3450.0,59247275.5,1037.5,1030.0,1098.0,1075.5,1074.0,1075.5,55157.0,1074.0,1074.0,1075.5,59247275.5,59247275.5,59247275.5,0.0,3
