BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-08-10,AMDRUB_TOM,AMDRUB_TOM,15.6,15.13,16.5375,16.1825,69.0,486174.5,16.3146
CNGD,2022-08-10,BYN_TODTOM,BYNRUBTODTOM,0.0128,0.0128,0.0128,0.0128,3.0,67701.67,
CETS,2022-08-10,BYNRUB_TOD,BYNRUB_TOD,23.575,23.5475,23.575,23.5475,2.0,4950337.5,23.573
CETS,2022-08-10,BYNRUB_TOM,BYNRUB_TOM,23.62,23.5,23.9,23.8775,293.0,69733365.0,23.6304
CETS,2022-08-10,CNYRUB_TOD,CNY000000TOD,8.911,8.901,8.96,8.955,1029.0,2157962893.0,8.9494
CETS,2022-08-10,CNY_TODTOM,CNYRUBTODTOM,0.001763,0.001763,0.001975,0.001865,375.0,159452529725.8,0.001907
CNGD,2022-08-10,CNY_TODTOM,CNYRUBTODTOM,1.4e-05,-0.0038,0.0049,0.003917,2613.0,21986404963.03,
CETS,2022-08-10,CNYRUB_TOM,CNYRUB_TOM,8.92,8.904,9.095,9.09,34417.0,54197120629.0,8.9704
CNGD,2022-08-10,CNYRUB_TOM,CNYRUB_TOM,8.92,8.904,9.095,9.09,7165.0,132981286.79,
CETS,2022-08-10,CNY_TOM1W,CNYRUB_TOM1W,0.01375,0.01375,0.014,0.014,2.0,31322099000.0,0.013857
CETS,2022-08-10,CNY_TOM2W,CNYRUB_TOM2W,0.0278,0.0278,0.028,0.028,2.0,40334313000.0,0.027867
CETS,2022-08-10,EUR_TODTOM,EUR000TODTOM,0.0105,-0.025,0.012,-0.02,608.0,54643706700.0,0.0087
CNGD,2022-08-10,EUR_TODTOM,EUR000TODTOM,0.012,-0.0169,0.0925,0.027,713.0,7435742992.14,
CETS,2022-08-10,EURRUB_TMS,EURRUB_TMS,61.45,61.355,62.78,62.7,1500.0,24476218.35,61.8917
CNGD,2022-08-10,EURRUB_TMS,EURRUB_TMS,61.89,61.89,61.89,61.89,1.0,40.85,
CETS,2022-08-10,EURUSD_TOD,EURUSD000TOD,1.01856,1.01697,1.02469,1.0238,148.0,360079456.98,1.02026
CNGD,2022-08-10,EURUSD_TOD,EURUSD000TOD,1.02714,1.00681,1.03322,1.03322,1146.0,11181806.85,
CETS,2022-08-10,EURUSD_TOM,EURUSD000TOM,1.018,1.01752,1.0355,1.034,6161.0,30209856386.19,1.02378
CNGD,2022-08-10,EURUSD_TOM,EURUSD000TOM,1.02714,1.00681,1.03322,1.03322,1148.0,1554983251.35,
CETS,2022-08-10,EURUSDTDTM,EURUSDTODTOM,-1e-05,-0.000199,-1e-05,-0.000101,38.0,21811988117.32,-2.4e-05
CNGD,2022-08-10,EURUSDTDTM,EURUSDTODTOM,-0.000252,-0.00028,0.000448,0.000448,15.0,5829150.31,
CETS,2022-08-10,EURRUB_TOD,EUR_RUB__TOD,62.27,61.35,62.27,61.99,6005.0,14025802010.0,61.6869
CNGD,2022-08-10,EURRUB_TOD,EUR_RUB__TOD,61.6425,60.8256,62.4913,61.8725,6835.0,4228362239.97,
CETS,2022-08-10,EURRUB_TOM,EUR_RUB__TOM,60.825,60.7425,62.82,62.7525,18461.0,52705192137.5,61.8069
CNGD,2022-08-10,EURRUB_TOM,EUR_RUB__TOM,61.3975,60.8256,62.86,62.75,11104.0,3463703413.52,
CNGD,2022-08-10,GBP_TODTOM,GBPRUBTODTOM,-0.0404,-0.0404,0.0329,0.0324,42.0,10300450.64,
CETS,2022-08-10,GBPRUB_TOD,GBPRUB_TOD,74.98,74.98,74.98,74.98,1.0,674820.0,74.98
CNGD,2022-08-10,GBPRUB_TOD,GBPRUB_TOD,75.2,74.98,75.952,75.7298,619.0,6636526.36,
CETS,2022-08-10,GBPRUB_TOM,GBPRUB_TOM,74.4725,73.0,74.55,74.385,170.0,183359890.0,73.8461
CNGD,2022-08-10,GBPRUB_TOM,GBPRUB_TOM,71.67,71.67,75.952,74.505,1018.0,10912897.54,
CETS,2022-08-10,GLD_TODTOM,GLDRUBTODTOM,0.469,0.469,0.469,0.469,1.0,58185945.9,0.469
CNGD,2022-08-10,GLD_TODTOM,GLDRUBTODTOM,0.7501,-0.4219,1.5002,1.5002,62.0,8880970.36,
CETS,2022-08-10,GLDRUB_TOM,GLDRUB_TOM,3428.0,3400.0,3450.0,3445.0,3505.0,297091924.63,3421.77
CETS,2022-08-10,GLD_TOM1W,GLDRUB_TOM1W,3.9379,3.9379,3.9379,3.9379,1.0,171308580.0,3.9379
CNGD,2022-08-10,HKD_TODTOM,HKDRUBTODTOM,4.3e-05,-0.002157,0.0043,-0.002157,626.0,578339648.05,
CETS,2022-08-10,HKDRUB_TOD,HKDRUB_TOD,7.919,7.919,7.97,7.97,8.0,1888728.3,7.9358
CETS,2022-08-10,HKDRUB_TOM,HKDRUB_TOM,7.8698,7.8,7.889,7.889,2911.0,541260802.1,7.8551
CNGD,2022-08-10,HKDRUB_TOM,HKDRUB_TOM,7.807,7.801,7.8865,7.8865,11198.0,123676215.55,
CNGD,2022-08-10,KZT_TODTOM,KZTRUBTODTOM,0.0,0.0,0.0056,0.0056,2.0,16452.31,
CETS,2022-08-10,KZTRUB_TOM,KZTRUB_TOM,12.7,12.6125,12.7875,12.785,582.0,310363042.75,12.6757
CNGD,2022-08-10,SLV_TODTOM,SLVRUBTODTOM,0.0204,0.0204,0.0204,0.0204,2.0,9358.84,
CETS,2022-08-10,SLVRUB_TOM,SLVRUB_TOM,46.89,42.49,46.99,45.3,3526.0,72125506.0,43.37
CNGD,2022-08-10,TRY_TODTOM,TRYRUBTODTOM,0.0018,0.0012,0.0018,0.001453,139.0,39033340.09,
CNGD,2022-08-10,TRYRUB_TOD,TRYRUB_TOD,3.39,3.39,3.39,3.39,1.0,44070000.0,
CETS,2022-08-10,TRYRUB_TOM,TRYRUB_TOM,3.372,3.37,3.4229,3.42,416.0,47274492.9,3.3886
CNGD,2022-08-10,TRYRUB_TOM,TRYRUB_TOM,3.3972,3.3611,3.4247,3.4204,1259.0,5619317.73,
CETS,2022-08-10,USDRUB_TOD,USD000000TOD,60.27,60.11,60.55,60.48,14374.0,48644379622.5,60.4385
CNGD,2022-08-10,USDRUB_TOD,USD000000TOD,60.1475,59.7738,61.0949,60.4675,72047.0,3217243877.1,
CETS,2022-08-10,USD_TODTOM,USD000TODTOM,0.0134,0.0128,0.0174,0.0138,1385.0,137270445870.0,0.0132
CNGD,2022-08-10,USD_TODTOM,USD000TODTOM,0.0,-0.0165,0.0672,0.0264,21623.0,35988562957.3,
CETS,2022-08-10,USDRUB_TOM,USD000UTSTOM,60.14,60.06,60.69,60.665,46437.0,132441384765.0,60.4574
CNGD,2022-08-10,USDRUB_TOM,USD000UTSTOM,60.1,59.7738,61.0949,60.69,109044.0,6783663163.47,
CNGD,2022-08-10,USDCNYTDTM,USDCNYTODTOM,-0.001849,-0.001849,0.002959,-0.000832,33.0,5991109.1,
CETS,2022-08-10,USDCNY_TOD,USDCNY_TOD,6.72523,6.72502,6.75999,6.74,8.0,14399591.9,6.7292
CETS,2022-08-10,USDCNY_TOM,USDCNY_TOM,6.7306,6.6702,6.75799,6.6702,4917.0,26646010304.71,6.74028
CNGD,2022-08-10,USDCNY_TOM,USDCNY_TOM,6.7475,6.72232,6.7475,6.72232,2.0,2416528238.59,
CETS,2022-08-10,USDKZT_TOM,USDKZT_TOM,476.6,476.55,477.9,476.55,33.0,44390890.43,477.38
CNGD,2022-08-10,USDRUB_TDS,USDRUB_TDS,60.0,60.0,60.0,60.0,1.0,2.4,
CETS,2022-08-10,USDRUB_TMS,USDRUB_TMS,60.5,59.95,60.65,60.65,4238.0,53878633.76,60.4413
CNGD,2022-08-10,USDRUB_TMS,USDRUB_TMS,60.4,60.395,60.49,60.395,21.0,306.92,
