BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-08-10,АбрауДюрсо,ABRD,154.0,1428945.0,173.0,172.5,174.0,173.5,173.0,173.5,8250.0,173.0,173.0,173.5,1428945.0,1428945.0,1428945.0,0.0,3
SMAL,2022-08-10,Система ао,AFKS,4.0,226.19,14.485,14.1,14.485,,14.215,14.15,16.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-08-10,Система ао,AFKS,12096.0,322369758.9,14.0,13.917,14.367,14.3,14.215,14.3,22678500.0,14.215,14.215,14.3,322369758.9,322369758.9,322369758.9,0.0,3
SMAL,2022-08-10,Аэрофлот,AFLT,11.0,963.8,28.1,27.98,30.74,,27.14,30.68,32.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-08-10,Аэрофлот,AFLT,8342.0,131330309.6,27.1,26.84,27.42,27.06,27.14,27.06,4837690.0,27.14,27.14,27.06,131330309.6,131330309.6,131330309.6,0.0,3
TQBR,2022-08-10,AGRO-гдр,AGRO,4543.0,49764555.6,799.0,793.0,821.8,821.6,812.0,821.6,61289.0,812.0,812.0,821.6,49764555.6,49764555.6,49764555.6,0.0,3
TQTF,2022-08-10,AKGD ETF,AKGD,341.0,25647226.12,83.4,80.65,83.4,82.91,82.68,82.99,310187.0,82.68,82.68,82.91,25647226.12,25647226.12,25647226.12,23242800.28,3
TQTF,2022-08-10,ETF AKMB,AKMB,8576.0,4466286.83,1.1774,1.1706,1.1854,1.1724,1.1742,1.1725,3801640.0,1.1748,1.1748,1.1724,4466286.83,4466286.83,4466286.83,7483924.23,3
TQTF,2022-08-10,ETF AKME,AKME,198.0,437756.76,79.68,78.22,80.28,79.46,79.12,79.5,5525.0,,79.08,79.46,0.0,501308.74,0.0,3402561.31,3
TQTF,2022-08-10,AKMM ETF,AKMM,33.0,3095650.24,100.55,100.55,100.58,100.58,100.58,100.58,30778.0,100.58,100.58,100.58,3095650.24,3095650.24,3095650.24,14901080.92,3
TQBR,2022-08-10,Акрон,AKRN,695.0,23354734.0,16220.0,15916.0,16298.0,16090.0,16096.0,16090.0,1451.0,16096.0,16096.0,16090.0,23354734.0,23354734.0,23354734.0,0.0,3
TQTF,2022-08-10,ETF AKSC,AKSC,35.0,5957.34,39.32,39.32,40.88,40.46,39.68,40.68,148.0,,37.0,40.46,0.0,721524.8,0.0,56600.05,3
TQTF,2022-08-10,AKVG ETF,AKVG,35.0,14033.9,41.28,41.26,44.74,41.92,41.76,42.08,338.0,,41.46,41.92,0.0,780815.98,0.0,62124.89,3
SMAL,2022-08-10,АЛРОСА ао,ALRS,9.0,1371.16,61.39,61.39,63.98,,63.36,63.98,22.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-08-10,АЛРОСА ао,ALRS,15845.0,258879340.6,62.99,62.33,64.0,63.69,63.36,63.69,4086090.0,63.36,63.36,63.69,258879340.6,258879340.6,258879340.6,0.0,3
TQBR,2022-08-10,АшинскийМЗ,AMEZ,304.0,3274582.0,23.045,22.835,23.28,22.925,23.01,22.925,142300.0,23.01,23.01,22.925,3274582.0,3274582.0,3274582.0,0.0,3
TQTF,2022-08-10,AMRE ETF,AMRE,140.0,99286.7,67.4,67.4,71.7,70.9,70.9,70.8,1401.0,,68.8,70.9,0.0,537702.4,0.0,356959.51,3
TQTF,2022-08-10,AMRH ETF,AMRH,5.0,5101.42,98.14,98.08,98.14,98.1,98.1,98.1,52.0,,99.5,98.1,0.0,795508.56,0.0,108773.89,3
TQBR,2022-08-10,Аптеки36и6,APTK,547.0,433092.7,12.25,12.192,12.254,12.24,12.244,12.248,35370.0,,12.24,12.24,0.0,506493.98,0.0,0.0,3
TQBR,2022-08-10,ИНАРКТИКА,AQUA,1330.0,12548362.0,553.0,545.0,559.0,553.0,554.0,553.0,22655.0,554.0,554.0,553.0,12548362.0,12548362.0,12548362.0,0.0,3
TQBR,2022-08-10,Арсагера,ARSA,38.0,134250.0,5.78,5.78,6.0,5.94,5.89,5.94,22800.0,,5.83,5.94,0.0,507060.0,0.0,0.0,3
TQBR,2022-08-10,АстрЭнСб,ASSB,3.0,3459.5,0.6915,0.6915,0.692,0.692,0.692,0.692,5000.0,,0.6995,0.692,0.0,502248.5,0.0,0.0,3
TQBR,2022-08-10,Авангрд-ао,AVAN,11.0,17675.0,840.0,835.0,845.0,845.0,840.0,845.0,21.0,,840.0,845.0,0.0,500485.0,0.0,0.0,3
TQBR,2022-08-10,Башнефт ао,BANE,408.0,3088652.5,989.0,986.5,1004.0,990.0,992.0,990.0,3113.0,992.0,992.0,990.0,3088652.5,3088652.5,3088652.5,0.0,3
TQBR,2022-08-10,Башнефт ап,BANEP,2372.0,40370217.0,659.0,645.0,664.5,649.0,658.0,649.0,61352.0,658.0,658.0,649.0,40370217.0,40370217.0,40370217.0,0.0,3
TQTF,2022-08-10,BCSB ETF,BCSB,206.0,228834.93,10.12,10.06,10.282,10.156,10.14,10.156,22567.0,,10.178,10.156,0.0,500256.58,0.0,1277202.75,3
TQBR,2022-08-10,Белуга ао,BELU,1884.0,33498733.0,2460.0,2460.0,2510.0,2494.0,2486.0,2494.0,13475.0,2486.0,2486.0,2494.0,33498733.0,33498733.0,33498733.0,0.0,3
TQBR,2022-08-10,БашИнСв ап,BISVP,153.0,775193.0,7.45,7.45,7.98,7.65,7.74,7.65,100200.0,7.74,7.74,7.65,775193.0,775193.0,775193.0,0.0,3
TQBR,2022-08-10,Белон ао,BLNG,200.0,655752.0,9.45,9.23,9.45,9.25,9.29,9.25,70600.0,9.29,9.29,9.25,655752.0,655752.0,655752.0,0.0,3
TQBR,2022-08-10,БурЗолото,BRZL,53.0,166588.0,776.0,769.0,786.0,779.0,782.0,779.0,213.0,,774.0,779.0,0.0,503313.0,0.0,0.0,3
SMAL,2022-08-10,БСП ао,BSPB,4.0,515.33,99.95,99.95,107.71,,89.54,107.71,5.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-08-10,БСП ао,BSPB,3252.0,33145302.4,90.4,88.05,90.4,89.99,89.54,89.99,370170.0,89.54,89.54,89.99,33145302.4,33145302.4,33145302.4,0.0,3
TQBR,2022-08-10,БСП ап,BSPBP,1758.0,18528305.0,14.9,14.75,18.0,16.6,16.55,16.6,1119700.0,16.55,16.55,16.6,18528305.0,18528305.0,18528305.0,0.0,3
SMAL,2022-08-10,МКБ ао,CBOM,1.0,37.87,5.41,5.41,5.41,,5.266,5.41,7.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-08-10,МКБ ао,CBOM,5457.0,159675305.2,5.297,5.219,5.346,5.269,5.266,5.269,30320800.0,5.266,5.266,5.269,159675305.2,159675305.2,159675305.2,0.0,3
TQBR,2022-08-10,РН-ЗапСиб,CHGZ,72.0,202258.0,37.6,37.6,39.4,39.0,38.6,38.4,5250.0,,38.0,39.0,0.0,501030.0,0.0,0.0,3
TQBR,2022-08-10,ЧКПЗ ао,CHKZ,1.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,5300.0,1.0,,5440.0,5300.0,0.0,500960.0,0.0,0.0,3
TQBR,2022-08-10,СевСт-ао,CHMF,15463.0,297804139.4,707.6,695.2,708.6,698.0,700.6,698.0,425102.0,700.6,700.6,698.0,297804139.4,297804139.4,297804139.4,0.0,3
