BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-07-21,АбрауДюрсо,ABRD,237.0,2493655.0,173.5,172.0,174.5,173.0,173.0,173.0,14420.0,173.0,173.0,173.0,2493655.0,2493655.0,2493655.0,0.0,3
SMAL,2022-07-21,Система ао,AFKS,11.0,257.41,13.06,12.419,13.12,,12.957,13.0,20.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-07-21,Система ао,AFKS,10343.0,207063932.8,13.197,12.761,13.21,13.01,12.957,13.01,15981400.0,12.957,12.957,13.01,207063932.8,207063932.8,207063932.8,0.0,3
SMAL,2022-07-21,Аэрофлот,AFLT,6.0,433.62,26.5,26.5,29.94,,27.42,27.24,15.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-07-21,Аэрофлот,AFLT,19874.0,443508533.2,26.8,26.14,28.14,27.58,27.42,27.58,16177580.0,27.42,27.42,27.58,443508533.2,443508533.2,443508533.2,0.0,3
TQBR,2022-07-21,AGRO-гдр,AGRO,9433.0,45684450.6,766.0,750.0,773.6,754.2,754.4,754.2,60551.0,754.4,754.4,754.2,45684450.6,45684450.6,45684450.6,0.0,3
TQTF,2022-07-21,AKGD ETF,AKGD,409.0,42198187.51,72.51,71.19,74.3,73.85,73.47,73.8,574200.0,73.49,73.49,73.85,42198187.51,42198187.51,42198187.51,8352175.54,3
TQTF,2022-07-21,ETF AKMB,AKMB,4753.0,10898871.93,1.1513,1.1433,1.1629,1.16,1.159,1.161,9401784.0,1.1592,1.1592,1.16,10898871.93,10898871.93,10898871.93,6902253.31,3
TQTF,2022-07-21,ETF AKME,AKME,173.0,500611.9,76.44,75.32,77.18,76.36,76.3,76.4,6586.0,76.02,76.02,76.36,500611.9,500611.9,500611.9,3033065.24,3
TQTF,2022-07-21,AKMM ETF,AKMM,51.0,12165654.06,100.24,100.24,100.27,100.27,100.27,100.27,121329.0,100.27,100.27,100.27,12165654.06,12165654.06,12165654.06,12099325.08,3
TQBR,2022-07-21,Акрон,AKRN,1105.0,33639940.0,16582.0,16250.0,16662.0,16330.0,16386.0,16330.0,2053.0,16386.0,16386.0,16330.0,33639940.0,33639940.0,33639940.0,0.0,3
TQTD,2022-07-21,ETF AKSC,AKSC,2.0,25.96,0.649,0.649,0.649,0.671,0.662,0.649,40.0,,36.06,0.671,0.0,519533.33,0.0,1038.48,3
TQTF,2022-07-21,ETF AKSC,AKSC,20.0,7378.84,37.78,36.12,37.92,36.82,36.32,36.82,201.0,,36.06,36.82,0.0,519533.33,0.0,56959.44,3
TQTD,2022-07-21,AKVG ETF,AKVG,1.0,6.51,0.651,0.651,0.651,0.682,0.662,0.651,10.0,,35.0,0.682,0.0,500038.39,0.0,725.15,3
TQTF,2022-07-21,AKVG ETF,AKVG,35.0,13652.0,36.34,35.58,38.72,37.4,36.32,37.2,369.0,,35.0,37.4,0.0,500038.39,0.0,39773.94,3
SMAL,2022-07-21,АЛРОСА ао,ALRS,9.0,726.59,60.08,59.76,61.57,,60.59,61.57,12.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-07-21,АЛРОСА ао,ALRS,20669.0,360677243.6,60.84,59.25,61.88,61.3,60.59,61.3,5952850.0,60.59,60.59,61.3,360677243.6,360677243.6,360677243.6,0.0,3
TQBR,2022-07-21,АшинскийМЗ,AMEZ,1118.0,13358064.5,23.22,22.4,23.505,23.025,22.995,23.025,580900.0,22.995,22.995,23.025,13358064.5,13358064.5,13358064.5,0.0,3
TQTF,2022-07-21,AMRE ETF,AMRE,61.0,81914.6,67.9,66.1,71.8,67.7,67.6,67.7,1211.0,,67.8,67.7,0.0,612968.1,0.0,351047.14,3
TQTF,2022-07-21,AMRH ETF,AMRH,19.0,1105936.56,98.02,98.0,99.22,98.98,99.02,98.98,11169.0,99.02,99.02,98.98,1105936.56,1105936.56,1105936.56,45394.86,3
TQBR,2022-07-21,Аптеки36и6,APTK,898.0,2446526.2,12.282,12.14,12.322,12.22,12.21,12.22,200370.0,12.21,12.21,12.22,2446526.2,2446526.2,2446526.2,0.0,3
TQBR,2022-07-21,ИНАРКТИКА,AQUA,908.0,5786086.5,519.0,505.5,519.0,511.5,513.0,511.5,11280.0,513.0,513.0,511.5,5786086.5,5786086.5,5786086.5,0.0,3
TQBR,2022-07-21,Арсагера,ARSA,26.0,64433.0,5.57,5.57,5.78,5.74,5.7,5.78,11300.0,,5.57,5.74,0.0,557309.0,0.0,0.0,3
