BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-07-21,AMDRUB_TOM,AMDRUB_TOM,13.8,13.4125,14.8,14.3475,157.0,2350043.0,13.8157
CNGD,2022-07-21,BYN_TODTOM,BYNRUBTODTOM,0.0121,0.0121,0.0121,0.0121,1.0,44258.2,
CETS,2022-07-21,BYNRUB_TOD,BYNRUB_TOD,22.0775,22.045,22.0775,22.0725,4.0,10435860.0,22.0631
CETS,2022-07-21,BYNRUB_TOM,BYNRUB_TOM,22.35,21.93,22.91,22.6925,276.0,39128905.0,22.385
CETS,2022-07-21,CNYRUB_TOD,CNY000000TOD,8.15,8.1227,8.3978,8.2297,1794.0,2688713525.0,8.1934
CETS,2022-07-21,CNY_TODTOM,CNYRUBTODTOM,0.002075,0.002072,0.00215,0.002085,228.0,135365950590.3,0.002107
CNGD,2022-07-21,CNY_TODTOM,CNYRUBTODTOM,6e-06,-0.0035,0.0044,0.003577,2276.0,6357160854.95,
CETS,2022-07-21,CNYRUB_TOM,CNYRUB_TOM,8.14,8.104,8.7186,8.52,54249.0,56045241099.9,8.4143
CNGD,2022-07-21,CNYRUB_TOM,CNYRUB_TOM,8.14,8.115,8.7103,8.5163,11679.0,2561242474.83,
CETS,2022-07-21,CNY_TOM1W,CNYRUB_TOM1W,0.014,0.014,0.014,0.014,6.0,8173794000.0,0.014
CETS,2022-07-21,CNY_TOM2W,CNYRUB_TOM2W,0.0271,0.0271,0.0271,0.0271,1.0,8186894000.0,0.0271
CETS,2022-07-21,EUR_TODTOM,EUR000TODTOM,0.0109,0.0109,0.0144,0.013,1000.0,39974303000.0,0.0134
CNGD,2022-07-21,EUR_TODTOM,EUR000TODTOM,0.0,-0.0177,0.0871,0.0123,887.0,9333354499.11,
CETS,2022-07-21,EURRUB_TMS,EURRUB_TMS,56.0,55.84,59.4375,57.3,2824.0,31792870.36,57.3922
CETS,2022-07-21,EURUSD_TOD,EURUSD000TOD,1.021,1.00911,1.021,1.0193,774.0,1674906589.71,1.0144
CNGD,2022-07-21,EURUSD_TOD,EURUSD000TOD,1.02499,1.0047,1.02499,1.02499,1026.0,10248326.16,
CETS,2022-07-21,EURUSD_TOM,EURUSD000TOM,1.02,1.01,1.02348,1.01,8790.0,30198419780.34,1.01566
CNGD,2022-07-21,EURUSD_TOM,EURUSD000TOM,1.02499,1.0047,1.02499,1.02499,1027.0,66084709.96,
CETS,2022-07-21,EURUSDTDTM,EURUSDTODTOM,-1e-06,-9.6e-05,1.9e-05,5e-06,35.0,19849051228.66,
CNGD,2022-07-21,EURUSDTDTM,EURUSDTODTOM,0.00049,-0.000322,0.00049,0.00049,16.0,2749147.69,
CETS,2022-07-21,EURRUB_TOD,EUR_RUB__TOD,55.9025,55.685,59.69,58.28,10325.0,23186598135.0,57.0005
CNGD,2022-07-21,EURRUB_TOD,EUR_RUB__TOD,56.4388,55.3212,56.4388,56.4388,7326.0,110555734.79,
CETS,2022-07-21,EURRUB_TOM,EUR_RUB__TOM,56.075,55.6925,59.715,57.2475,29327.0,75525946840.0,57.1981
CNGD,2022-07-21,EURRUB_TOM,EUR_RUB__TOM,56.1225,55.3212,59.6,57.25,15086.0,1146998204.48,
CETS,2022-07-21,GBP_TODTOM,GBPRUBTODTOM,0.0,0.0,0.0,0.0,2.0,13532360.0,
CNGD,2022-07-21,GBP_TODTOM,GBPRUBTODTOM,-0.0356,-0.0356,0.0329,0.0297,51.0,13843115.02,
CNGD,2022-07-21,GBPRUB_TOD,GBPRUB_TOD,69.7075,69.7075,70.4046,70.4046,636.0,5275229.33,
CETS,2022-07-21,GBPRUB_TOM,GBPRUB_TOM,68.35,68.0,71.7875,69.0,137.0,45092470.0,68.9487
CNGD,2022-07-21,GBPRUB_TOM,GBPRUB_TOM,70.66,65.6975,73.73,69.7675,1097.0,9220068.84,
CETS,2022-07-21,GBPUSD_TOM,GBPUSD_TOM,1.23,1.22,1.23,1.22,2.0,134380.3,1.225
CNGD,2022-07-21,GLD_TODTOM,GLDRUBTODTOM,-0.368,-0.368,1.3083,1.3083,68.0,9160232.05,
