BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2022-10-18,РЖД-19 обл,RU000A0JQ7Z2,37.0,7251930.1,98.03,98.71,98.56,98.56,21.29,98.4,8.95,98.5,7370.0,98.4,98.4,98.56,7251930.1,7251930.1,7251930.1,2024-07-08,588.0,9.06,,,7.85,39.14,,2022-10-18,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-18,ДОМ.РФ14об,RU000A0JQAL8,3.0,40240.5,100.5,101.5,100.5,100.6,70.52,100.6,9.45,101.5,40.0,,101.13,100.6,0.0,1833409.5,0.0,2023-05-15,28.0,8.08,,,16.5,83.18,2022-11-15,2022-10-18,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-18,РЖД-23 обл,RU000A0JQRD9,26.0,285890.0,98.48,98.64,98.5,98.5,19.14,98.58,8.77,98.49,290.0,,98.51,98.5,0.0,1211690.0,0.0,2025-01-16,754.0,8.73,,,7.85,39.14,,2022-10-18,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-18,СЗКК 03,RU000A0JRU20,7.0,19114.98,95.71,109.0,99.5,99.5,4.16,99.81,19.27,109.0,24.0,,,99.5,0.0,0.0,0.0,2031-09-26,171.0,18.48,,,17.3,68.84,2023-04-07,2022-10-18,798.0,SUR,,,,,RUB,3
TQCB,2022-10-18,СЗКК 04,RU000A0JRU46,1.0,794.01,99.5,99.5,99.5,99.5,4.16,99.5,19.27,99.5,1.0,,,99.5,0.0,0.0,0.0,2031-09-26,171.0,19.27,,,17.3,68.84,2023-04-07,2022-10-18,798.0,SUR,,,,,RUB,3
TQCB,2022-10-18,ОткрФКББ03,RU000A0JRZ74,2.0,1540.4,77.02,77.02,77.02,77.02,0.03,77.02,10.0,77.02,2.0,,77.68,77.02,0.0,1558351.8,0.0,2025-07-16,1002.0,10.0,,,0.01,0.05,,2022-10-18,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-18,ВЭБ.РФ 21,RU000A0JS4Z7,3.0,106300.0,106.3,106.3,106.3,106.3,14.75,106.3,-5.85,106.3,100.0,,102.43,106.3,0.0,577715.9,0.0,2032-02-17,133.0,-5.85,,,10.99,54.8,2023-02-28,2022-10-18,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-18,ЕАБР11,RU000A0JS934,20.0,98380.0,98.38,98.38,98.38,98.38,16.31,98.38,9.77,98.38,100.0,,98.28,98.38,0.0,578898.0,0.0,2025-01-24,277.0,9.77,,,7.35,36.65,2023-07-28,2022-10-18,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-18,РЖД-32 обл,RU000A0JSGV0,9.0,94846.2,100.85,100.94,100.9,100.9,27.67,100.9,8.72,100.85,94.0,,100.81,100.9,0.0,1388095.6,0.0,2032-06-25,253.0,8.72,,,9.9,49.36,2023-07-07,2022-10-18,1000.0,SUR,,,,,RUB,3
TQCB,2022-10-18,ФСК РС-22,RU000A0JSQ58,7.0,86294.0,100.19,102.5,102.5,102.5,20.81,101.52,7.74,100.19,85.0,,100.26,102.5,0.0,506319.5,0.0,2027-07-21,599.0,8.36,,,9.15,45.62,2024-07-24,2022-10-18,1000.0,SUR,,7.6487,,2024-07-31,RUB,3
TQCB,2022-10-18,ВЭБ.РФ 18,RU000A0JT403,1.0,969.8,96.98,96.98,96.98,96.98,3.78,96.98,9.62,96.98,1.0,,,96.98,0.0,0.0,0.0,2032-09-17,670.0,9.62,,,7.67,38.24,2024-09-27,2022-10-18,1000.0,SUR,,9.5568,,2024-10-01,RUB,3
TQCB,2022-10-18,ВЭБ.РФ 19,RU000A0JT6B2,1.0,994.5,99.45,99.45,99.45,99.45,2.46,99.45,8.04,99.45,1.0,,97.16,99.45,0.0,535331.0,0.0,2032-09-23,515.0,8.04,,,7.48,37.3,2024-04-04,2022-10-18,1000.0,SUR,,7.9653,,2024-04-08,RUB,3
TQCB,2022-10-18,МЕТАЛИНВ 2,RU000A0JTLJ3,7.0,22930.7,99.1,100.0,100.0,100.0,16.98,99.7,7.73,99.1,23.0,,99.44,100.0,0.0,545926.0,0.0,2023-01-27,101.0,8.9,,,7.65,38.15,,2022-10-18,1000.0,SUR,,,7.4466,,RUB,3
TQCB,2022-10-18,МЕТАЛИНВ 3,RU000A0JTLL9,1.0,1004.6,100.46,100.46,100.46,100.46,16.98,100.46,5.97,100.46,1.0,,98.51,100.46,0.0,3957137.9,0.0,2023-01-27,101.0,5.97,,,7.65,38.15,,2022-10-18,1000.0,SUR,,,5.7862,,RUB,3
TQCB,2022-10-18,Башнефть06,RU000A0JTM28,24.0,391866.6,99.66,100.14,100.08,100.08,16.24,99.97,7.49,100.14,392.0,,99.94,100.08,0.0,507719.6,0.0,2023-01-31,105.0,7.89,,,7.7,38.39,,2022-10-18,1000.0,SUR,,,7.2241,,RUB,3
TQCB,2022-10-18,Башнефть07,RU000A0JTM36,4.0,72165.6,100.23,100.23,100.23,100.23,17.51,100.23,7.54,100.23,72.0,100.19,100.19,100.23,505938.3,501946.4,505938.3,2023-01-31,105.0,7.54,,,8.3,41.39,,2022-10-18,1000.0,SUR,,,7.2759,,RUB,3
TQCB,2022-10-18,Башнефть08,RU000A0JTM44,13.0,232950.2,99.6,100.0,99.97,99.99,16.24,99.98,7.89,99.99,233.0,,99.93,99.99,0.0,508660.5,0.0,2023-01-31,105.0,7.86,,,7.7,38.39,,2022-10-18,1000.0,SUR,,,7.6082,,RUB,3
TQCB,2022-10-18,Башнефть09,RU000A0JTM51,5.0,18048.8,100.27,100.28,100.27,100.27,17.51,100.27,7.39,100.28,18.0,,99.88,100.27,0.0,600289.8,0.0,2023-01-31,105.0,7.39,,,8.3,41.39,,2022-10-18,1000.0,SUR,,,7.1367,,RUB,3
TQCB,2022-10-18,РусГидро08,RU000A0JTMK9,2.0,1976.0,98.25,99.35,98.25,98.25,0.21,98.8,6.37,99.35,2.0,,98.38,98.25,0.0,500768.7,0.0,2023-02-02,107.0,4.35,,,0.1,0.5,,2022-10-18,1000.0,SUR,,,6.1753,,RUB,3
TQCB,2022-10-18,Роснефть07,RU000A0JTS06,36.0,1743931.0,99.45,99.89,99.83,99.83,7.8,99.82,7.87,99.45,1747.0,99.82,99.82,99.83,1743931.0,1743931.0,1743931.0,2023-03-10,143.0,7.9,,,7.3,36.4,,2022-10-18,1000.0,SUR,,,7.6348,,RUB,3
TQCB,2022-10-18,Роснефть08,RU000A0JTS22,38.0,1698029.5,99.79,99.85,99.8,99.8,7.8,99.83,7.95,99.85,1701.0,99.83,99.83,99.8,1698029.5,1698029.5,1698029.5,2023-03-10,143.0,7.87,,,7.3,36.4,,2022-10-18,1000.0,SUR,,,7.7132,,RUB,3
TQCB,2022-10-18,МТС БО-01,RU000A0JTTA5,9.0,89171.2,100.15,100.23,100.23,100.23,4.81,100.19,6.01,100.15,89.0,,99.54,100.23,0.0,541491.9,0.0,2023-03-22,155.0,6.11,,,6.5,32.41,,2022-10-18,1000.0,SUR,,,5.8725,,RUB,3
TQCB,2022-10-18,РЖД-28 обл,RU000A0JTU85,2.0,9534290.4,97.13,97.14,97.14,97.14,3.91,97.14,9.16,97.13,9815.0,97.06,97.14,97.14,13530153.4,9637890.1,13530153.4,2028-03-21,507.0,9.16,,,6.8,33.91,2024-03-26,2022-10-18,1000.0,SUR,,9.0935,,2024-03-29,RUB,3
TQCB,2022-10-18,РСХБ 20,RU000A0JTVJ2,15.0,518095.6,103.59,104.52,103.59,103.59,2.73,103.83,6.58,103.86,499.0,103.83,103.83,103.59,518095.6,518095.6,518095.6,2023-04-11,175.0,6.06,,,14.25,71.05,,2022-10-18,1000.0,SUR,,,6.4297,,RUB,3
