BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-09-30,AMDRUB_TOM,AMDRUB_TOM,14.05,14.05,14.9,14.5225,157.0,1394319.75,14.6925
CNGD,2022-09-30,BYN_TODTOM,BYNRUBTODTOM,0.0391,0.0391,0.0391,0.0391,8.0,454022.38,
CETS,2022-09-30,BYNRUB_TOM,BYNRUB_TOM,23.8025,23.6,26.0,24.1025,379.0,53515080.0,24.1385
CETS,2022-09-30,CNYRUB_TOD,CNY000000TOD,8.139,8.002,8.197,8.02,4569.0,9393256014.0,8.0774
CNGD,2022-09-30,CNYRUB_TOD,CNY000000TOD,8.11,7.988,8.163,8.163,25.0,5198928627.48,
CETS,2022-09-30,CNY_TODTOM,CNYRUBTODTOM,0.011,0.011,0.089155,0.088999,1785.0,98444929592.3,0.025685
CNGD,2022-09-30,CNY_TODTOM,CNYRUBTODTOM,0.034548,-0.0345,0.099029,0.030047,3799.0,11898681789.69,
CETS,2022-09-30,CNYRUB_TOM,CNYRUB_TOM,8.121,8.017,8.545,8.341,90787.0,100140470085.0,8.1992
CNGD,2022-09-30,CNYRUB_TOM,CNYRUB_TOM,8.119,8.019,8.53,8.341,15927.0,3586743724.91,
CETS,2022-09-30,EUR_TODTOM,EUR000TODTOM,0.024,0.024,0.6545,0.2,1409.0,35820564660.0,0.1573
CNGD,2022-09-30,EUR_TODTOM,EUR000TODTOM,0.0,-0.0459,0.2563,-0.0459,734.0,2193876053.66,
CETS,2022-09-30,EURRUB_TMS,EURRUB_TMS,54.6025,50.63,57.2975,57.1975,4310.0,64044929.86,53.8054
CNGD,2022-09-30,EURRUB_TMS,EURRUB_TMS,53.4875,53.4875,53.4875,53.4875,1.0,21.93,
CETS,2022-09-30,EURUSD_TOD,EURUSD000TOD,0.96501,0.91407,0.99194,0.97998,711.0,2140594583.01,0.95115
CNGD,2022-09-30,EURUSD_TOD,EURUSD000TOD,0.984,0.97416,0.99384,0.99384,1264.0,12190441.43,
CETS,2022-09-30,EURUSD_TOM,EURUSD000TOM,0.971,0.92144,0.98468,0.96651,5915.0,20871386768.94,0.96397
CNGD,2022-09-30,EURUSD_TOM,EURUSD000TOM,0.9795,0.959,0.99384,0.99384,1270.0,2528774470.43,
CETS,2022-09-30,EURUSDTDTM,EURUSDTODTOM,0.00075,0.00048,0.004209,0.004209,111.0,6697859657.98,0.001253
CNGD,2022-09-30,EURUSDTDTM,EURUSDTODTOM,0.001,-0.000598,0.00415,0.00415,34.0,8867677831.17,
CETS,2022-09-30,EURRUB_TOD,EUR_RUB__TOD,55.8025,48.495,55.9725,53.15,16166.0,33350550752.5,52.3148
CNGD,2022-09-30,EURRUB_TOD,EUR_RUB__TOD,55.8275,51.4275,56.4666,51.4275,6099.0,141007460.26,
CETS,2022-09-30,EURRUB_TOM,EUR_RUB__TOM,55.4325,50.725,57.205,56.7,23814.0,47654416105.0,53.9179
CNGD,2022-09-30,EURRUB_TOM,EUR_RUB__TOM,55.46,50.795,57.205,56.28,28009.0,1103693160.13,
CNGD,2022-09-30,GBP_TODTOM,GBPRUBTODTOM,0.0302,-0.0479,0.0869,0.0869,22.0,5483790.26,
