BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-06-27,АбрауДюрсо,ABRD,395.0,4495775.0,175.0,173.0,178.5,175.5,174.5,175.5,25730.0,174.5,174.5,175.5,4495775.0,4495775.0,4495775.0,0.0,3
SMAL,2022-06-27,Система ао,AFKS,7.0,2037.15,14.0,14.0,14.27,,14.212,14.27,144.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-06-27,Система ао,AFKS,24487.0,632660373.3,13.99,13.718,14.649,14.567,14.212,14.567,44516000.0,14.212,14.212,14.567,632660373.3,632660373.3,632660373.3,0.0,3
SMAL,2022-06-27,Аэрофлот,AFLT,3.0,198.92,29.96,28.16,29.96,,27.44,28.16,7.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-06-27,Аэрофлот,AFLT,14317.0,297327779.6,26.8,26.6,27.9,27.9,27.44,27.9,10837420.0,27.44,27.44,27.9,297327779.6,297327779.6,297327779.6,0.0,3
TQBR,2022-06-27,AGRO-гдр,AGRO,14260.0,162214440.0,848.0,837.2,923.0,922.2,888.8,922.2,182500.0,888.8,888.8,922.2,162214440.0,162214440.0,162214440.0,0.0,3
TQTF,2022-06-27,AKGD ETF,AKGD,297.0,429533.34,72.42,70.15,72.42,72.02,71.2,72.02,6023.0,,71.44,72.02,0.0,502664.05,0.0,5027809.44,3
TQTF,2022-06-27,ETF AKMB,AKMB,5610.0,8425891.51,1.1449,1.1395,1.1568,1.1409,1.1475,1.1432,7362946.0,1.1444,1.1444,1.1409,8425891.51,8425891.51,8425891.51,7221091.81,3
TQTF,2022-06-27,ETF AKME,AKME,220.0,1609492.64,87.92,86.66,88.88,87.88,87.9,87.86,18266.0,88.12,88.12,87.88,1609492.64,1609492.64,1609492.64,5792106.56,3
TQTD,2022-06-27,AKQU ETF,AKQU,2.0,530.35,88.25,88.25,88.42,88.39,88.39,88.42,6.0,4654.65,4582.82,88.39,20103414.85,879901.2,20103414.85,32658.08,3
TQBR,2022-06-27,Акрон,AKRN,4289.0,126252534.0,18032.0,17804.0,18250.0,17988.0,18068.0,17988.0,6988.0,18068.0,18068.0,17988.0,126252534.0,126252534.0,126252534.0,0.0,3
TQTF,2022-06-27,ETF AKSC,AKSC,33.0,6911.5,32.76,32.5,33.44,33.32,33.48,33.2,208.0,,36.86,33.32,0.0,519643.77,0.0,47168.67,3
TQTF,2022-06-27,AKVG ETF,AKVG,46.0,22346.1,36.0,30.1,36.0,33.78,34.16,33.72,655.0,,37.42,33.78,0.0,500573.47,0.0,33410.47,3
SMAL,2022-06-27,АЛРОСА ао,ALRS,23.0,3667.29,71.01,71.01,73.5,,72.99,73.5,51.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-06-27,АЛРОСА ао,ALRS,26578.0,523380124.2,71.5,70.71,74.72,74.72,72.99,74.72,7173380.0,72.96,72.96,74.72,523380124.2,523380124.2,523380124.2,0.0,3
TQTD,2022-06-27,AMCC ETF,AMCC,1.0,898.92,0.908,0.908,0.908,0.917,0.911,0.908,990.0,,46.4,0.917,0.0,548187.81,0.0,300.72,3
TQTF,2022-06-27,AMCC ETF,AMCC,40.0,13155.3,48.3,47.9,51.8,48.9,48.6,49.0,267.0,,46.4,48.9,0.0,548187.81,0.0,16035.59,3
TQTF,2022-06-27,AMDG ETF,AMDG,28.0,22431.5,69.6,61.7,69.6,69.4,68.8,69.4,326.0,,66.7,69.4,0.0,528856.6,0.0,26394.71,3
TQTF,2022-06-27,AMEM ETF,AMEM,47.0,67144.6,49.2,49.2,76.4,62.9,61.4,60.0,1093.0,,56.6,62.9,0.0,517362.1,0.0,70747.05,3
TQBR,2022-06-27,АшинскийМЗ,AMEZ,1804.0,38819644.5,21.66,21.29,23.5,21.715,22.19,21.715,1749600.0,22.19,22.19,21.715,38819644.5,38819644.5,38819644.5,0.0,3
TQTD,2022-06-27,AMGF ETF,AMGF,3.0,2259.53,1.145,1.145,1.149,1.16,1.148,1.149,1970.0,,60.1,1.16,0.0,1040491.24,0.0,726.77,3
TQTF,2022-06-27,AMGF ETF,AMGF,26.0,7897.6,61.1,60.9,66.6,61.9,61.2,61.7,127.0,,60.1,61.9,0.0,1040491.24,0.0,38754.09,3
