BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-07-28,AMDRUB_TOM,AMDRUB_TOM,14.58,14.58,16.9,15.685,113.0,2390581.5,16.1635
CNGD,2022-07-28,BYN_TODTOM,BYNRUBTODTOM,0.0126,0.0126,0.0126,0.0126,2.0,46177.2,
CETS,2022-07-28,BYNRUB_TOM,BYNRUB_TOM,22.995,22.94,24.2,24.2,264.0,83603545.0,23.1525
CETS,2022-07-28,CNYRUB_TOD,CNY000000TOD,8.9791,8.8965,9.09,8.99,2895.0,5406872848.8,8.9841
CNGD,2022-07-28,CNYRUB_TOD,CNY000000TOD,9.01,9.0,9.0101,9.0001,22.0,3603060000.0,
CETS,2022-07-28,CNY_TODTOM,CNYRUBTODTOM,0.002101,0.002098,0.00213,0.002125,508.0,168843520074.2,0.002111
CNGD,2022-07-28,CNY_TODTOM,CNYRUBTODTOM,1.1e-05,-0.0038,0.0049,0.00395,2308.0,15305862429.66,
CETS,2022-07-28,CNYRUB_TOM,CNYRUB_TOM,8.98,8.9002,9.1898,9.1401,54850.0,61975960366.1,9.0618
CNGD,2022-07-28,CNYRUB_TOM,CNYRUB_TOM,8.9859,8.9003,9.1893,9.1401,10490.0,794811346.86,
CETS,2022-07-28,CNY_TOM1W,CNYRUB_TOM1W,0.0143,0.0143,0.0143,0.0143,2.0,24369090300.0,0.0143
CNGD,2022-07-28,CNY_TOM2W,CNYRUB_TOM2W,0.0294,0.0294,0.0294,0.0294,1.0,36162756000.0,
CETS,2022-07-28,EUR_TODTOM,EUR000TODTOM,0.013,0.013,0.0284,0.024,948.0,43533567780.0,0.0149
CNGD,2022-07-28,EUR_TODTOM,EUR000TODTOM,0.0,-0.0166,0.093,0.0134,800.0,1017772297.44,
CETS,2022-07-28,EURRUB_TMS,EURRUB_TMS,60.565,60.2525,62.315,61.8,3288.0,42133545.38,61.4976
CNGD,2022-07-28,EURRUB_TMS,EURRUB_TMS,61.695,61.695,61.695,61.695,1.0,30.85,
CETS,2022-07-28,EURUSD_TOD,EURUSD000TOD,1.01996,1.00938,1.02382,1.00938,1134.0,3265770678.87,1.01957
