BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-10-05,АбрауДюрсо,ABRD,902.0,10662760.0,170.5,162.5,176.5,169.5,169.5,169.5,62830.0,169.5,169.5,169.5,10662760.0,10662760.0,10662760.0,0.0,3
SMAL,2022-10-05,Система ао,AFKS,6.0,153.7,10.764,10.704,11.825,,10.626,10.704,14.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-05,Система ао,AFKS,22194.0,398151160.5,11.0,10.335,11.001,10.691,10.626,10.749,37469400.0,10.622,10.622,10.691,378026881.6,378026881.6,378026881.6,0.0,3
SMAL,2022-10-05,Аэрофлот,AFLT,4.0,114.72,23.12,22.24,23.12,,23.12,22.24,5.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-05,Аэрофлот,AFLT,14300.0,165770700.8,23.44,22.5,23.78,23.4,23.12,23.6,7167190.0,23.08,23.08,23.4,146814981.0,146814981.0,146814981.0,0.0,3
TQBR,2022-10-05,AGRO-гдр,AGRO,4518.0,48874775.4,760.0,740.0,776.8,747.4,751.8,747.4,65006.0,751.8,751.8,747.4,48874775.4,48874775.4,48874775.4,0.0,3
TQTF,2022-10-05,AKGD ETF,AKGD,489.0,23322445.38,78.53,76.95,78.98,77.98,78.85,78.0,295762.0,78.86,78.86,77.98,23322445.38,23322445.38,23322445.38,27059056.94,3
TQTF,2022-10-05,ETF AKMB,AKMB,6793.0,10204954.85,1.1676,1.1551,1.1793,1.1679,1.1695,1.169,8714356.0,1.1711,1.1711,1.1679,10204954.85,10204954.85,10204954.85,7753077.02,3
TQTF,2022-10-05,ETF AKME,AKME,228.0,6144696.58,75.6,73.9,78.9,75.76,75.22,75.98,81718.0,75.2,75.2,75.76,6144696.58,6144696.58,6144696.58,3267140.72,3
TQTF,2022-10-05,AKMM ETF,AKMM,64.0,16686663.12,101.99,101.66,102.3,101.69,101.69,101.69,164098.0,101.69,101.69,101.69,16686663.12,16686663.12,16686663.12,15813803.82,3
TQTD,2022-10-05,AKQU ETF,AKQU,1.0,84.37,84.37,84.37,84.37,84.37,84.37,84.37,1.0,4674.53,4706.04,84.37,6712631.96,4155433.81,6712631.96,19546.54,3
TQBR,2022-10-05,Акрон,AKRN,635.0,20349160.0,14530.0,14028.0,14644.0,14286.0,14270.0,14286.0,1426.0,14270.0,14270.0,14286.0,20349160.0,20349160.0,20349160.0,0.0,3
TQTF,2022-10-05,ETF AKSC,AKSC,39.0,309878.96,35.6,33.94,35.6,35.02,35.58,35.02,8710.0,,35.16,35.02,0.0,565134.36,0.0,43245.85,3
TQTF,2022-10-05,AKVG ETF,AKVG,26.0,6706.24,34.78,34.22,35.2,34.82,35.14,34.88,193.0,,32.46,34.82,0.0,809472.4,0.0,209080.41,3
SMAL,2022-10-05,АЛРОСА ао,ALRS,23.0,2012.65,64.0,60.05,68.0,,67.1,68.0,31.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-05,АЛРОСА ао,ALRS,111205.0,2557282775.9,64.64,61.65,69.9,68.36,67.1,69.1,38110800.0,66.7,66.7,68.36,2131922195.7,2131922195.7,2131922195.7,0.0,3
TQBR,2022-10-05,АшинскийМЗ,AMEZ,710.0,8027164.5,25.005,24.505,25.575,24.68,24.9,24.745,322400.0,24.9,24.9,24.68,8027164.5,8027164.5,8027164.5,0.0,3
TQTF,2022-10-05,AMRE ETF,AMRE,92.0,64892.0,65.5,62.9,65.6,65.5,64.8,65.5,1002.0,,63.6,65.5,0.0,536521.2,0.0,632980.7,3
TQTF,2022-10-05,AMRH ETF,AMRH,7.0,6250.04,100.92,100.72,100.92,100.72,100.8,100.72,62.0,,96.46,100.72,0.0,534309.58,0.0,465445.54,3
TQBR,2022-10-05,Аптеки36и6,APTK,1113.0,2209934.0,11.4,11.31,11.564,11.498,11.442,11.498,193130.0,11.442,11.442,11.498,2209934.0,2209934.0,2209934.0,0.0,3
TQBR,2022-10-05,ИНАРКТИКА,AQUA,2479.0,23383108.5,551.5,523.5,564.5,545.5,539.0,545.5,43363.0,539.0,539.0,545.5,23383108.5,23383108.5,23383108.5,0.0,3
TQBR,2022-10-05,Арсагера,ARSA,73.0,85078.0,5.09,4.9,5.33,5.08,5.09,5.08,16700.0,,5.11,5.08,0.0,500718.0,0.0,0.0,3
TQBR,2022-10-05,АстрЭнСб,ASSB,32.0,29070.0,0.709,0.677,0.7095,0.6815,0.692,0.6815,42000.0,,0.678,0.6815,0.0,500245.0,0.0,0.0,3
TQBR,2022-10-05,Авангрд-ао,AVAN,6.0,10015.0,775.0,770.0,775.0,770.0,770.0,770.0,13.0,,740.0,770.0,0.0,508235.0,0.0,0.0,3
TQBR,2022-10-05,Башнефт ао,BANE,1106.0,8689305.0,825.0,793.0,834.0,823.0,818.0,823.0,10621.0,818.0,818.0,823.0,8689305.0,8689305.0,8689305.0,0.0,3
TQBR,2022-10-05,Башнефт ап,BANEP,1935.0,23231322.5,581.5,555.0,585.5,577.5,573.0,577.5,40526.0,573.0,573.0,577.5,23231322.5,23231322.5,23231322.5,0.0,3
TQTF,2022-10-05,BCSB ETF,BCSB,113.0,90411.37,10.03,10.03,10.296,10.13,10.148,10.2,8909.0,,10.13,10.13,0.0,500804.19,0.0,349474.09,3
TQBR,2022-10-05,Белуга ао,BELU,7259.0,152663665.0,2740.0,2561.0,2799.0,2674.0,2700.0,2674.0,56542.0,2700.0,2700.0,2674.0,152663665.0,152663665.0,152663665.0,0.0,3
TQBR,2022-10-05,БашИнСв ап,BISVP,15.0,23611.0,7.01,6.83,7.01,6.98,6.94,6.98,3400.0,,6.92,6.98,0.0,500796.0,0.0,0.0,3
TQBR,2022-10-05,Белон ао,BLNG,236.0,842744.5,8.835,8.02,8.835,8.37,8.375,8.37,100600.0,8.375,8.375,8.37,842744.5,842744.5,842744.5,0.0,3
TQTF,2022-10-05,BOND ETF,BOND,25.0,133470.2,1009.0,996.0,1009.8,1009.4,1003.6,1003.8,133.0,,992.8,1009.4,0.0,501396.0,0.0,2824211.97,3
TQBR,2022-10-05,БурЗолото,BRZL,131.0,299035.0,738.0,692.0,748.0,711.0,710.0,711.0,421.0,,717.0,711.0,0.0,507730.0,0.0,0.0,3
TQBR,2022-10-05,БСП ао,BSPB,1599.0,13086253.4,80.3,76.31,80.43,78.28,78.23,78.28,167280.0,78.23,78.23,78.28,13086253.4,13086253.4,13086253.4,0.0,3
