BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2022-09-07,РЖД-19 обл,RU000A0JQ7Z2,8.0,101683.6,99.67,99.69,99.69,99.69,12.47,99.69,8.19,99.67,102.0,,99.64,99.69,0.0,10326444.2,0.0,2024-07-08,630.0,8.19,,,7.85,39.14,,2022-09-07,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-07,РЖД-23 обл,RU000A0JQRD9,42.0,2983137.9,99.36,99.62,99.62,99.62,10.32,99.57,8.18,99.55,2996.0,99.57,99.57,99.62,2983137.9,2983137.9,2983137.9,2025-01-16,796.0,8.21,,,7.85,39.14,,2022-09-07,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-07,ВЭБ.РФ 21,RU000A0JS4Z7,2.0,10299.0,102.99,102.99,102.99,102.99,2.41,102.99,4.59,102.99,10.0,,102.09,102.99,0.0,540039.6,0.0,2032-02-17,174.0,4.59,,,10.99,54.8,2023-02-28,2022-09-07,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-07,РЖД-32 обл,RU000A0JSGV0,89.0,2048233.4,101.19,101.5,101.2,101.25,16.55,101.45,8.51,101.19,2019.0,101.45,101.45,101.25,2048233.4,2048233.4,2048233.4,2032-06-25,295.0,8.19,,,9.9,49.36,2023-07-07,2022-09-07,1000.0,SUR,,,,,RUB,3
TQCB,2022-09-07,ГПБ 12,RU000A0JT6J5,2.0,124275.0,102.5,103.0,102.5,102.71,31.52,102.71,-21.29,103.0,121.0,,103.04,102.71,0.0,534772.5,0.0,2022-10-06,29.0,-23.3,,,7.52,37.5,,2022-09-07,1000.0,SUR,,,-22.9039,,RUB,3
TQCB,2022-09-07,РСХБ 17,RU000A0JT7M7,3.0,50933.9,99.85,100.89,99.85,99.85,21.29,99.87,6.99,99.85,51.0,99.84,99.84,99.85,937496.8,935488.6,937496.8,2022-10-11,34.0,6.76,,,5.25,26.18,,2022-09-07,1000.0,SUR,,,6.5785,,RUB,3
TQCB,2022-09-07,РСХБ 18,RU000A0JT874,6.0,51968.2,99.9,100.9,99.91,99.9,24.2,99.94,7.04,100.9,52.0,,99.67,99.9,0.0,33995151.4,0.0,2022-10-13,36.0,6.71,,,6.05,30.17,,2022-09-07,1000.0,SUR,,,6.6373,,RUB,3
TQCB,2022-09-07,Роснефть04,RU000A0JT940,13.0,39005.1,99.98,100.07,100.06,100.06,30.73,100.01,7.34,99.98,39.0,,99.98,100.06,0.0,695868.8,0.0,2022-10-17,40.0,7.83,,,7.9,39.39,,2022-09-07,1000.0,SUR,,,6.9352,,RUB,3
TQCB,2022-09-07,Роснефть05,RU000A0JT965,27.0,84972.1,99.9,99.99,99.99,99.99,30.73,99.97,8.03,99.99,85.0,,99.92,99.99,0.0,602530.7,0.0,2022-10-17,40.0,8.22,,,7.9,39.39,,2022-09-07,1000.0,SUR,,,7.5595,,RUB,3
TQCB,2022-09-07,МЕТАЛИНВ 2,RU000A0JTLJ3,2.0,2000.0,100.0,100.0,100.0,100.0,8.38,100.0,7.76,100.0,2.0,,98.31,100.0,0.0,63665576.1,0.0,2023-01-27,142.0,7.76,,,7.65,38.15,,2022-09-07,1000.0,SUR,,,7.5335,,RUB,3
