BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-08-11,AMDRUB_TOM,AMDRUB_TOM,16.2075,16.14,16.27,16.2,37.0,470987.5,16.1851
CNGD,2022-08-11,BYN_TODTOM,BYNRUBTODTOM,0.013,0.013,0.013,0.013,1.0,47686.2,
CETS,2022-08-11,BYNRUB_TOM,BYNRUB_TOM,23.6875,23.53,23.8975,23.8,359.0,74093082.5,23.6719
CETS,2022-08-11,CNYRUB_TOD,CNY000000TOD,9.088,8.99,9.088,9.0,1757.0,3481131711.0,9.0116
CETS,2022-08-11,CNY_TODTOM,CNYRUBTODTOM,0.00191,0.001906,0.001995,0.001966,380.0,128561415671.5,0.00195
CNGD,2022-08-11,CNY_TODTOM,CNYRUBTODTOM,4.7e-05,-0.0038,0.0049,0.003972,2540.0,13497791312.5,
CETS,2022-08-11,CNYRUB_TOM,CNYRUB_TOM,9.07,8.988,9.076,9.026,35268.0,57093720687.0,9.0124
CNGD,2022-08-11,CNYRUB_TOM,CNYRUB_TOM,9.05,8.989,9.07,9.028,6973.0,118876799.05,
CETS,2022-08-11,CNY_TOM1W,CNYRUB_TOM1W,0.0139,0.0139,0.014,0.014,2.0,36299912000.0,0.013925
CETS,2022-08-11,CNY_TOM2W,CNYRUB_TOM2W,0.0283,0.0283,0.0283,0.0283,1.0,18178706000.0,0.0283
CETS,2022-08-11,EUR_TODTOM,EUR000TODTOM,0.011,-0.0629,0.0156,0.0071,886.0,65867723160.0,-0.0015
CNGD,2022-08-11,EUR_TODTOM,EUR000TODTOM,0.011,-0.0172,0.0908,0.0118,722.0,11134527967.1,
CETS,2022-08-11,EURRUB_TMS,EURRUB_TMS,62.7,62.25,63.0,62.7925,1221.0,19730019.82,62.6134
CNGD,2022-08-11,EURRUB_TMS,EURRUB_TMS,62.3,62.3,62.45,62.45,3.0,157.89,
CETS,2022-08-11,EURUSD_TOD,EURUSD000TOD,1.0343,1.02924,1.03527,1.03018,187.0,557510053.07,1.0312
CNGD,2022-08-11,EURUSD_TOD,EURUSD000TOD,1.03404,1.01357,1.0403,1.03,1170.0,12134019.41,
CETS,2022-08-11,EURUSD_TOM,EURUSD000TOM,1.032,1.02895,1.03869,1.0333,5444.0,24908014043.32,1.03187
CNGD,2022-08-11,EURUSD_TOM,EURUSD000TOM,1.03404,1.01357,1.0403,1.03,1174.0,2511552464.21,
CETS,2022-08-11,EURUSDTDTM,EURUSDTODTOM,-1.5e-05,-0.00025,-1e-05,-0.0001,46.0,25635140696.83,-7.2e-05
CNGD,2022-08-11,EURUSDTDTM,EURUSDTODTOM,0.000454,-0.000284,0.000454,0.000454,13.0,3302518.03,
CETS,2022-08-11,EURRUB_TOD,EUR_RUB__TOD,62.8,62.22,62.805,62.4125,9182.0,28658727135.0,62.5222
CNGD,2022-08-11,EURRUB_TOD,EUR_RUB__TOD,62.6099,61.3701,63.0821,62.43,6812.0,107829308.91,
CETS,2022-08-11,EURRUB_TOM,EUR_RUB__TOM,62.7025,62.33,63.0525,62.6125,19292.0,58718620207.5,62.5593
CNGD,2022-08-11,EURRUB_TOM,EUR_RUB__TOM,62.62,61.3701,63.0821,62.6832,10949.0,28304096183.52,
CNGD,2022-08-11,GBP_TODTOM,GBPRUBTODTOM,-0.0401,-0.0401,0.0328,0.0323,39.0,9174184.8,
CETS,2022-08-11,GBPRUB_TOD,GBPRUB_TOD,73.25,73.0,73.6,73.6,5.0,1756005.0,73.1669
CNGD,2022-08-11,GBPRUB_TOD,GBPRUB_TOD,74.98,73.6,75.7298,74.336,609.0,6516135.71,
CETS,2022-08-11,GBPRUB_TOM,GBPRUB_TOM,74.39,73.2425,75.7975,73.5,214.0,134206720.0,74.0247
