BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-07-20,АбрауДюрсо,ABRD,220.0,2224045.0,174.5,173.0,175.0,174.0,174.0,174.0,12800.0,174.0,174.0,174.0,2224045.0,2224045.0,2224045.0,0.0,3
SMAL,2022-07-20,Система ао,AFKS,1.0,13.12,13.12,13.12,13.12,,13.263,13.12,1.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-07-20,Система ао,AFKS,7478.0,166192596.3,13.37,13.1,13.5,13.197,13.263,13.197,12530800.0,13.263,13.263,13.197,166192596.3,166192596.3,166192596.3,0.0,3
SMAL,2022-07-20,Аэрофлот,AFLT,2.0,53.34,26.82,26.52,26.82,,26.72,26.52,2.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-07-20,Аэрофлот,AFLT,5205.0,69157695.6,26.7,26.56,26.96,26.6,26.72,26.6,2588300.0,26.72,26.72,26.6,69157695.6,69157695.6,69157695.6,0.0,3
TQBR,2022-07-20,AGRO-гдр,AGRO,1801.0,17217202.8,770.0,762.0,779.0,766.0,768.8,766.0,22392.0,768.8,768.8,766.0,17217202.8,17217202.8,17217202.8,0.0,3
TQTF,2022-07-20,AKGD ETF,AKGD,249.0,2304638.13,74.42,71.17,74.43,72.22,72.27,72.34,31885.0,72.28,72.28,72.22,2304638.13,2304638.13,2304638.13,8494526.31,3
TQTF,2022-07-20,ETF AKMB,AKMB,4720.0,7508539.57,1.1575,1.1456,1.1639,1.1538,1.1571,1.1513,6488573.0,1.1572,1.1572,1.1538,7508539.57,7508539.57,7508539.57,6843844.7,3
TQTF,2022-07-20,ETF AKME,AKME,170.0,122233.8,76.76,76.36,77.32,76.44,77.88,76.44,1589.0,,77.3,76.44,0.0,501530.12,0.0,3055244.76,3
TQTF,2022-07-20,AKMM ETF,AKMM,44.0,305316.4,100.16,100.14,140.15,100.19,100.17,100.19,3048.0,,100.16,100.19,0.0,1121720.56,0.0,15047827.25,3
TQTD,2022-07-20,AKQU ETF,AKQU,1.0,5108.22,86.58,86.58,86.58,86.58,86.58,86.58,59.0,5206.53,4856.92,86.58,8705311.51,1563929.11,8705311.51,37102.6,3
TQBR,2022-07-20,Акрон,AKRN,864.0,26042684.0,17100.0,16712.0,17196.0,16748.0,16846.0,16748.0,1546.0,16846.0,16846.0,16748.0,26042684.0,26042684.0,26042684.0,0.0,3
