BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-10-14,ПавлАвт ао,PAZA,2.0,9900.0,4980.0,4920.0,4980.0,4920.0,4960.0,4920.0,2.0,,4860.0,4920.0,0.0,500540.0,0.0,0.0,3
TQBR,2022-10-14,ФосАгро ао,PHOR,8160.0,225133676.0,5758.0,5718.0,5781.0,5731.0,5744.0,5755.0,39187.0,5746.0,5746.0,5731.0,197564103.0,197564103.0,197564103.0,0.0,3
TQBR,2022-10-14,ПИК ао,PIKK,30531.0,663888549.6,619.8,602.6,639.4,617.8,618.7,612.5,1073059.0,619.1,619.1,617.8,613753392.2,613753392.2,613753392.2,0.0,3
TQBR,2022-10-14,Полюс,PLZL,23253.0,1010136127.0,5260.0,5071.0,5260.0,5104.0,5134.0,5119.0,196747.0,5134.5,5134.5,5104.0,933912697.5,933912697.5,933912697.5,0.0,3
TQBR,2022-10-14,ПермьЭнСб,PMSB,115.0,476945.0,100.6,99.7,101.6,101.1,100.2,101.1,4760.0,,100.2,101.1,0.0,520135.0,0.0,0.0,3
TQBR,2022-10-14,ПермьЭнС-п,PMSBP,80.0,247716.0,107.6,106.8,107.8,107.8,107.2,107.8,2310.0,,107.2,107.8,0.0,500392.0,0.0,0.0,3
TQBR,2022-10-14,Polymetal,POLY,12977.0,172017439.1,254.3,249.3,257.2,251.2,251.6,252.2,683567.0,251.6,251.6,251.2,147024600.9,147024600.9,147024600.9,0.0,3
TQBR,2022-10-14,iПозитив,POSI,3150.0,36460629.2,1057.8,1029.2,1064.8,1049.0,1043.6,1049.0,34940.0,1043.6,1043.6,1049.0,36460629.2,36460629.2,36460629.2,0.0,3
TQPI,2022-10-14,ЧЗПСН ао,PRFN,3885.0,22797498.7,1.901,1.885,2.188,1.934,2.019,1.934,11293400.0,2.019,2.019,1.934,22797498.7,22797498.7,22797498.7,0.0,3
TQBR,2022-10-14,Приморье,PRMB,3.0,99600.0,33600.0,33000.0,33600.0,33000.0,33200.0,33000.0,3.0,33000.0,33200.0,33000.0,628800.0,529600.0,628800.0,0.0,3
TQBR,2022-10-14,iQIWI,QIWI,583.0,5455165.0,321.0,318.5,324.5,320.0,320.5,319.0,17021.0,320.5,320.5,320.0,5206020.5,5206020.5,5206020.5,0.0,3
TQBR,2022-10-14,Распадская,RASP,4379.0,124218851.0,206.5,204.6,212.15,211.0,208.95,211.0,594490.0,208.95,208.95,211.0,124218851.0,124218851.0,124218851.0,0.0,3
TQBR,2022-10-14,ГК РБК ао,RBCM,150.0,164005.8,2.404,2.372,2.46,2.394,2.398,2.394,68400.0,,2.394,2.394,0.0,500155.0,0.0,0.0,3
TQTF,2022-10-14,RCGL ETF,RCGL,10.0,22630.61,1049.25,1005.01,1049.25,1035.88,1028.66,1035.88,22.0,,1040.46,1035.88,0.0,504623.37,0.0,520997.39,3
TQTF,2022-10-14,RCHY ETF,RCHY,32.0,815829.3,108.2,107.4,108.25,108.25,107.85,108.25,7565.0,107.85,107.85,108.25,815829.3,815829.3,815829.3,744869.95,3
TQTF,2022-10-14,RCMM ETF,RCMM,41.0,4699400.77,111.28,111.28,111.3312,111.3311,111.3312,111.3311,42211.0,111.3312,111.3312,111.3311,4699400.77,4699400.77,4699400.77,2959502.57,3
TQTF,2022-10-14,RCMX ETF,RCMX,40.0,378221.0,803.2,785.0,809.6,801.0,799.6,801.0,473.0,,802.4,801.0,0.0,531212.0,0.0,1949437.28,3
TQTD,2022-10-14,RCUS ETF,RCUS,3.0,161.26,1.154,1.13,1.157,1.101,1.106,1.13,140.0,,70.4,1.101,0.0,500064.04,0.0,8949.61,3
TQTF,2022-10-14,RCUS ETF,RCUS,43.0,292255.06,71.58,68.42,71.64,69.92,70.24,69.8,4166.0,,70.4,69.92,0.0,500064.04,0.0,568226.26,3
TQBR,2022-10-14,РДБанк ао,RDRB,99.0,577680.0,138.0,136.0,142.0,138.0,138.0,138.0,4200.0,138.0,138.0,138.0,577680.0,577680.0,577680.0,0.0,3
TQBR,2022-10-14,Ренессанс,RENI,333.0,1661853.4,48.59,47.0,48.59,47.45,47.39,47.45,35070.0,47.39,47.39,47.45,1661853.4,1661853.4,1661853.4,0.0,3
TQBR,2022-10-14,РГС СК ао,RGSS,302.0,586163.8,0.1408,0.1372,0.1438,0.141,0.14,0.1424,4184000.0,0.14,0.14,0.141,586163.8,586163.8,586163.8,0.0,3
TQBR,2022-10-14,ЭнергияРКК,RKKE,87.0,656880.0,5720.0,5700.0,5980.0,5740.0,5810.0,5740.0,113.0,5810.0,5810.0,5740.0,656880.0,656880.0,656880.0,0.0,3
TQBR,2022-10-14,РуссНфт ао,RNFT,10464.0,106616454.6,76.4,76.2,82.6,78.2,79.0,78.2,1349426.0,79.0,79.0,78.2,106616454.6,106616454.6,106616454.6,0.0,3
TQBR,2022-10-14,Русолово,ROLO,644.0,3368862.0,5.76,5.76,6.17,5.925,5.99,5.925,562300.0,5.99,5.99,5.925,3368862.0,3368862.0,3368862.0,0.0,3
TQBR,2022-10-14,Росбанк ао,ROSB,7.0,11616.0,95.0,95.0,97.6,97.0,96.8,97.0,120.0,,96.0,97.0,0.0,544572.0,0.0,0.0,3
TQBR,2022-10-14,Роснефть,ROSN,58059.0,1708454343.65,300.0,292.25,302.8,295.5,296.95,299.55,5752922.0,296.95,296.95,295.5,1556796002.55,1556796002.55,1556796002.55,0.0,3
TQBR,2022-10-14,РОСИНТЕРао,ROST,381.0,1363866.0,43.0,42.6,47.2,43.6,44.2,43.6,30910.0,44.2,44.2,43.6,1363866.0,1363866.0,1363866.0,0.0,3
TQTF,2022-10-14,RQIE ETF,RQIE,8.0,13486809.19,506.41,505.4,522.77,521.38,505.6,521.34,26675.0,510.49,506.22,521.38,22926702.99,14926506.07,22926702.99,8206497.59,3
TQTF,2022-10-14,RQIU ETF,RQIU,11.0,19136712.0,494.0,473.5,494.5,473.5,473.5,473.5,40415.0,473.5,473.5,473.5,19136712.0,19136712.0,19136712.0,6024401.96,3
SMAL,2022-10-14,Россети ао,RSTI,12.0,401.64,0.5924,0.4549,0.5924,,0.5256,0.4549,870.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,Россети ао,RSTI,2812.0,28187289.4,0.53,0.5201,0.5354,0.5225,0.5256,0.5236,53626000.0,0.5262,0.5262,0.5225,23832311.3,23832311.3,23832311.3,0.0,3
SMAL,2022-10-14,Россети ап,RSTIP,11.0,512.56,1.192,1.192,1.192,,1.072,1.192,430.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,Россети ап,RSTIP,164.0,1140624.0,1.078,1.061,1.089,1.071,1.072,1.071,1064000.0,1.072,1.072,1.071,1140624.0,1140624.0,1140624.0,0.0,3
TQBR,2022-10-14,ГазпРнД ао,RTGZ,5.0,114800.0,23100.0,22700.0,23100.0,22700.0,23000.0,22700.0,5.0,,21500.0,22700.0,0.0,514900.0,0.0,0.0,3
SMAL,2022-10-14,Ростел -ао,RTKM,1.0,416.4,52.05,52.05,52.05,,55.52,52.05,8.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-14,Ростел -ао,RTKM,2985.0,24541251.3,56.0,55.1,56.16,55.67,55.52,55.96,442000.0,55.51,55.51,55.67,16585490.8,16585490.8,16585490.8,0.0,3
TQBR,2022-10-14,Ростел -ап,RTKMP,1197.0,10041611.5,56.05,54.05,56.2,55.1,55.05,55.1,182450.0,55.05,55.05,55.1,10041611.5,10041611.5,10041611.5,0.0,3
TQBR,2022-10-14,ТНСэнРст,RTSB,12.0,7346.0,0.522,0.518,0.532,0.52,0.524,0.52,14000.0,,0.508,0.52,0.0,502110.0,0.0,0.0,3
TQBR,2022-10-14,ТНСэнРст-п,RTSBP,14.0,20510.0,0.506,0.492,0.506,0.5,0.5,0.5,41000.0,,0.494,0.5,0.0,500625.0,0.0,0.0,3
TQIF,2022-10-14,ФондПервый,RU0005418747,16.0,4184.0,134.0,129.0,134.0,131.0,131.0,131.0,32.0,,117.5,131.0,0.0,899915.5,0.0,241382.03,3
TQIF,2022-10-14,ФондКонс,RU0006922010,24.0,5659.8,70.0,69.4,70.0,70.0,69.9,70.0,81.0,,68.5,70.0,0.0,663147.7,0.0,41336.5,3
TQIF,2022-10-14,ФондПроф,RU0006922044,9.0,23367.8,120.4,119.8,120.6,120.2,119.8,120.2,195.0,124.6,124.8,120.2,1036412.4,989849.8,1036412.4,215134.2,3
TQIF,2022-10-14,АкцииРоста,RU0006922051,17.0,22338.0,227.0,227.0,233.0,230.0,230.0,230.0,97.0,,225.0,230.0,0.0,659763.0,0.0,164498.44,3
TQIF,2022-10-14,ПИФСбер-КН,RU000A0ERGA7,5.0,13620.0,194.0,194.0,195.0,195.0,195.0,195.0,70.0,,173.0,195.0,0.0,5325660.0,0.0,1484521.36,3
TQIF,2022-10-14,БКСПерспек,RU000A0HF0L2,340.0,5006491.8,301.8,291.2,307.6,294.0,294.0,294.0,17027.0,294.0,294.0,294.0,5006491.8,5006491.8,5006491.8,2804124.27,3
