BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-08-18,AMDRUB_TOM,AMDRUB_TOM,16.695,16.0,16.695,16.4675,66.0,705089.75,16.209
CNGD,2022-08-18,BYN_TODTOM,BYNRUBTODTOM,0.0129,0.0129,0.0129,0.0129,2.0,25374.72,
CETS,2022-08-18,BYNRUB_TOD,BYNRUB_TOD,23.7175,23.7175,23.7175,23.7175,1.0,118587.5,23.7175
CETS,2022-08-18,BYNRUB_TOM,BYNRUB_TOM,23.7,23.3975,23.8,23.8,489.0,129306270.0,23.5402
CETS,2022-08-18,CNYRUB_TOD,CNY000000TOD,8.9,8.865,8.925,8.92,1588.0,3357691951.0,8.9087
CETS,2022-08-18,CNY_TODTOM,CNYRUBTODTOM,0.002008,0.001991,0.002044,0.002017,446.0,156538764897.3,0.002032
CNGD,2022-08-18,CNY_TODTOM,CNYRUBTODTOM,2.5e-05,-0.0038,0.0048,0.003896,2660.0,8511678857.68,
CETS,2022-08-18,CNYRUB_TOM,CNYRUB_TOM,8.91,8.68,8.926,8.756,52684.0,70818192089.0,8.8135
CNGD,2022-08-18,CNYRUB_TOM,CNYRUB_TOM,8.9078,8.68,8.9521,8.773,12416.0,35572911174.5,
CETS,2022-08-18,CNY_TOM1W,CNYRUB_TOM1W,0.0143,0.0143,0.0143,0.0143,1.0,8012272500.0,0.0143
CNGD,2022-08-18,CNY_TOM1W,CNYRUB_TOM1W,0.0141,0.0141,0.0141,0.0141,1.0,3560930000.0,
CETS,2022-08-18,EUR_TODTOM,EUR000TODTOM,0.0137,0.0121,0.0225,0.0155,1152.0,41974328380.0,0.0138
CNGD,2022-08-18,EUR_TODTOM,EUR000TODTOM,0.0,-0.0168,0.0931,0.0133,698.0,11120304631.09,
CETS,2022-08-18,EURRUB_TMS,EURRUB_TMS,61.525,59.7,62.0975,60.3825,1593.0,19418813.54,60.7243
CETS,2022-08-18,EURUSD_TOD,EURUSD000TOD,1.01433,1.01142,1.0184,1.01415,237.0,696593827.16,1.01394
CNGD,2022-08-18,EURUSD_TOD,EURUSD000TOD,1.02192,1.00169,1.02192,1.02192,936.0,8724930.33,
CETS,2022-08-18,EURUSD_TOM,EURUSD000TOM,1.0145,1.00985,1.01887,1.00985,7492.0,27932557697.48,1.01333
CNGD,2022-08-18,EURUSD_TOM,EURUSD000TOM,1.02192,1.00169,1.02192,1.0165,972.0,4641170325.85,
CETS,2022-08-18,EURUSDTDTM,EURUSDTODTOM,7e-06,0.0,0.000144,0.000144,71.0,42774515522.81,1.8e-05
CNGD,2022-08-18,EURUSDTDTM,EURUSDTODTOM,0.000445,-0.000278,0.000445,0.000122,54.0,1783428094.63,
CETS,2022-08-18,EURRUB_TOD,EUR_RUB__TOD,61.56,59.7925,61.915,59.8675,11590.0,27462329125.0,60.7091
CNGD,2022-08-18,EURRUB_TOD,EUR_RUB__TOD,61.7843,60.5608,61.8,61.251,6182.0,165280888.73,
CETS,2022-08-18,EURRUB_TOM,EUR_RUB__TOM,61.61,59.595,61.955,60.18,28797.0,74647760310.0,60.7769
CNGD,2022-08-18,EURRUB_TOM,EUR_RUB__TOM,61.6,59.6,61.8925,60.145,11451.0,1181589786.43,
CNGD,2022-08-18,GBP_TODTOM,GBPRUBTODTOM,-0.0402,-0.0402,0.0331,0.0326,47.0,14767843.42,
CNGD,2022-08-18,GBPRUB_TOD,GBPRUB_TOD,75.5,75.5,76.255,76.255,577.0,4720249.5,
CETS,2022-08-18,GBPRUB_TOM,GBPRUB_TOM,73.5625,72.3925,81.9975,73.8375,153.0,58514265.0,73.9751
CNGD,2022-08-18,GBPRUB_TOM,GBPRUB_TOM,71.83,71.83,76.9975,73.84,940.0,7484380.75,
CETS,2022-08-18,GLD_TODTOM,GLDRUBTODTOM,0.468,0.4679,0.468,0.4679,2.0,116161008.4,0.4679
CNGD,2022-08-18,GLD_TODTOM,GLDRUBTODTOM,0.7487,-0.4212,1.4974,1.4974,70.0,15937420.83,
CETS,2022-08-18,GLDRUB_TOM,GLDRUB_TOM,3419.98,3329.56,3419.99,3338.7,5087.0,197062923.92,3371.82
CNGD,2022-08-18,HKD_TODTOM,HKDRUBTODTOM,1e-06,-0.002101,0.0043,0.002901,675.0,566126978.61,
CETS,2022-08-18,HKDRUB_TOD,HKDRUB_TOD,7.79,7.79,7.9,7.9,2.0,39170.0,7.834
CETS,2022-08-18,HKDRUB_TOM,HKDRUB_TOM,7.8776,7.6487,7.92,7.7307,2703.0,422988131.8,7.7499
CNGD,2022-08-18,HKDRUB_TOM,HKDRUB_TOM,7.8781,7.6296,7.92,7.7387,6869.0,68986270.63,
CNGD,2022-08-18,KZT_TODTOM,KZTRUBTODTOM,0.0057,0.0057,0.0057,0.0057,1.0,5098.48,
CETS,2022-08-18,KZTRUB_TOM,KZTRUB_TOM,12.82,12.45,12.82,12.595,872.0,528371090.75,12.707
CNGD,2022-08-18,KZTRUB_TOM,KZTRUB_TOM,12.45,12.45,12.45,12.45,1.0,53535000.0,
CNGD,2022-08-18,SLV_TODTOM,SLVRUBTODTOM,0.0204,0.0204,0.0204,0.0204,1.0,9291.62,
CETS,2022-08-18,SLVRUB_TOM,SLVRUB_TOM,46.21,45.82,47.0,46.6,836.0,12711512.0,46.32
CNGD,2022-08-18,TRY_TODTOM,TRYRUBTODTOM,0.00149,0.0012,0.0019,0.001463,139.0,53753001.32,
CETS,2022-08-18,TRYRUB_TOM,TRYRUB_TOM,3.4153,3.275,3.4153,3.3188,640.0,54386574.0,3.3566
CNGD,2022-08-18,TRYRUB_TOM,TRYRUB_TOM,3.4236,3.2761,3.4236,3.3188,1527.0,4393851.39,
CETS,2022-08-18,USDRUB_TOD,USD000000TOD,60.9,58.8975,60.9,59.3525,13188.0,44654031530.0,59.9249
CNGD,2022-08-18,USDRUB_TOD,USD000000TOD,60.7844,58.514,60.7844,59.22,71740.0,4077843508.27,
CETS,2022-08-18,USD_TODTOM,USD000TODTOM,0.008,0.002,0.0136,0.0043,1054.0,193584273900.0,0.013
CNGD,2022-08-18,USD_TODTOM,USD000TODTOM,0.0,-0.0249,0.0677,0.0265,21544.0,29133241052.05,
CETS,2022-08-18,USDRUB_TOM,USD000UTSTOM,60.5,58.8975,60.82,59.5325,36828.0,81604785705.0,59.7825
CNGD,2022-08-18,USDRUB_TOM,USD000UTSTOM,60.6525,58.514,60.83,59.6125,123081.0,8694313337.41,
CNGD,2022-08-18,USDCNYTDTM,USDCNYTODTOM,-0.001867,-0.001867,0.000933,0.000933,39.0,2446777.64,
CETS,2022-08-18,USDCNY_TOD,USDCNY_TOD,6.80782,6.80005,6.82999,6.81688,18.0,15260439.38,6.81955
CETS,2022-08-18,USDCNY_TOM,USDCNY_TOM,6.8001,6.7513,6.8222,6.79399,6665.0,33063562190.26,6.79673
