BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-10-11,АбрауДюрсо,ABRD,346.0,5134495.0,166.0,166.0,172.0,171.0,170.5,171.0,30130.0,170.5,170.5,171.0,5134495.0,5134495.0,5134495.0,0.0,3
SMAL,2022-10-11,Система ао,AFKS,4.0,65.07,10.717,10.717,11.475,,10.661,11.475,6.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-11,Система ао,AFKS,11318.0,190797202.8,10.6,10.456,10.899,10.782,10.661,10.696,17896600.0,10.643,10.643,10.782,161392978.9,161392978.9,161392978.9,0.0,3
SMAL,2022-10-11,Аэрофлот,AFLT,6.0,168.16,23.46,23.46,24.74,,23.34,24.74,7.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-11,Аэрофлот,AFLT,7384.0,67462772.4,23.48,23.02,23.54,23.38,23.34,23.46,2889720.0,23.34,23.34,23.38,57198336.8,57198336.8,57198336.8,0.0,3
TQBR,2022-10-11,AGRO-гдр,AGRO,3123.0,34154101.2,794.2,776.8,809.6,799.6,799.4,799.6,42727.0,799.4,799.4,799.6,34154101.2,34154101.2,34154101.2,0.0,3
TQTF,2022-10-11,AKGD ETF,AKGD,587.0,1862327.91,78.21,77.13,80.5,79.61,79.68,79.6,23377.0,79.66,79.66,79.61,1862327.91,1862327.91,1862327.91,27169164.42,3
TQTF,2022-10-11,ETF AKMB,AKMB,8086.0,4926793.91,1.1717,1.1702,1.1834,1.175,1.1637,1.1748,4192677.0,1.1751,1.1751,1.175,4926793.91,4926793.91,4926793.91,8020556.8,3
TQTF,2022-10-11,ETF AKME,AKME,212.0,250313.36,76.5,75.5,78.48,76.02,76.72,76.02,3293.0,,76.02,76.02,0.0,504391.64,0.0,3181887.36,3
TQTF,2022-10-11,AKMM ETF,AKMM,101.0,29014392.17,101.96,101.81,103.05,101.84,101.85,101.82,284887.0,101.85,101.85,101.84,29014392.17,29014392.17,29014392.17,17020656.7,3
TQBR,2022-10-11,Акрон,AKRN,484.0,17962220.0,14056.0,14018.0,14368.0,14244.0,14222.0,14244.0,1263.0,14222.0,14222.0,14244.0,17962220.0,17962220.0,17962220.0,0.0,3
TQTF,2022-10-11,ETF AKSC,AKSC,18.0,1774.94,34.2,34.16,35.86,34.8,35.0,34.88,51.0,,34.18,34.8,0.0,501547.17,0.0,171911.13,3
TQTF,2022-10-11,AKVG ETF,AKVG,14.0,9683.6,35.68,34.24,35.7,34.54,34.78,34.48,281.0,,32.56,34.54,0.0,842436.46,0.0,207114.19,3
SMAL,2022-10-11,АЛРОСА ао,ALRS,4.0,333.1,66.0,66.0,67.0,,66.4,66.8,5.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-11,АЛРОСА ао,ALRS,42813.0,923785509.4,65.65,64.95,69.0,66.91,66.4,67.88,13906590.0,65.97,65.97,66.91,691787695.3,691787695.3,691787695.3,0.0,3
TQBR,2022-10-11,АшинскийМЗ,AMEZ,431.0,5329687.0,24.3,23.955,24.8,24.42,24.435,24.42,218100.0,24.435,24.435,24.42,5329687.0,5329687.0,5329687.0,0.0,3
TQTF,2022-10-11,AMRE ETF,AMRE,79.0,69136.3,66.1,59.8,67.1,65.0,65.2,65.0,1061.0,,64.7,65.0,0.0,528708.3,0.0,590038.62,3
TQTF,2022-10-11,AMRH ETF,AMRH,6.0,1313.5,99.54,99.54,101.5,101.48,101.04,101.48,13.0,,96.56,101.48,0.0,550804.38,0.0,447504.47,3
SMAL,2022-10-11,Аптеки36и6,APTK,1.0,10.3,10.302,10.302,10.302,,11.52,10.302,1.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-11,Аптеки36и6,APTK,797.0,981291.0,11.414,11.312,11.638,11.46,11.52,11.46,85180.0,11.52,11.52,11.46,981291.0,981291.0,981291.0,0.0,3
TQBR,2022-10-11,ИНАРКТИКА,AQUA,2142.0,31318638.5,527.0,523.5,545.0,540.5,539.5,540.5,58077.0,539.5,539.5,540.5,31318638.5,31318638.5,31318638.5,0.0,3
TQBR,2022-10-11,Арсагера,ARSA,54.0,134848.0,4.99,4.99,5.28,5.07,5.11,5.07,26400.0,,5.05,5.07,0.0,501968.0,0.0,0.0,3
TQBR,2022-10-11,АстрЭнСб,ASSB,38.0,81454.5,0.703,0.6735,0.71,0.6855,0.696,0.681,117000.0,,0.682,0.6855,0.0,501899.5,0.0,0.0,3
TQBR,2022-10-11,Авангрд-ао,AVAN,13.0,13160.0,785.0,770.0,785.0,770.0,775.0,770.0,17.0,,745.0,770.0,0.0,504580.0,0.0,0.0,3
TQBR,2022-10-11,Башнефт ао,BANE,1130.0,15574337.5,796.0,792.5,838.0,818.0,810.5,818.0,19210.0,810.5,810.5,818.0,15574337.5,15574337.5,15574337.5,0.0,3
TQBR,2022-10-11,Башнефт ап,BANEP,1158.0,18496063.0,582.5,573.0,585.0,583.0,578.0,583.0,31993.0,578.0,578.0,583.0,18496063.0,18496063.0,18496063.0,0.0,3
TQTF,2022-10-11,BCSB ETF,BCSB,159.0,562959.51,10.356,10.246,10.392,10.38,10.378,10.39,54244.0,10.378,10.378,10.38,558096.54,558096.54,558096.54,340155.23,3
TQBR,2022-10-11,Белуга ао,BELU,5213.0,144189248.0,2727.0,2720.0,2770.0,2765.0,2750.0,2765.0,52426.0,2750.0,2750.0,2765.0,144189248.0,144189248.0,144189248.0,0.0,3
TQBR,2022-10-11,БашИнСв ап,BISVP,15.0,33346.0,7.18,7.01,7.18,7.1,7.09,7.1,4700.0,,6.98,7.1,0.0,502698.0,0.0,0.0,3
TQBR,2022-10-11,Белон ао,BLNG,190.0,1106548.0,8.12,8.12,8.5,8.385,8.325,8.385,132900.0,8.325,8.325,8.385,1106548.0,1106548.0,1106548.0,0.0,3
TQTF,2022-10-11,BOND ETF,BOND,30.0,2247532.4,1008.6,1008.4,1010.2,1010.2,1010.2,1009.2,2225.0,1010.2,1010.2,1010.2,2240468.0,2240468.0,2240468.0,2569266.21,3
TQBR,2022-10-11,БурЗолото,BRZL,54.0,110141.0,698.0,672.0,700.0,700.0,688.0,700.0,160.0,,690.0,700.0,0.0,502003.0,0.0,0.0,3
SMAL,2022-10-11,БСП ао,BSPB,2.0,157.5,78.8,78.7,78.8,,78.27,78.7,2.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-11,БСП ао,BSPB,1519.0,12521645.7,76.3,76.06,80.0,78.39,78.27,78.39,159990.0,78.27,78.27,78.39,12521645.7,12521645.7,12521645.7,0.0,3
TQBR,2022-10-11,БСП ап,BSPBP,42.0,118940.0,13.2,12.85,13.2,13.1,13.05,13.15,9100.0,,13.15,13.1,0.0,505580.0,0.0,0.0,3
TQBR,2022-10-11,МКБ ао,CBOM,8787.0,306135998.5,5.83,5.75,5.896,5.884,5.842,5.865,52403500.0,5.842,5.842,5.884,303154466.1,303154466.1,303154466.1,0.0,3
TQBR,2022-10-11,РН-ЗапСиб,CHGZ,142.0,351346.0,32.4,31.4,33.4,33.0,32.6,33.0,10780.0,,32.4,33.0,0.0,501778.0,0.0,0.0,3
TQBR,2022-10-11,ЧКПЗ ао,CHKZ,4.0,23820.0,5940.0,5940.0,5960.0,5960.0,5960.0,5960.0,4.0,,5820.0,5960.0,0.0,501300.0,0.0,0.0,3
TQBR,2022-10-11,СевСт-ао,CHMF,29710.0,528462421.0,593.0,582.8,606.0,598.6,593.0,600.6,891184.0,592.0,592.0,598.6,471677816.2,471677816.2,471677816.2,0.0,3
TQBR,2022-10-11,ЧМК ао,CHMK,73.0,559270.0,3030.0,3030.0,3155.0,3155.0,3125.0,3155.0,179.0,3125.0,3125.0,3155.0,559270.0,559270.0,559270.0,0.0,3
TQBR,2022-10-11,CIAN-адр,CIAN,2717.0,19806403.0,397.8,379.0,408.8,393.6,395.4,392.8,50103.0,395.4,395.4,393.6,17374269.0,17374269.0,17374269.0,0.0,3
TQBR,2022-10-11,Телеграф,CNTL,82.0,294438.0,9.14,8.94,9.3,9.1,9.12,9.1,32300.0,,9.06,9.1,0.0,505124.0,0.0,0.0,3
SMAL,2022-10-11,Телеграф-п,CNTLP,1.0,49.12,6.14,6.14,6.14,,5.88,6.14,8.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-11,Телеграф-п,CNTLP,468.0,2056074.0,5.82,5.74,6.16,5.86,5.88,5.86,349100.0,5.88,5.88,5.86,2056074.0,2056074.0,2056074.0,0.0,3
TQPI,2022-10-11,ДагСб ао,DASB,804.0,3032338.2,0.1198,0.1138,0.1205,0.1204,0.1187,0.1204,25550000.0,0.1187,0.1187,0.1204,3032338.2,3032338.2,3032338.2,0.0,3
TQBR,2022-10-11,ЗаводДИОД,DIOD,34.0,58926.0,7.02,6.93,7.05,7.04,7.02,7.04,8400.0,,6.96,7.04,0.0,510501.0,0.0,0.0,3
TQTF,2022-10-11,ETF DIVD,DIVD,102.0,454250.6,644.4,644.4,679.8,675.6,671.0,679.4,677.0,,668.8,675.6,0.0,502214.8,0.0,1045386.68,3
TQBR,2022-10-11,ДетскийМир,DSKY,7252.0,72618594.0,69.62,68.38,71.7,70.94,70.6,70.6,1028630.0,70.6,70.6,70.94,55744013.2,55744013.2,55744013.2,0.0,3
TQBR,2022-10-11,ДЭК ао,DVEC,107.0,510355.0,0.798,0.793,0.818,0.812,0.804,0.811,635000.0,0.804,0.804,0.812,510355.0,510355.0,510355.0,0.0,3
TQBR,2022-10-11,ДонскЗР,DZRD,11.0,18145.0,1615.0,1615.0,1670.0,1665.0,1650.0,1665.0,11.0,,1655.0,1665.0,0.0,500025.0,0.0,0.0,3
TQBR,2022-10-11,ДонскЗР п,DZRDP,2.0,4500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,3.0,,1500.0,1500.0,0.0,532120.0,0.0,0.0,3
TQBR,2022-10-11,ЕвроЭлтех,EELT,633.0,1371939.4,5.1,4.6,5.26,5.18,5.14,5.18,266700.0,5.14,5.14,5.18,1371939.4,1371939.4,1371939.4,0.0,3
TQBR,2022-10-11,Электрцинк,ELTZ,640.0,3517552.0,265.0,254.5,275.0,266.0,263.5,266.0,13342.0,263.5,263.5,266.0,3517552.0,3517552.0,3517552.0,0.0,3
TQBR,2022-10-11,ЭН+ГРУП ао,ENPG,3776.0,39008781.0,353.5,348.5,365.0,360.0,357.5,365.0,109181.0,357.0,357.0,360.0,34977243.5,34977243.5,34977243.5,0.0,3
SMAL,2022-10-11,ЭнелРос ао,ENRU,30.0,466.61,0.3888,0.3888,0.425,,0.4368,0.425,1159.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-11,ЭнелРос ао,ENRU,4576.0,44316020.8,0.425,0.4136,0.45,0.437,0.4368,0.437,101469000.0,0.4368,0.4368,0.437,44316020.8,44316020.8,44316020.8,0.0,3
TQTF,2022-10-11,EQMX ETF,EQMX,2230.0,17686851.55,79.8,79.25,81.5,81.05,80.45,81.3,219825.0,80.4,80.4,81.05,16078081.65,16078081.65,16078081.65,31644082.16,3
TQTF,2022-10-11,ESGE ETF,ESGE,184.0,981566.48,56.16,56.16,58.09,57.63,57.58,57.74,17047.0,,56.02,57.63,0.0,503714.27,0.0,561188.82,3
TQTF,2022-10-11,ESGR ETF,ESGR,21.0,129467.0,795.5,788.5,819.5,819.5,794.5,819.5,163.0,,801.5,819.5,0.0,506610.5,0.0,93229.41,3
TQBR,2022-10-11,ETLN-гдр,ETLN,2119.0,5877786.3,46.2,44.94,47.0,46.94,46.54,46.94,126289.0,46.54,46.54,46.94,5877786.3,5877786.3,5877786.3,0.0,3
SMAL,2022-10-11,Россети,FEES,22.0,172.18,0.0785,0.0785,0.08524,,0.08136,0.08446,2129.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-10-11,Россети,FEES,9737.0,152696415.4,0.07898,0.07812,0.083,0.0825,0.08136,0.0825,1876790000.0,0.08132,0.08132,0.0825,145966640.2,145966640.2,145966640.2,0.0,3
TQBR,2022-10-11,ДВМП ао,FESH,2756.0,56422929.0,35.88,34.8,35.88,35.75,35.49,35.75,1589700.0,35.49,35.49,35.75,56422929.0,56422929.0,56422929.0,0.0,3
TQBR,2022-10-11,FIVE-гдр,FIVE,17507.0,416631163.5,1382.0,1373.5,1445.0,1424.5,1411.0,1429.5,295294.0,1410.0,1410.0,1424.5,393739177.5,393739177.5,393739177.5,0.0,3
TQBR,2022-10-11,FIXP-гдр,FIXP,7650.0,44991428.3,307.8,304.3,340.0,328.8,324.1,337.9,138801.0,321.8,321.8,328.8,36389797.2,36389797.2,36389797.2,0.0,3
TQBR,2022-10-11,Совкомфлот,FLOT,2272.0,15253759.8,31.7,30.42,32.29,32.01,31.76,32.01,480270.0,31.76,31.76,32.01,15253759.8,15253759.8,15253759.8,0.0,3
TQTF,2022-10-11,FMRU ETF,FMRU,90.0,18938.44,5.732,5.652,5.862,5.82,5.782,5.82,3275.0,,5.73,5.82,0.0,500642.89,0.0,42747.96,3
TQTF,2022-10-11,FMUS ETF,FMUS,16.0,31181.86,8.678,8.676,8.762,8.676,8.694,8.676,3587.0,,7.922,8.676,0.0,612298.54,0.0,41130.21,3
