BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2022-08-12,АбрауДюрсо,ABRD,193.0,2768330.0,173.0,173.0,174.0,173.5,174.0,173.5,15930.0,174.0,174.0,173.5,2768330.0,2768330.0,2768330.0,0.0,3
SMAL,2022-08-12,Система ао,AFKS,3.0,43.56,14.4,14.4,14.68,,14.344,14.68,3.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-08-12,Система ао,AFKS,7321.0,162523441.0,14.349,14.105,14.5,14.302,14.344,14.302,11330400.0,14.344,14.344,14.302,162523441.0,162523441.0,162523441.0,0.0,3
SMAL,2022-08-12,Аэрофлот,AFLT,12.0,954.52,28.78,26.48,31.24,,27.08,27.14,32.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2022-08-12,Аэрофлот,AFLT,5833.0,79858613.0,27.1,26.86,27.3,27.14,27.08,27.14,2949190.0,27.08,27.08,27.14,79858613.0,79858613.0,79858613.0,0.0,3
TQBR,2022-08-12,AGRO-гдр,AGRO,7562.0,101672544.0,817.4,805.4,871.0,862.8,848.6,862.8,119814.0,848.6,848.6,862.8,101672544.0,101672544.0,101672544.0,0.0,3
TQTF,2022-08-12,AKGD ETF,AKGD,307.0,1809310.9,83.94,82.46,83.99,82.91,82.82,82.95,21638.0,83.62,83.62,82.91,1809310.9,1809310.9,1809310.9,23587191.89,3
TQTF,2022-08-12,ETF AKMB,AKMB,6217.0,4109621.7,1.1737,1.162,1.182,1.1628,1.1678,1.1624,3519146.0,1.1678,1.1678,1.1628,4109621.7,4109621.7,4109621.7,7445818.03,3
TQTF,2022-08-12,ETF AKME,AKME,224.0,704214.22,79.68,77.32,79.68,78.86,79.04,78.86,8975.0,78.46,78.46,78.86,704214.22,704214.22,704214.22,3206678.78,3
TQTF,2022-08-12,AKMM ETF,AKMM,53.0,2681981.29,100.63,100.63,100.66,100.66,100.66,100.66,26644.0,100.66,100.66,100.66,2681981.29,2681981.29,2681981.29,13809406.57,3
